Date,Open,High,Low,Close,Volume
02/16/2024,"324.16","324.16","319.40","320.49","548,700"
02/15/2024,"318.86","325.11","318.42","323.90","725,080"
02/14/2024,"319.81","320.11","316.34","319.39","496,758"
02/13/2024,"319.75","321.76","314.84","319.22","747,509"
02/12/2024,"330.00","330.80","319.55","320.09","907,150"
02/09/2024,"323.82","333.00","323.17","330.89","1,203,365"
02/08/2024,"330.00","330.39","326.15","328.35","941,508"
02/07/2024,"328.50","328.92","326.34","327.93","543,580"
02/06/2024,"324.91","326.96","321.46","325.38","706,600"
02/05/2024,"326.60","326.61","323.63","325.30","670,400"
02/02/2024,"324.72","329.99","324.72","327.62","568,948"
02/01/2024,"319.50","325.21","318.80","325.15","533,056"
01/31/2024,"326.58","326.59","319.49","319.50","832,444"
01/30/2024,"325.86","328.08","325.65","327.52","791,867"
01/29/2024,"325.10","328.23","325.07","326.75","622,752"
01/26/2024,"328.00","329.27","326.08","326.10","487,026"
01/25/2024,"329.54","330.84","326.83","328.59","392,649"
01/24/2024,"329.83","330.93","328.17","328.35","559,700"
01/23/2024,"325.84","329.54","325.24","329.47","596,231"
01/22/2024,"327.44","328.15","324.78","324.99","797,334"
01/19/2024,"323.02","328.06","322.08","326.28","736,382"
01/18/2024,"317.17","321.04","316.80","320.97","724,485"
01/17/2024,"315.72","317.87","315.72","317.03","446,110"
01/16/2024,"315.64","317.15","314.08","315.65","499,927"
01/12/2024,"315.29","316.34","313.67","316.31","692,334"
01/11/2024,"315.47","316.03","312.73","314.28","624,892"
01/10/2024,"312.46","315.12","312.02","315.04","418,656"
01/09/2024,"311.70","312.85","309.44","312.01","629,607"
01/08/2024,"310.36","313.02","308.61","312.86","525,368"
01/05/2024,"311.71","312.19","307.31","309.16","492,792"
01/04/2024,"313.09","314.29","311.71","311.75","739,152"
01/03/2024,"312.96","314.24","310.53","312.00","720,206"
01/02/2024,"312.36","314.48","310.54","311.64","800,172"
12/29/2023,"311.50","313.89","311.39","313.09","499,124"
12/28/2023,"311.58","311.98","310.53","311.07","311,706"
12/27/2023,"309.17","311.13","309.17","310.42","415,125"
12/26/2023,"308.18","310.95","308.18","310.00","377,443"
12/22/2023,"312.01","312.41","308.68","309.85","330,751"
12/21/2023,"308.41","310.95","307.09","310.55","484,803"
12/20/2023,"311.95","313.71","308.82","309.39","696,705"
12/19/2023,"316.28","316.31","311.37","312.97","1,019,253"
12/18/2023,"311.64","315.04","311.64","314.96","848,641"
12/15/2023,"310.90","315.05","308.20","310.50","2,127,220"
12/14/2023,"326.00","326.00","314.63","315.82","1,375,155"
12/13/2023,"329.81","329.81","325.21","326.94","783,306"
12/12/2023,"328.00","329.83","326.73","328.96","464,454"
12/11/2023,"326.00","327.70","324.88","326.41","512,806"
12/08/2023,"324.00","325.18","322.56","324.52","871,435"
12/07/2023,"323.45","325.39","322.22","323.36","536,272"
12/06/2023,"325.28","325.28","321.72","322.47","557,481"
12/05/2023,"323.66","324.96","321.62","324.56","546,058"
12/04/2023,"323.02","324.46","320.85","323.66","786,205"
12/01/2023,"323.66","325.90","322.56","325.32","708,354"
11/30/2023,"318.51","322.98","317.59","322.87","1,317,344"
11/29/2023,"320.42","321.49","318.64","319.04","653,244"
11/28/2023,"321.02","321.42","317.75","318.46","634,627"
11/27/2023,"320.89","321.11","318.58","320.67","599,268"
11/24/2023,"320.00","320.84","318.01","320.84","275,908"
11/22/2023,"321.76","322.53","318.74","319.52","441,524"
11/21/2023,"320.09","320.86","318.35","319.99","426,564"
