Date,Open,High,Low,Close,Volume
02/16/2024,"136.73","138.56","136.03","138.31","1,168,948"
02/15/2024,"136.88","139.98","136.55","137.71","1,149,254"
02/14/2024,"134.41","136.80","134.10","136.16","1,229,421"
02/13/2024,"134.48","135.43","130.84","132.73","1,224,880"
02/12/2024,"133.31","138.42","133.25","136.73","1,057,315"
02/09/2024,"131.07","133.51","130.09","133.33","1,021,548"
02/08/2024,"129.63","132.45","129.36","131.62","1,089,409"
02/07/2024,"133.06","133.06","128.31","130.47","2,208,145"
02/06/2024,"132.83","134.55","130.64","132.27","1,077,528"
02/05/2024,"132.19","134.32","131.86","132.98","1,003,555"
02/02/2024,"128.83","134.58","128.83","133.49","1,998,480"
02/01/2024,"137.39","137.39","128.31","131.73","3,870,917"
01/31/2024,"137.54","141.97","137.13","138.10","1,715,174"
01/30/2024,"142.44","144.35","142.18","143.73","951,771"
01/29/2024,"141.10","142.81","140.23","142.76","741,268"
01/26/2024,"142.69","143.50","141.20","141.52","627,273"
01/25/2024,"144.00","144.42","140.33","142.04","887,964"
01/24/2024,"142.72","143.69","140.94","142.68","1,277,032"
01/23/2024,"142.33","143.87","140.78","141.81","1,305,990"
01/22/2024,"140.15","142.50","139.84","141.97","1,590,053"
01/19/2024,"133.29","140.33","131.96","139.39","2,497,218"
01/18/2024,"133.62","133.62","128.75","132.88","2,432,308"
01/17/2024,"129.37","132.08","128.55","130.96","1,355,260"
01/16/2024,"131.00","132.93","129.66","131.39","1,359,931"
01/12/2024,"135.45","135.99","131.73","133.08","1,265,184"
01/11/2024,"135.84","135.99","133.36","135.29","791,627"
01/10/2024,"136.56","137.42","135.15","136.84","940,682"
01/09/2024,"136.61","137.51","136.01","136.50","853,230"
01/08/2024,"137.36","138.17","135.82","138.07","922,077"
01/05/2024,"136.05","139.37","135.61","138.19","969,075"
01/04/2024,"134.35","137.31","134.27","136.29","761,681"
01/03/2024,"138.00","138.00","134.46","134.59","1,061,935"
01/02/2024,"136.56","140.27","136.55","139.03","1,063,265"
12/29/2023,"138.49","138.90","136.67","137.08","635,006"
12/28/2023,"138.09","138.56","137.27","138.39","469,817"
12/27/2023,"138.55","139.02","137.39","137.88","562,494"
12/26/2023,"136.84","139.29","136.24","138.86","723,211"
12/22/2023,"136.97","138.02","135.97","136.52","631,889"
12/21/2023,"135.00","136.44","134.04","136.21","968,995"
12/20/2023,"138.50","139.19","133.86","133.96","1,283,661"
12/19/2023,"137.20","139.84","136.54","139.36","1,663,673"
12/18/2023,"142.40","142.40","137.02","137.13","1,600,003"
12/15/2023,"143.95","145.95","141.63","142.76","2,201,993"
12/14/2023,"139.98","148.23","139.98","145.06","2,297,189"
12/13/2023,"131.67","138.58","131.00","138.51","1,471,791"
12/12/2023,"133.17","133.23","131.15","131.76","640,685"
12/11/2023,"132.01","133.98","132.00","133.42","815,197"
12/08/2023,"133.14","134.35","131.61","132.65","925,111"
12/07/2023,"131.68","133.86","131.50","132.78","1,256,203"
12/06/2023,"132.42","134.92","130.20","130.83","2,022,201"
12/05/2023,"133.53","133.79","131.98","132.11","865,679"
12/04/2023,"131.32","134.79","131.32","134.39","914,092"
12/01/2023,"127.50","133.58","127.00","132.71","1,147,843"
11/30/2023,"127.03","128.92","125.61","128.17","1,153,420"
11/29/2023,"126.19","129.41","126.19","127.73","894,554"
11/28/2023,"124.76","125.75","123.46","125.25","617,492"
11/27/2023,"124.65","125.35","124.11","124.73","655,925"
11/24/2023,"125.05","126.06","124.34","125.62","277,760"
11/22/2023,"126.74","126.74","124.15","125.07","384,664"
11/21/2023,"126.17","126.96","124.89","125.45","592,853"
