Date,Open,High,Low,Close,Volume
02/22/2024,"36.79","36.81","35.40","36.12","4,792,332"
02/21/2024,"36.17","36.56","35.94","36.21","3,511,683"
02/20/2024,"36.90","37.29","36.09","36.15","3,638,935"
02/16/2024,"37.16","37.76","36.80","37.59","3,138,711"
02/15/2024,"36.60","37.68","36.55","37.65","3,770,927"
02/14/2024,"36.17","36.65","35.93","36.35","2,912,256"
02/13/2024,"36.13","36.55","35.30","35.62","4,073,677"
02/12/2024,"35.47","37.46","35.39","36.99","6,091,546"
02/09/2024,"35.11","35.95","34.95","35.42","3,522,673"
02/08/2024,"34.92","35.31","34.64","35.03","5,113,395"
02/07/2024,"36.12","36.12","34.80","34.82","4,999,847"
02/06/2024,"35.70","36.43","35.69","36.04","3,966,883"
02/05/2024,"37.20","37.34","35.15","35.46","6,081,709"
02/02/2024,"38.15","38.39","37.21","37.42","5,103,386"
02/01/2024,"38.76","38.86","37.40","38.25","6,606,982"
01/31/2024,"37.73","39.91","36.67","38.38","11,313,620"
01/30/2024,"38.01","38.28","37.51","37.73","12,486,910"
01/29/2024,"37.89","38.52","37.37","38.38","5,051,789"
01/26/2024,"37.95","38.13","37.51","37.96","6,789,017"
01/25/2024,"37.04","38.73","36.52","38.05","8,203,975"
01/24/2024,"37.29","37.39","36.72","36.94","3,844,280"
01/23/2024,"36.77","37.10","36.09","36.55","3,314,201"
01/22/2024,"36.45","37.07","35.89","36.22","4,209,220"
01/19/2024,"36.61","36.61","35.63","36.06","7,100,727"
01/18/2024,"36.13","36.51","35.70","36.37","6,083,413"
01/17/2024,"35.95","36.26","34.54","35.83","5,572,504"
01/16/2024,"36.63","36.86","36.28","36.67","4,857,947"
01/12/2024,"37.96","38.30","36.87","36.88","3,911,120"
01/11/2024,"38.87","38.90","36.86","37.64","8,816,876"
01/10/2024,"39.10","39.47","38.52","38.78","5,270,578"
01/09/2024,"42.20","42.43","38.58","39.04","18,290,900"
01/08/2024,"36.34","37.91","36.09","37.89","5,294,976"
01/05/2024,"36.07","37.08","36.07","36.68","4,637,662"
01/04/2024,"35.86","36.55","35.57","36.37","6,276,803"
01/03/2024,"35.69","36.01","34.89","35.86","11,634,090"
01/02/2024,"35.98","36.72","35.45","36.41","9,218,786"
12/29/2023,"36.51","36.77","36.15","36.50","4,369,440"
12/28/2023,"35.81","36.84","35.71","36.73","3,571,932"
12/27/2023,"35.41","35.87","35.30","35.81","5,080,794"
12/26/2023,"35.12","35.56","34.87","35.38","2,800,919"
12/22/2023,"35.17","35.47","34.84","35.20","2,923,055"
12/21/2023,"34.67","35.17","34.01","35.14","3,148,467"
12/20/2023,"34.74","35.44","34.11","34.18","3,126,256"
12/19/2023,"34.15","35.02","34.15","34.68","6,435,556"
12/18/2023,"33.95","34.40","33.54","34.02","5,560,040"
12/15/2023,"34.60","34.68","33.84","34.30","10,270,950"
12/14/2023,"34.17","35.08","33.99","34.53","7,555,794"
12/13/2023,"31.99","33.66","31.94","33.45","15,127,480"
12/12/2023,"32.74","32.87","31.72","32.02","7,853,542"
12/11/2023,"32.10","32.50","32.00","32.28","4,645,839"
12/08/2023,"32.00","32.61","31.66","32.10","5,342,119"
12/07/2023,"32.85","33.03","32.17","32.24","4,212,410"
12/06/2023,"32.89","33.54","32.44","32.85","7,023,669"
12/05/2023,"32.54","32.73","32.03","32.32","6,840,209"
12/04/2023,"33.08","33.67","32.78","32.85","8,576,832"
12/01/2023,"32.32","33.43","31.90","33.40","4,803,763"
11/30/2023,"32.69","32.78","31.91","32.38","9,320,170"
11/29/2023,"32.72","33.65","32.32","32.48","5,671,119"
11/28/2023,"31.67","32.55","31.33","32.51","3,177,163"
11/27/2023,"31.91","32.32","31.56","31.65","5,516,377"
11/24/2023,"31.88","32.17","31.70","32.03","2,253,410"
