Date,Open,High,Low,Close,Volume
02/21/2024,"1,177.30","1,196.71","1,177.30","1,193.89","93,197"
02/20/2024,"1,177.96","1,196.57","1,176.77","1,184.37","143,968"
02/16/2024,"1,189.21","1,202.51","1,186.78","1,187.44","80,360"
02/15/2024,"1,183.05","1,200.71","1,182.27","1,192.70","95,100"
02/14/2024,"1,174.23","1,184.60","1,165.38","1,181.18","129,052"
02/13/2024,"1,166.98","1,180.00","1,133.46","1,157.56","203,566"
02/12/2024,"1,181.53","1,194.16","1,169.41","1,190.04","142,153"
02/09/2024,"1,240.80","1,240.80","1,169.94","1,174.51","291,051"
02/08/2024,"1,212.98","1,230.67","1,207.54","1,224.97","214,127"
02/07/2024,"1,216.11","1,218.20","1,203.76","1,213.23","190,647"
02/06/2024,"1,185.98","1,223.94","1,185.98","1,212.10","149,761"
02/05/2024,"1,203.32","1,205.45","1,186.00","1,186.97","235,101"
02/02/2024,"1,213.46","1,220.75","1,193.43","1,210.11","108,940"
02/01/2024,"1,196.03","1,224.21","1,187.01","1,224.00","114,021"
01/31/2024,"1,240.09","1,240.09","1,193.89","1,197.19","123,433"
01/30/2024,"1,224.95","1,239.18","1,221.48","1,237.50","125,655"
01/29/2024,"1,217.75","1,231.12","1,212.32","1,227.48","108,754"
01/26/2024,"1,224.21","1,237.98","1,215.74","1,217.47","133,080"
01/25/2024,"1,218.00","1,218.00","1,198.40","1,202.45","176,998"
01/24/2024,"1,223.55","1,232.56","1,194.65","1,204.81","211,541"
01/23/2024,"1,229.37","1,229.37","1,202.11","1,219.94","135,437"
01/22/2024,"1,205.74","1,219.22","1,202.00","1,219.16","158,480"
01/19/2024,"1,188.69","1,202.36","1,174.65","1,200.00","153,689"
01/18/2024,"1,164.09","1,187.80","1,162.19","1,185.00","135,091"
01/17/2024,"1,173.80","1,192.11","1,150.00","1,163.00","204,503"
01/16/2024,"1,168.55","1,187.95","1,168.55","1,183.98","183,686"
01/12/2024,"1,198.69","1,205.00","1,180.47","1,182.28","162,631"
01/11/2024,"1,171.53","1,194.72","1,166.53","1,186.56","252,140"
01/10/2024,"1,135.29","1,177.01","1,122.21","1,176.86","266,665"
01/09/2024,"1,155.54","1,185.55","1,130.15","1,140.81","103,320"
01/08/2024,"1,132.29","1,166.75","1,130.82","1,166.10","116,030"
01/05/2024,"1,132.19","1,168.58","1,115.64","1,132.29","195,971"
01/04/2024,"1,137.34","1,151.43","1,137.34","1,149.32","129,615"
01/03/2024,"1,199.22","1,201.16","1,146.33","1,147.12","178,510"
01/02/2024,"1,201.58","1,230.26","1,197.69","1,214.19","137,523"
12/29/2023,"1,218.15","1,223.17","1,208.84","1,212.96","100,774"
12/28/2023,"1,226.80","1,231.13","1,220.17","1,225.26","71,441"
12/27/2023,"1,214.71","1,227.38","1,214.27","1,222.96","83,423"
12/26/2023,"1,217.26","1,224.52","1,209.53","1,219.23","73,035"
12/22/2023,"1,216.50","1,220.33","1,205.31","1,213.80","65,490"
12/21/2023,"1,193.17","1,219.58","1,193.17","1,209.10","104,411"
12/20/2023,"1,202.40","1,220.64","1,186.95","1,186.95","150,152"
12/19/2023,"1,191.28","1,204.09","1,187.08","1,201.77","113,943"
12/18/2023,"1,205.00","1,205.00","1,178.04","1,185.03","157,646"
12/15/2023,"1,222.26","1,224.74","1,189.49","1,190.61","288,610"
12/14/2023,"1,188.04","1,228.24","1,178.83","1,224.70","371,450"
12/13/2023,"1,116.49","1,174.60","1,115.44","1,171.00","172,431"
12/12/2023,"1,113.02","1,117.45","1,103.73","1,114.81","105,394"
12/11/2023,"1,090.00","1,120.00","1,088.62","1,112.50","122,878"
12/08/2023,"1,095.94","1,109.87","1,086.88","1,090.52","129,594"
12/07/2023,"1,093.93","1,107.87","1,093.35","1,100.02","98,790"
12/06/2023,"1,090.28","1,108.40","1,088.07","1,093.23","123,782"
12/05/2023,"1,090.00","1,096.90","1,068.33","1,081.88","124,033"
12/04/2023,"1,099.88","1,117.89","1,097.36","1,102.84","118,572"
12/01/2023,"1,089.69","1,104.47","1,074.16","1,104.47","102,306"
11/30/2023,"1,093.64","1,101.24","1,080.95","1,091.93","216,885"
11/29/2023,"1,092.99","1,101.20","1,087.66","1,092.43","115,692"
11/28/2023,"1,073.00","1,090.07","1,059.08","1,082.16","136,243"
11/27/2023,"1,086.41","1,086.42","1,076.58","1,079.84","139,710"
11/24/2023,"1,079.00","1,093.51","1,073.82","1,093.51","91,728"
