Date,Open,High,Low,Close,Volume
2/20/2024,79.34,80.77,79.15,80.71,12627190.00
2/16/2024,80.96,81.34,79.25,79.5,15553080.00
2/15/2024,82.24,82.71,81.51,81.63,11527610.00
2/14/2024,82.18,83.18,81.49,81.83,12870940.00
2/13/2024,82.47,83.55,80.77,81.53,21207910.00
2/12/2024,85.53,86.91,85.39,85.7,10366000.00
2/9/2024,85.06,85.62,83.96,85.56,12161510.00
2/8/2024,85.51,86.03,84.53,84.88,12524470.00
2/7/2024,84.14,85.28,82.47,85.17,16374840.00
2/6/2024,86.83,87.19,83.72,84.6,12990330.00
2/5/2024,86.74,87.22,85.61,86.98,8409312.00
2/2/2024,85.07,86.61,84.94,86.48,10450040.00
2/1/2024,86.07,86.19,84.62,85.61,10459040.00
1/31/2024,84.96,86.92,84.79,85.75,11396690.00
1/30/2024,88.08,88.79,85.76,86.16,12980390.00
1/29/2024,88.5,89.57,88.02,89.07,12108100.00
1/26/2024,87.24,88.5,86.29,88.05,14934530.00
1/25/2024,89.15,90.04,88.5,89.2,15892370.00
1/24/2024,88.41,88.57,86.61,88.08,19752770.00
1/23/2024,89,89.18,86.88,87.53,16850891.00
1/22/2024,88.27,89.95,88.01,89.24,14371230.00
1/19/2024,86.06,87.79,85.62,87.51,18156760.00
1/18/2024,85.22,85.82,84.04,84.82,15077690.00
1/17/2024,83.69,83.97,82.63,83.28,10245440.00
1/16/2024,82.54,85.22,82.33,84.61,13713530.00
1/12/2024,82.75,83.05,81.71,82.39,10187530.00
1/11/2024,82.8,83.45,81.82,83.39,10579320.00
1/10/2024,82.96,83.02,81.66,82.38,10748630.00
1/9/2024,83.13,84.19,82.9,83.33,12138740.00
1/8/2024,83.89,85.51,83.83,84.95,16219820.00
1/5/2024,81.48,83.53,81.01,83.45,15483750.00
1/4/2024,83.47,84.26,82.61,82.71,19134160.00
1/3/2024,81.2,82.59,80.59,82.26,12915620.00
1/2/2024,84,84.08,81.75,82.34,13597090.00
12/29/2023,85.84,86.14,85.03,85.34,8549232.00
12/28/2023,86.75,86.75,85.84,86,9606174.00
12/27/2023,87.48,87.49,86.22,86.66,9186288.00
12/26/2023,86.7,87.87,86.43,87.06,11203900.00
12/22/2023,86.15,87.49,85.62,86.49,22531840.00
12/21/2023,85,86.02,83.11,85.48,53969660.00
12/20/2023,81.46,81.62,78.63,78.69,29084990.00
12/19/2023,81.67,82.27,81.17,82.17,14316380.00
12/18/2023,81.59,81.86,80.81,81.56,12416650.00
12/15/2023,82.89,82.99,81.11,81.41,19547760.00
12/14/2023,80.81,82.4,80.79,82.19,17342789.00
12/13/2023,78.3,80.27,78.03,79.79,11629880.00
12/12/2023,77.42,78.26,77.1,78.16,10262090.00
12/11/2023,77.19,78.51,76.97,77.79,18547631.00
12/8/2023,73.48,75.35,73.43,74.96,12007070.00
12/7/2023,74.02,74.21,72.99,73.65,10641260.00
12/6/2023,75.3,75.4,72.93,73.13,8883918.00
12/5/2023,73.47,73.97,73.04,73.69,8800502.00
12/4/2023,75.42,75.6,73.33,74.29,11659330.00
12/1/2023,76.01,76.54,75.09,75.93,14354670.00
11/30/2023,76.82,77,74.97,76.12,21701561.00
11/29/2023,77.45,79.02,76.38,76.69,14062880.00
11/28/2023,75.08,76.24,73.99,76.12,19225730.00
11/27/2023,76.87,78.29,76.66,77.51,11005570.00
11/24/2023,76.68,77.01,76.37,76.87,4349574.00
11/22/2023,77.2,78.45,76.85,77.1,8580370.00
