Date,Open,High,Low,Close,Volume
02/22/2024,"16.81","16.97","16.21","16.34","12,603,630"
02/21/2024,"16.01","16.13","15.87","16.10","11,375,480"
02/20/2024,"16.16","16.30","15.86","16.18","8,549,179"
02/16/2024,"16.30","16.49","16.11","16.26","9,476,663"
02/15/2024,"16.60","17.03","16.43","16.51","7,840,276"
02/14/2024,"16.43","16.63","16.14","16.55","10,850,110"
02/13/2024,"16.14","16.52","16.03","16.29","9,744,412"
02/12/2024,"16.37","16.85","16.36","16.64","11,311,510"
02/09/2024,"17.52","17.54","16.36","16.42","22,447,250"
02/08/2024,"17.36","17.67","17.13","17.50","9,362,201"
02/07/2024,"17.49","17.55","17.11","17.39","8,173,535"
02/06/2024,"17.06","17.51","16.87","17.44","12,142,570"
02/05/2024,"17.59","17.61","16.98","17.14","11,420,050"
02/02/2024,"17.64","17.76","17.19","17.74","13,019,250"
02/01/2024,"18.10","18.47","17.31","17.79","17,118,369"
01/31/2024,"17.58","18.29","17.34","17.80","13,296,610"
01/30/2024,"17.74","18.01","17.60","17.66","8,134,984"
01/29/2024,"17.19","17.78","17.03","17.76","10,450,490"
01/26/2024,"17.87","17.95","17.19","17.22","12,738,180"
01/25/2024,"17.57","17.93","17.43","17.75","11,851,670"
01/24/2024,"17.65","17.68","17.26","17.51","11,912,170"
01/23/2024,"17.55","17.88","17.33","17.41","13,859,720"
01/22/2024,"17.89","18.07","17.30","17.48","10,720,720"
01/19/2024,"17.56","17.76","17.25","17.76","9,555,337"
01/18/2024,"17.30","17.66","17.00","17.51","9,758,096"
01/17/2024,"16.88","17.18","16.83","17.08","8,002,021"
01/16/2024,"16.55","17.26","16.47","17.25","12,077,850"
01/12/2024,"17.42","17.45","16.64","16.75","11,483,870"
01/11/2024,"17.53","17.59","17.11","17.51","9,513,841"
01/10/2024,"17.30","17.65","17.24","17.59","9,172,017"
01/09/2024,"17.45","17.65","17.34","17.38","10,714,330"
01/08/2024,"17.93","18.10","17.32","17.76","11,828,480"
01/05/2024,"17.35","18.03","17.33","17.80","13,303,310"
01/04/2024,"17.34","18.08","17.25","17.65","12,730,280"
01/03/2024,"17.76","17.93","17.29","17.32","17,239,641"
01/02/2024,"19.78","19.84","18.13","18.32","20,005,510"
12/29/2023,"20.27","20.49","20.01","20.04","10,910,500"
12/28/2023,"20.35","20.67","20.29","20.47","6,376,213"
12/27/2023,"20.24","20.43","20.15","20.38","8,065,846"
12/26/2023,"20.90","20.90","20.33","20.35","9,434,026"
12/22/2023,"20.93","21.26","20.81","20.95","10,356,980"
12/21/2023,"20.18","21.13","20.18","20.95","19,712,900"
12/20/2023,"20.56","20.67","19.82","19.87","13,359,520"
12/19/2023,"20.45","20.88","20.33","20.69","11,237,060"
12/18/2023,"20.31","20.59","20.08","20.32","12,765,560"
12/15/2023,"20.29","20.46","20.07","20.36","18,081,850"
12/14/2023,"19.50","20.80","19.48","20.35","34,305,633"
12/13/2023,"18.33","19.23","18.16","19.22","14,667,790"
12/12/2023,"18.42","18.58","18.19","18.45","9,098,834"
12/11/2023,"18.50","18.68","18.14","18.42","13,685,790"
12/08/2023,"18.83","18.96","18.59","18.68","15,742,390"
12/07/2023,"18.23","18.86","18.16","18.77","16,238,310"
12/06/2023,"17.89","18.68","17.85","18.18","20,555,160"
12/05/2023,"17.41","17.90","17.33","17.59","17,347,020"
12/04/2023,"16.40","17.53","16.37","17.50","25,334,990"
12/01/2023,"15.19","16.44","15.11","16.42","20,728,609"
11/30/2023,"14.99","15.34","14.75","15.27","16,147,460"
11/29/2023,"14.67","15.12","14.51","14.83","12,217,750"
11/28/2023,"14.31","14.58","14.14","14.48","11,468,320"
11/27/2023,"14.28","14.69","14.22","14.38","15,331,710"
11/24/2023,"14.35","14.45","14.16","14.37","4,595,235"
