Date,Open,High,Low,Close,Volume
02/21/2024,"55.39","56.06","55.11","56.04","2,207,258"
02/20/2024,"55.00","55.60","54.90","55.54","2,745,399"
02/16/2024,"55.45","55.81","55.20","55.42","2,042,738"
02/15/2024,"55.93","56.31","55.02","55.49","4,038,966"
02/14/2024,"56.06","56.19","55.36","55.81","2,661,252"
02/13/2024,"56.22","56.24","55.18","55.70","3,184,525"
02/12/2024,"57.32","57.38","56.73","56.83","2,152,749"
02/09/2024,"56.88","57.35","56.65","57.25","1,296,684"
02/08/2024,"56.70","57.18","56.67","56.76","1,358,326"
02/07/2024,"56.74","57.06","56.32","56.91","1,881,466"
02/06/2024,"55.83","56.46","55.76","56.32","4,260,506"
02/05/2024,"56.24","56.39","55.73","55.98","2,244,335"
02/02/2024,"56.92","57.41","56.32","56.65","2,556,831"
02/01/2024,"57.54","57.74","56.28","57.09","2,879,247"
01/31/2024,"58.60","60.72","57.51","57.77","4,305,777"
01/30/2024,"58.11","58.61","58.08","58.45","2,504,028"
01/29/2024,"58.32","58.50","57.55","58.25","2,378,110"
01/26/2024,"58.40","58.71","58.10","58.62","1,675,698"
01/25/2024,"58.46","58.59","57.44","58.37","1,665,038"
01/24/2024,"58.73","58.86","58.16","58.20","1,919,266"
01/23/2024,"58.27","58.82","58.04","58.38","1,796,097"
01/22/2024,"58.13","58.45","57.69","58.16","2,020,968"
01/19/2024,"57.03","57.98","56.90","57.85","2,179,481"
01/18/2024,"56.24","56.89","55.90","56.83","1,863,664"
01/17/2024,"55.98","56.45","55.83","56.11","2,943,106"
01/16/2024,"56.50","57.34","56.33","56.46","3,534,483"
01/12/2024,"56.95","57.01","56.39","56.93","1,835,095"
01/11/2024,"56.97","57.10","56.28","56.54","2,185,253"
01/10/2024,"56.48","56.94","56.19","56.89","2,956,483"
01/09/2024,"56.56","56.67","56.26","56.37","2,457,554"
01/08/2024,"55.77","56.75","55.76","56.71","3,022,450"
01/05/2024,"56.01","56.20","55.44","55.67","1,979,331"
01/04/2024,"56.01","56.53","56.01","56.03","2,143,057"
01/03/2024,"56.51","56.78","55.85","55.99","2,493,493"
01/02/2024,"58.00","58.00","56.62","56.90","1,948,028"
12/29/2023,"58.20","58.35","57.79","58.14","1,524,056"
12/28/2023,"57.99","58.37","57.99","58.24","1,192,281"
12/27/2023,"57.59","58.02","57.42","57.99","1,353,272"
12/26/2023,"57.04","57.70","56.95","57.63","1,344,179"
12/22/2023,"56.36","57.15","56.17","57.04","2,330,528"
12/21/2023,"55.31","56.12","55.13","56.09","1,827,984"
12/20/2023,"55.75","56.18","55.12","55.15","2,051,866"
12/19/2023,"55.53","55.78","55.18","55.76","2,066,662"
12/18/2023,"55.00","55.56","54.62","55.38","2,616,293"
12/15/2023,"55.31","55.64","54.54","54.74","5,718,587"
12/14/2023,"56.93","57.72","55.95","56.11","4,171,463"
12/13/2023,"54.23","56.44","54.03","56.39","4,220,725"
12/12/2023,"54.39","54.45","53.87","54.17","2,717,843"
12/11/2023,"54.16","54.36","53.92","54.22","2,780,104"
12/08/2023,"54.06","54.39","53.62","53.97","2,065,533"
12/07/2023,"55.05","55.19","54.04","54.13","2,877,829"
12/06/2023,"55.90","56.32","55.72","55.84","2,435,079"
12/05/2023,"56.10","56.18","55.32","55.72","2,673,306"
12/04/2023,"55.71","56.61","55.71","56.23","4,004,996"
12/01/2023,"55.75","56.25","55.61","55.90","2,166,117"
11/30/2023,"55.81","55.93","55.15","55.84","4,484,802"
11/29/2023,"55.70","56.15","55.57","55.70","2,905,932"
11/28/2023,"55.07","55.87","55.04","55.58","2,414,664"
11/27/2023,"55.26","55.30","54.97","55.14","1,789,862"
11/24/2023,"55.16","55.40","55.01","55.30","879,711"
