Date,Open,High,Low,Close,Volume
02/16/2024,"264.18","267.46","263.31","264.07","197,193"
02/15/2024,"265.16","265.97","263.19","265.72","153,657"
02/14/2024,"261.32","263.74","260.79","263.72","145,283"
02/13/2024,"261.00","263.47","258.46","260.37","219,680"
02/12/2024,"264.00","266.51","263.12","264.76","195,693"
02/09/2024,"262.37","263.94","260.81","263.63","149,142"
02/08/2024,"257.53","262.78","255.58","261.87","233,049"
02/07/2024,"255.32","256.55","253.38","255.81","133,130"
02/06/2024,"253.13","254.04","251.89","253.65","159,484"
02/05/2024,"254.19","254.99","250.76","252.62","175,143"
02/02/2024,"256.17","258.52","254.13","256.70","195,731"
02/01/2024,"253.61","258.01","250.19","257.36","236,522"
01/31/2024,"257.57","257.57","251.03","251.72","735,319"
01/30/2024,"253.34","257.34","253.34","257.23","234,058"
01/29/2024,"251.61","255.09","251.18","255.01","126,531"
01/26/2024,"254.43","254.84","251.28","252.20","148,540"
01/25/2024,"253.91","254.75","252.88","254.05","188,059"
01/24/2024,"255.54","256.00","250.91","251.05","144,608"
01/23/2024,"255.73","255.73","252.01","254.33","175,733"
01/22/2024,"254.07","255.00","251.95","253.91","168,152"
01/19/2024,"252.55","254.19","249.84","253.42","249,030"
01/18/2024,"250.22","253.16","249.96","251.54","264,310"
01/17/2024,"247.83","251.05","247.83","249.46","201,955"
01/16/2024,"250.00","251.04","248.83","250.54","199,154"
01/12/2024,"253.39","253.39","250.27","251.62","104,458"
01/11/2024,"250.20","250.90","247.72","250.61","132,839"
01/10/2024,"250.10","250.72","247.54","250.62","155,325"
01/09/2024,"250.13","251.02","249.25","250.32","143,094"
01/08/2024,"249.87","252.90","249.07","252.83","178,701"
01/05/2024,"250.88","252.25","249.64","249.73","177,070"
01/04/2024,"251.32","254.10","250.50","251.15","252,885"
01/03/2024,"256.12","256.82","251.59","251.59","244,169"
01/02/2024,"262.06","263.56","257.92","258.65","259,026"
12/29/2023,"263.62","265.99","263.36","264.16","155,211"
12/28/2023,"264.88","265.60","263.75","264.52","152,253"
12/27/2023,"264.46","265.24","263.70","264.19","164,137"
12/26/2023,"261.05","264.07","261.05","263.98","124,335"
12/22/2023,"259.84","262.43","258.27","261.36","207,186"
12/21/2023,"257.23","259.43","256.90","259.17","199,485"
12/20/2023,"254.91","259.63","252.40","255.05","265,740"
12/19/2023,"255.99","256.62","254.14","255.72","194,071"
12/18/2023,"251.39","254.89","249.27","254.78","302,755"
12/15/2023,"251.54","257.04","250.21","251.96","603,695"
12/14/2023,"243.76","251.20","238.15","250.00","619,638"
12/13/2023,"237.94","241.58","235.95","240.72","334,681"
12/12/2023,"238.00","238.95","236.80","237.84","300,807"
12/11/2023,"239.50","240.39","237.47","237.66","268,533"
12/08/2023,"241.63","242.76","239.05","239.16","235,039"
12/07/2023,"241.46","241.46","238.84","241.08","301,148"
12/06/2023,"238.97","242.71","238.97","241.11","282,070"
12/05/2023,"239.58","239.78","237.65","237.99","147,140"
12/04/2023,"236.77","240.54","236.25","240.34","201,083"
12/01/2023,"235.51","238.84","235.23","238.80","178,865"
11/30/2023,"233.27","235.57","231.75","235.34","357,170"
11/29/2023,"233.43","234.33","232.15","232.60","110,800"
11/28/2023,"234.57","234.57","231.48","231.65","117,241"
11/27/2023,"233.41","234.50","232.62","234.08","152,115"
11/24/2023,"232.59","235.21","232.59","235.21","62,064"
11/22/2023,"234.46","234.59","232.12","232.82","144,505"
11/21/2023,"233.83","234.13","232.46","233.45","101,116"
