Date,Open,High,Low,Close,Volume
02/20/2024,"56.74","57.32","56.05","56.61","13,014,550"
02/16/2024,"56.86","57.42","56.33","57.03","9,943,508"
02/15/2024,"56.30","57.66","56.22","57.27","9,880,017"
02/14/2024,"55.39","56.07","55.09","56.01","8,831,274"
02/13/2024,"56.88","57.14","54.67","55.25","12,759,750"
02/12/2024,"56.59","57.63","56.50","57.55","9,622,014"
02/09/2024,"55.98","56.63","55.72","56.58","8,003,540"
02/08/2024,"56.42","56.42","55.39","56.29","8,143,193"
02/07/2024,"56.32","56.67","55.63","56.38","7,761,335"
02/06/2024,"56.00","56.58","55.51","56.23","10,306,850"
02/05/2024,"57.37","57.43","55.89","55.97","14,293,580"
02/02/2024,"58.89","59.03","57.98","58.15","14,952,860"
02/01/2024,"58.39","59.83","58.01","59.75","8,687,613"
01/31/2024,"59.70","59.98","58.43","58.63","11,124,880"
01/30/2024,"59.50","59.75","58.57","59.28","7,807,828"
01/29/2024,"58.47","59.79","58.21","59.57","10,102,830"
01/26/2024,"58.33","59.02","58.22","58.48","11,649,980"
01/25/2024,"58.95","59.36","57.06","57.98","15,702,620"
01/24/2024,"58.10","58.41","56.75","57.01","14,471,410"
01/23/2024,"57.28","57.51","56.89","57.38","16,080,950"
01/22/2024,"57.37","57.79","56.66","56.85","12,979,900"
01/19/2024,"57.72","57.79","56.58","57.26","12,762,600"
01/18/2024,"57.96","58.08","57.23","57.65","9,626,481"
01/17/2024,"59.46","60.01","57.80","58.27","11,543,140"
01/16/2024,"60.66","61.20","60.21","60.35","11,633,090"
01/12/2024,"61.18","61.66","60.92","61.04","7,796,869"
01/11/2024,"62.00","62.19","60.60","60.72","10,686,040"
01/10/2024,"62.02","62.73","61.90","62.28","8,100,055"
01/09/2024,"62.94","63.04","61.89","62.01","6,921,586"
01/08/2024,"61.78","63.06","61.59","62.92","7,766,698"
01/05/2024,"61.65","62.56","61.27","62.08","7,803,807"
01/04/2024,"62.17","62.76","61.73","61.80","10,568,090"
01/03/2024,"61.11","62.12","60.46","61.99","10,306,320"
01/02/2024,"60.55","62.15","60.18","61.57","10,064,320"
12/29/2023,"60.80","61.06","60.27","60.74","6,814,640"
12/28/2023,"60.12","61.10","60.12","61.02","5,981,881"
12/27/2023,"59.91","60.67","59.65","60.58","6,787,475"
12/26/2023,"59.68","60.56","59.62","60.21","6,791,580"
12/22/2023,"59.96","60.87","59.67","59.75","9,799,434"
12/21/2023,"60.13","60.65","59.06","59.60","12,604,170"
12/20/2023,"61.55","61.72","59.78","59.84","10,091,170"
12/19/2023,"61.36","61.83","60.87","61.57","11,509,560"
12/18/2023,"61.60","62.10","60.85","61.00","10,755,840"
12/15/2023,"62.10","62.91","61.02","61.50","28,901,539"
12/14/2023,"63.65","64.59","62.36","62.78","16,809,080"
12/13/2023,"59.60","62.60","59.33","62.51","13,013,430"
12/12/2023,"59.66","59.76","58.08","59.52","9,931,191"
12/11/2023,"58.53","59.94","58.53","59.71","11,005,790"
12/08/2023,"59.57","59.95","59.10","59.70","9,408,385"
12/07/2023,"60.38","60.56","59.44","59.85","12,230,500"
12/06/2023,"58.62","60.26","58.62","60.20","13,235,710"
12/05/2023,"58.68","58.86","57.87","58.23","12,545,000"
12/04/2023,"58.59","59.53","58.58","58.67","10,239,550"
12/01/2023,"58.55","59.54","57.67","59.17","10,510,220"
11/30/2023,"58.48","58.68","57.98","58.51","15,381,850"
11/29/2023,"58.53","59.23","57.98","58.36","17,019,119"
11/28/2023,"57.56","58.58","57.26","58.16","9,473,579"
11/27/2023,"57.50","57.70","56.87","57.58","9,779,081"
11/24/2023,"57.14","57.61","56.93","57.55","4,629,432"
11/22/2023,"57.98","58.31","56.99","57.47","9,626,942"
