Date,Open,High,Low,Close,Volume
02/20/2024,"33.63","33.80","33.03","33.19","9,490,996"
02/16/2024,"32.93","33.63","32.84","33.43","9,469,078"
02/15/2024,"32.59","33.40","32.55","33.08","11,095,240"
02/14/2024,"31.95","32.15","31.62","32.12","9,943,449"
02/13/2024,"32.76","32.86","31.74","32.04","14,169,900"
02/12/2024,"32.79","33.69","32.61","33.56","9,856,371"
02/09/2024,"33.24","33.24","32.54","32.79","10,676,890"
02/08/2024,"33.44","33.59","33.23","33.34","8,156,067"
02/07/2024,"33.75","33.77","33.31","33.65","8,249,972"
02/06/2024,"33.48","33.74","33.08","33.66","9,506,471"
02/05/2024,"33.68","33.95","33.35","33.36","12,077,120"
02/02/2024,"34.77","34.88","33.80","34.41","17,116,061"
02/01/2024,"34.68","35.61","34.67","35.61","11,872,670"
01/31/2024,"34.88","35.43","34.50","34.51","12,557,370"
01/30/2024,"34.75","34.81","34.20","34.51","7,633,181"
01/29/2024,"34.54","34.65","34.08","34.65","13,098,170"
01/26/2024,"34.50","34.61","34.16","34.21","9,499,964"
01/25/2024,"34.99","35.01","34.26","34.49","10,949,040"
01/24/2024,"36.01","36.39","34.41","34.44","13,515,310"
01/23/2024,"35.25","35.43","35.02","35.36","7,507,792"
01/22/2024,"34.31","35.13","34.20","35.00","11,795,390"
01/19/2024,"34.57","34.69","34.21","34.58","10,724,260"
01/18/2024,"34.81","34.84","34.39","34.62","10,762,650"
01/17/2024,"35.24","35.24","34.70","34.73","16,109,290"
01/16/2024,"37.20","37.20","35.98","36.01","11,303,300"
01/12/2024,"38.16","38.52","37.62","37.64","9,096,674"
01/11/2024,"37.98","38.09","37.20","37.52","8,390,143"
01/10/2024,"38.55","38.68","37.94","37.95","8,683,291"
01/09/2024,"39.55","39.68","38.57","38.68","9,638,218"
01/08/2024,"39.64","40.49","39.35","40.23","6,704,016"
01/05/2024,"40.14","40.87","39.76","40.34","6,833,623"
01/04/2024,"39.91","40.15","39.34","40.12","8,469,123"
01/03/2024,"39.93","40.24","39.44","40.00","10,382,850"
01/02/2024,"41.26","41.74","40.74","40.91","8,242,895"
12/29/2023,"41.41","41.57","41.23","41.39","6,986,221"
12/28/2023,"42.10","42.42","41.68","41.70","6,259,431"
12/27/2023,"42.04","42.60","41.94","42.38","7,687,762"
12/26/2023,"42.33","42.47","41.80","41.91","4,979,208"
12/22/2023,"42.35","42.81","42.01","42.06","9,136,759"
12/21/2023,"41.76","41.88","41.18","41.43","7,344,239"
12/20/2023,"41.81","41.99","41.09","41.12","9,283,785"
12/19/2023,"41.42","42.37","41.20","41.77","15,649,830"
12/18/2023,"41.04","41.20","40.48","41.09","13,168,950"
12/15/2023,"40.87","41.18","40.52","40.87","33,146,730"
12/14/2023,"40.97","41.69","40.83","41.15","18,867,740"
12/13/2023,"37.45","40.01","37.26","40.00","19,102,490"
12/12/2023,"38.93","38.97","37.53","37.77","11,758,870"
12/11/2023,"38.70","39.01","38.32","38.87","10,519,740"
12/08/2023,"39.02","39.57","38.73","39.08","9,035,524"
12/07/2023,"39.99","39.99","39.12","39.73","15,406,820"
12/06/2023,"40.07","40.36","39.54","39.69","9,482,695"
12/05/2023,"40.39","40.53","39.45","39.89","14,946,000"
12/04/2023,"40.62","41.00","40.22","40.54","14,411,980"
12/01/2023,"40.25","41.30","40.08","41.20","14,179,280"
11/30/2023,"40.15","40.67","39.84","40.19","22,025,260"
11/29/2023,"39.95","40.68","39.85","40.38","12,792,270"
11/28/2023,"38.61","40.78","38.41","40.57","26,586,480"
11/27/2023,"38.17","38.50","37.81","38.18","10,994,680"
11/24/2023,"37.69","37.86","37.53","37.59","5,579,987"
11/22/2023,"37.50","37.78","37.36","37.69","7,648,365"
