Date,Open,High,Low,Close,Volume
02/20/2024,"580.18","586.00","569.66","575.13","3,124,236"
02/16/2024,"596.95","597.00","577.46","583.95","4,325,689"
02/15/2024,"581.91","593.77","580.32","593.46","5,220,938"
02/14/2024,"567.26","581.25","564.34","579.33","5,634,226"
02/13/2024,"550.80","559.20","549.00","554.52","3,511,453"
02/12/2024,"560.36","568.44","557.00","557.85","3,608,487"
02/09/2024,"565.00","566.00","558.10","561.32","3,055,698"
02/08/2024,"560.55","563.70","555.74","558.53","3,175,468"
02/07/2024,"558.16","567.80","554.98","559.30","4,373,591"
02/06/2024,"564.12","566.34","554.37","555.88","2,840,300"
02/05/2024,"562.47","575.75","557.20","562.06","4,143,099"
02/02/2024,"564.52","567.80","562.37","564.64","4,032,843"
02/01/2024,"567.02","572.66","563.83","567.51","3,174,002"
01/31/2024,"562.85","572.15","562.05","564.11","4,857,599"
01/30/2024,"567.32","570.88","560.82","562.85","6,181,798"
01/29/2024,"571.35","578.55","562.68","575.79","6,905,390"
01/26/2024,"561.81","579.64","558.43","570.42","12,770,570"
01/25/2024,"551.95","563.46","548.46","562.00","9,451,915"
01/24/2024,"537.75","562.50","537.07","544.87","26,432,801"
01/23/2024,"492.00","498.96","481.40","492.19","15,506,020"
01/22/2024,"487.55","489.80","479.90","485.71","5,212,309"
01/19/2024,"484.98","485.67","476.06","482.95","5,672,351"
01/18/2024,"480.03","485.77","478.02","485.31","4,054,399"
01/17/2024,"484.50","486.21","475.26","480.33","4,894,593"
01/16/2024,"490.00","494.15","478.02","481.24","4,678,974"
01/12/2024,"500.51","500.79","490.61","492.16","5,003,718"
01/11/2024,"492.54","503.41","483.82","492.23","7,993,265"
01/10/2024,"481.60","487.00","472.95","478.33","4,342,448"
01/09/2024,"475.53","485.09","473.80","482.09","3,526,757"
01/08/2024,"473.89","485.24","473.65","485.03","3,675,775"
01/05/2024,"476.50","479.55","471.80","474.06","2,631,250"
01/04/2024,"472.98","480.74","466.53","474.67","3,636,513"
01/03/2024,"467.32","475.05","465.77","470.26","3,443,694"
01/02/2024,"483.19","484.65","461.86","468.50","5,049,423"
12/29/2023,"490.37","492.23","481.94","486.88","2,740,555"
12/28/2023,"492.00","492.89","489.07","490.51","1,710,492"
12/27/2023,"491.24","494.02","489.25","491.79","2,561,330"
12/26/2023,"489.39","491.48","486.38","491.19","2,034,517"
12/22/2023,"494.00","496.02","485.45","486.76","2,702,672"
12/21/2023,"492.66","494.40","486.77","491.61","2,756,225"
12/20/2023,"492.00","500.89","488.39","489.27","4,563,690"
12/19/2023,"488.40","496.14","484.06","495.02","3,849,014"
12/18/2023,"476.30","492.04","475.10","486.12","6,410,660"
12/15/2023,"467.30","473.00","467.30","472.06","7,840,992"
12/14/2023,"480.36","480.76","464.76","469.83","5,176,437"
12/13/2023,"461.98","481.25","461.98","479.98","5,820,192"
12/12/2023,"465.23","465.61","459.20","463.00","3,302,660"
12/11/2023,"459.36","470.65","457.21","459.89","4,929,662"
12/08/2023,"450.76","455.50","450.76","453.76","3,458,384"
12/07/2023,"450.85","452.89","448.32","452.00","3,506,722"
12/06/2023,"460.00","460.50","445.73","446.73","4,178,755"
12/05/2023,"450.70","456.39","449.58","455.15","3,380,674"
12/04/2023,"460.99","461.20","451.20","453.90","5,157,713"
12/01/2023,"473.17","475.23","464.60","465.74","4,341,471"
11/30/2023,"475.31","478.59","470.42","473.97","4,287,349"
11/29/2023,"479.00","480.99","474.49","477.19","2,855,540"
11/28/2023,"478.11","480.50","475.95","479.00","2,890,164"
11/27/2023,"479.03","482.00","475.35","479.17","3,625,924"
11/24/2023,"477.11","480.40","475.20","479.56","1,404,732"
11/22/2023,"476.80","482.70","476.56","478.00","2,843,891"
