Date,Open,High,Low,Close,Volume
02/20/2024,"103.13","103.84","102.17","103.30","8,759,480"
02/16/2024,"104.63","104.70","101.65","103.51","14,590,130"
02/15/2024,"107.02","107.34","105.83","106.05","7,201,273"
02/14/2024,"104.82","106.42","104.46","106.33","5,743,277"
02/13/2024,"104.99","105.80","104.25","105.00","6,180,509"
02/12/2024,"104.74","107.43","104.65","107.18","7,501,946"
02/09/2024,"103.80","104.94","103.33","104.50","5,449,022"
02/08/2024,"104.43","104.96","103.05","103.77","6,330,409"
02/07/2024,"102.39","104.34","102.35","103.79","9,447,765"
02/06/2024,"99.50","102.63","99.13","102.61","11,372,410"
02/05/2024,"100.50","100.59","99.05","99.68","10,097,940"
02/02/2024,"100.88","101.41","99.43","100.71","8,966,927"
02/01/2024,"101.90","102.25","100.61","101.76","7,666,694"
01/31/2024,"104.09","104.30","101.12","101.53","11,547,640"
01/30/2024,"103.34","104.31","103.13","104.18","7,542,837"
01/29/2024,"102.88","104.01","101.34","103.88","8,860,834"
01/26/2024,"101.57","103.27","101.22","102.75","9,735,779"
01/25/2024,"101.53","101.74","100.09","100.77","10,063,750"
01/24/2024,"101.78","101.80","100.69","100.76","7,879,315"
01/23/2024,"101.63","102.14","101.23","101.90","8,208,026"
01/22/2024,"101.75","101.81","100.09","100.56","9,897,443"
01/19/2024,"101.02","102.18","99.67","101.78","8,517,208"
01/18/2024,"101.00","101.43","100.07","100.94","8,852,439"
01/17/2024,"101.05","101.31","100.24","100.82","8,226,243"
01/16/2024,"103.94","104.22","101.36","101.72","10,547,900"
01/12/2024,"106.00","106.32","104.72","105.06","6,680,858"
01/11/2024,"104.22","106.01","103.73","105.90","9,537,701"
01/10/2024,"102.69","103.83","102.37","103.77","6,784,662"
01/09/2024,"103.17","103.40","102.50","102.74","7,759,476"
01/08/2024,"102.08","103.69","101.73","103.62","9,414,218"
01/05/2024,"102.46","103.68","101.90","102.08","8,044,543"
01/04/2024,"102.46","103.62","102.30","102.30","10,420,580"
01/03/2024,"105.72","107.48","104.00","104.04","10,573,740"
01/02/2024,"107.61","107.85","106.45","106.55","9,326,616"
12/29/2023,"108.96","109.96","108.09","108.57","7,667,522"
12/28/2023,"107.21","109.40","106.81","108.82","9,352,902"
12/27/2023,"108.34","108.59","106.85","107.13","10,157,850"
12/26/2023,"108.30","108.69","107.48","108.02","12,846,720"
12/22/2023,"108.26","110.80","107.45","108.04","46,666,191"
12/21/2023,"122.30","123.30","121.30","122.53","16,533,350"
12/20/2023,"121.13","123.39","121.00","121.43","9,176,621"
12/19/2023,"121.74","123.34","121.64","122.64","7,697,272"
12/18/2023,"121.41","121.84","120.86","121.14","6,874,837"
12/15/2023,"120.93","122.06","120.60","121.55","13,633,280"
12/14/2023,"121.44","122.59","119.82","121.02","9,590,510"
12/13/2023,"119.35","121.44","119.20","121.17","8,182,887"
12/12/2023,"119.68","119.99","118.58","119.64","7,378,379"
12/11/2023,"117.79","119.42","117.43","118.61","7,972,751"
12/08/2023,"114.50","116.29","114.47","115.91","6,122,150"
12/07/2023,"114.12","116.00","114.12","114.81","7,294,460"
12/06/2023,"116.00","117.14","115.57","116.11","6,316,960"
12/05/2023,"114.66","116.04","114.60","115.41","6,959,966"
12/04/2023,"113.08","115.32","113.00","115.15","10,086,580"
12/01/2023,"110.33","113.55","109.75","113.48","8,051,815"
11/30/2023,"110.53","110.60","108.96","110.27","8,690,871"
11/29/2023,"110.80","112.15","110.15","110.37","9,601,810"
11/28/2023,"108.57","109.90","108.15","108.75","7,287,568"
11/27/2023,"107.66","108.22","106.90","107.96","5,785,038"
11/24/2023,"107.50","108.00","107.40","107.64","2,443,610"
11/22/2023,"107.50","108.03","106.82","107.92","6,280,910"
