Date,Open,High,Low,Close,Volume
02/16/2024,"450.37","452.87","448.01","450.96","1,016,425"
02/15/2024,"447.25","451.66","446.45","450.00","974,710"
02/14/2024,"447.50","450.00","443.00","446.37","1,002,245"
02/13/2024,"453.76","455.58","443.15","446.17","1,020,165"
02/12/2024,"455.00","455.64","451.31","451.47","723,449"
02/09/2024,"452.11","455.56","450.52","454.92","906,752"
02/08/2024,"452.86","454.15","449.81","451.22","527,816"
02/07/2024,"448.17","453.93","448.17","453.90","748,257"
02/06/2024,"442.00","449.92","440.94","448.17","587,889"
02/05/2024,"443.93","445.82","440.24","442.28","1,656,039"
02/02/2024,"445.78","447.74","441.50","446.58","1,616,606"
02/01/2024,"446.77","447.77","442.70","446.22","2,179,403"
01/31/2024,"445.38","449.70","444.54","446.76","3,213,837"
01/30/2024,"443.00","445.06","437.33","443.50","2,324,819"
01/29/2024,"440.00","442.56","435.15","438.31","857,137"
01/26/2024,"435.74","439.27","431.52","437.96","1,147,626"
01/25/2024,"446.60","449.00","426.00","434.55","2,293,245"
01/24/2024,"466.62","472.99","462.81","463.92","1,194,765"
01/23/2024,"466.54","470.89","464.82","467.92","1,083,846"
01/22/2024,"469.42","470.77","466.29","466.62","871,234"
01/19/2024,"475.37","475.37","469.36","470.48","1,369,200"
01/18/2024,"475.14","476.22","468.52","474.63","875,832"
01/17/2024,"477.34","482.90","473.58","473.88","612,218"
01/16/2024,"481.50","482.17","476.03","477.90","734,619"
01/12/2024,"468.77","481.46","468.77","481.08","701,359"
01/11/2024,"472.61","473.05","465.33","467.34","544,619"
01/10/2024,"472.00","477.08","471.11","471.95","499,277"
01/09/2024,"475.30","477.82","470.00","472.23","617,523"
01/08/2024,"466.03","475.40","465.21","475.26","658,961"
01/05/2024,"472.72","472.72","467.20","469.89","511,544"
01/04/2024,"481.31","483.78","471.65","471.73","791,720"
01/03/2024,"474.44","483.83","470.84","474.88","773,573"
01/02/2024,"469.19","476.36","467.27","470.09","742,526"
12/29/2023,"466.21","468.93","465.02","468.14","403,460"
12/28/2023,"463.40","467.41","463.20","465.68","387,689"
12/27/2023,"462.90","465.85","462.60","464.22","378,382"
12/26/2023,"462.56","465.76","462.40","464.50","419,959"
12/22/2023,"461.45","465.43","461.45","463.13","362,295"
12/21/2023,"458.60","461.89","458.29","459.22","484,021"
12/20/2023,"462.71","463.85","457.14","457.16","598,454"
12/19/2023,"465.04","467.33","462.59","464.16","600,063"
12/18/2023,"462.27","466.76","460.51","465.42","757,955"
12/15/2023,"460.60","462.48","455.00","461.05","1,746,553"
12/14/2023,"479.59","480.00","461.69","463.66","1,205,481"
12/13/2023,"480.43","486.40","478.98","485.01","778,318"
12/12/2023,"479.55","481.69","477.47","479.25","379,413"
12/11/2023,"476.97","480.93","476.91","478.76","429,348"
12/08/2023,"478.72","479.84","475.36","476.25","411,324"
12/07/2023,"482.22","483.66","476.34","477.48","530,513"
12/06/2023,"475.21","481.14","475.21","480.29","446,461"
12/05/2023,"480.43","480.43","475.28","476.61","637,020"
12/04/2023,"478.49","480.56","474.96","480.33","1,079,102"
12/01/2023,"476.39","480.58","475.11","479.84","696,188"
11/30/2023,"469.22","476.27","468.39","475.16","701,255"
11/29/2023,"470.28","471.41","464.44","467.41","554,503"
11/28/2023,"470.53","473.57","468.81","470.08","550,530"
11/27/2023,"470.81","470.81","465.56","468.39","482,282"
11/24/2023,"471.50","473.61","470.34","471.52","191,235"
11/22/2023,"468.71","472.94","467.76","471.45","589,909"
11/21/2023,"465.82","472.02","462.51","471.07","448,961"
