Date,Open,High,Low,Close,Volume
02/16/2024,"253.49","254.43","251.23","252.04","1,154,899"
02/15/2024,"253.21","257.00","253.21","254.34","1,520,283"
02/14/2024,"250.96","254.15","250.42","252.26","1,572,056"
02/13/2024,"251.98","252.37","248.27","250.27","977,883"
02/12/2024,"254.65","255.14","252.09","253.92","710,420"
02/09/2024,"254.25","256.36","253.69","254.83","929,217"
02/08/2024,"250.82","254.39","250.82","254.05","975,163"
02/07/2024,"252.44","253.24","250.09","250.55","1,103,765"
02/06/2024,"248.49","253.50","248.02","251.86","952,247"
02/05/2024,"250.80","252.87","248.28","248.48","1,252,391"
02/02/2024,"253.65","254.01","248.36","251.08","2,538,098"
02/01/2024,"250.32","255.80","247.23","255.23","4,001,301"
01/31/2024,"237.86","238.91","235.05","235.24","1,740,369"
01/30/2024,"236.90","238.46","234.50","236.85","1,798,643"
01/29/2024,"231.65","239.23","229.37","238.41","2,765,251"
01/26/2024,"232.88","235.19","227.22","234.26","3,665,588"
01/25/2024,"238.81","239.85","235.23","237.85","2,550,765"
01/24/2024,"242.40","242.40","236.50","237.07","1,267,354"
01/23/2024,"241.83","242.66","239.08","241.56","1,642,107"
01/22/2024,"239.68","241.96","237.09","240.14","1,669,758"
01/19/2024,"234.72","235.98","232.70","234.05","1,416,619"
01/18/2024,"226.44","236.30","225.17","234.26","2,866,656"
01/17/2024,"225.17","228.53","224.50","226.14","1,055,676"
01/16/2024,"228.51","230.33","226.79","229.09","1,067,596"
01/12/2024,"227.85","229.77","226.25","229.53","629,291"
01/11/2024,"228.00","228.00","224.42","226.60","790,695"
01/10/2024,"227.02","228.91","226.28","228.85","657,568"
01/09/2024,"227.98","228.77","226.26","227.65","993,012"
01/08/2024,"228.57","229.95","226.08","229.71","1,299,417"
01/05/2024,"231.08","231.91","228.44","229.02","1,247,592"
01/04/2024,"232.78","233.41","230.84","231.02","932,781"
01/03/2024,"235.58","235.58","231.99","232.97","841,365"
01/02/2024,"235.57","238.24","234.24","235.66","711,086"
12/29/2023,"236.50","237.23","235.17","236.38","686,636"
12/28/2023,"235.96","236.95","235.41","236.53","552,314"
12/27/2023,"235.18","236.65","234.70","235.53","648,189"
12/26/2023,"234.13","237.64","234.06","236.34","927,891"
12/22/2023,"234.96","236.57","233.57","234.12","793,266"
12/21/2023,"229.56","234.66","229.56","234.42","927,531"
12/20/2023,"231.45","235.69","229.52","229.78","793,178"
12/19/2023,"232.44","233.89","230.78","233.62","916,010"
12/18/2023,"233.56","236.03","232.07","232.19","841,958"
12/15/2023,"230.65","234.75","230.56","232.27","1,920,177"
12/14/2023,"227.89","233.89","227.09","233.77","1,537,152"
12/13/2023,"221.72","227.79","220.26","227.61","1,012,264"
12/12/2023,"222.08","223.12","221.02","222.27","1,066,226"
12/11/2023,"221.94","222.96","220.84","221.75","1,106,047"
12/08/2023,"227.46","227.64","220.87","221.00","1,480,611"
12/07/2023,"229.04","229.11","225.26","227.39","924,888"
12/06/2023,"225.11","228.74","223.87","228.08","1,877,312"
12/05/2023,"226.63","226.97","223.51","223.91","921,859"
12/04/2023,"225.69","229.24","225.01","228.03","1,444,409"
12/01/2023,"222.00","226.95","220.12","226.47","1,385,867"
11/30/2023,"216.08","218.48","214.32","218.16","2,078,847"
11/29/2023,"212.93","215.50","211.80","215.08","972,289"
11/28/2023,"212.65","215.11","212.28","212.40","988,624"
11/27/2023,"214.61","214.82","211.13","211.88","1,619,239"
11/24/2023,"214.21","216.11","213.40","215.86","606,047"
11/22/2023,"214.18","214.56","212.46","213.91","923,904"
11/21/2023,"211.82","213.31","209.56","213.10","1,169,296"
