Date,Open,High,Low,Close,Volume
02/16/2024,"87.26","87.51","85.64","85.71","1,195,476"
02/15/2024,"87.78","88.58","86.45","87.27","1,684,334"
02/14/2024,"87.86","88.26","87.37","87.76","1,536,102"
02/13/2024,"88.94","89.10","86.57","87.24","1,312,223"
02/12/2024,"89.96","90.95","89.83","90.66","1,461,651"
02/09/2024,"89.07","90.34","88.78","89.85","1,405,648"
02/08/2024,"87.48","89.49","87.20","88.92","1,385,832"
02/07/2024,"87.89","87.98","86.79","87.23","1,229,526"
02/06/2024,"87.63","87.89","86.77","87.60","1,122,285"
02/05/2024,"87.62","87.68","86.41","87.20","1,341,628"
02/02/2024,"87.41","88.38","86.93","87.84","857,260"
02/01/2024,"87.04","87.67","86.47","87.45","942,198"
01/31/2024,"88.50","88.65","87.11","87.20","1,649,268"
01/30/2024,"88.95","89.75","88.68","88.95","1,696,291"
01/29/2024,"88.06","88.51","87.56","88.49","1,137,523"
01/26/2024,"89.27","89.27","87.64","88.06","1,551,171"
01/25/2024,"89.20","89.33","88.81","89.24","1,065,775"
01/24/2024,"88.90","89.49","88.35","88.69","1,428,311"
01/23/2024,"88.60","88.91","87.99","88.16","1,839,833"
01/22/2024,"88.71","88.94","88.16","88.62","1,420,913"
01/19/2024,"86.76","88.07","86.41","87.81","5,403,217"
01/18/2024,"86.30","86.50","85.04","86.46","1,693,361"
01/17/2024,"85.54","85.76","84.57","85.43","1,760,601"
01/16/2024,"85.63","86.22","84.81","85.96","2,321,482"
01/12/2024,"87.28","87.55","86.34","86.67","1,234,822"
01/11/2024,"86.65","87.42","85.82","86.95","1,348,109"
01/10/2024,"86.27","86.93","86.01","86.66","1,228,991"
01/09/2024,"85.34","86.32","85.06","86.07","1,684,329"
01/08/2024,"83.85","86.02","83.62","85.98","1,821,751"
01/05/2024,"85.85","86.50","85.02","85.07","1,486,539"
01/04/2024,"85.74","86.60","85.69","86.06","1,370,469"
01/03/2024,"86.20","86.99","85.91","86.31","1,824,665"
01/02/2024,"87.19","87.31","86.07","86.21","1,892,133"
12/29/2023,"88.05","88.54","87.53","88.16","1,169,139"
12/28/2023,"88.58","88.76","88.03","88.21","962,696"
12/27/2023,"89.36","89.67","88.42","88.60","726,793"
12/26/2023,"89.36","89.66","89.18","89.38","525,383"
12/22/2023,"89.93","89.99","89.01","89.40","828,399"
12/21/2023,"89.52","89.63","88.67","89.55","1,114,172"
12/20/2023,"90.26","90.69","88.90","88.93","1,417,190"
12/19/2023,"89.99","90.66","89.58","90.63","1,866,029"
12/18/2023,"88.79","89.99","88.63","89.70","2,172,998"
12/15/2023,"88.96","89.15","87.97","88.92","5,992,481"
12/14/2023,"89.79","90.20","88.51","89.21","3,155,604"
12/13/2023,"88.25","89.69","87.77","89.54","3,973,747"
12/12/2023,"90.00","90.14","88.00","88.20","2,131,710"
12/11/2023,"89.50","90.60","89.22","89.75","2,211,738"
12/08/2023,"89.08","90.22","88.93","89.39","1,634,087"
12/07/2023,"89.71","90.49","88.90","89.08","2,161,170"
12/06/2023,"91.00","91.39","89.23","89.40","2,282,518"
12/05/2023,"90.31","90.85","90.01","90.58","1,906,695"
12/04/2023,"90.86","90.96","89.43","90.31","2,450,687"
12/01/2023,"89.41","91.78","89.32","91.28","2,733,458"
11/30/2023,"89.27","91.60","88.63","91.39","6,731,391"
11/29/2023,"86.89","91.35","86.25","89.54","8,403,179"
11/28/2023,"77.87","78.69","77.56","78.11","2,572,329"
11/27/2023,"78.09","78.62","77.75","78.09","1,451,310"
11/24/2023,"77.99","78.36","77.73","78.34","466,024"
11/22/2023,"77.65","78.63","77.46","77.99","814,832"
11/21/2023,"77.61","77.88","77.30","77.43","1,251,848"
