Date,Open,High,Low,Close,Volume
02/16/2024,"80.20","80.46","79.51","79.95","1,072,325"
02/15/2024,"79.18","81.17","78.94","80.80","1,039,294"
02/14/2024,"78.66","79.16","78.24","79.04","1,105,711"
02/13/2024,"80.26","80.65","76.67","77.47","1,512,574"
02/12/2024,"79.37","81.77","79.37","81.35","1,502,780"
02/09/2024,"78.25","79.73","78.25","79.64","1,282,849"
02/08/2024,"78.99","79.40","77.96","78.47","945,962"
02/07/2024,"78.55","79.12","76.86","79.12","1,670,742"
02/06/2024,"78.68","79.20","78.02","78.20","1,077,067"
02/05/2024,"79.21","79.47","78.48","78.74","992,211"
02/02/2024,"78.56","80.80","78.40","80.38","1,340,753"
02/01/2024,"79.76","80.01","77.72","79.30","1,827,564"
01/31/2024,"80.60","81.29","79.46","79.64","2,670,771"
01/30/2024,"80.57","81.15","80.39","80.86","1,278,987"
01/29/2024,"81.23","81.47","80.60","81.30","1,101,048"
01/26/2024,"82.25","82.80","81.21","81.60","968,976"
01/25/2024,"81.78","82.27","80.92","81.79","1,792,340"
01/24/2024,"82.14","82.14","80.62","80.88","1,150,093"
01/23/2024,"81.43","82.09","81.04","81.25","1,419,889"
01/22/2024,"81.35","81.95","80.55","81.41","1,592,135"
01/19/2024,"81.32","81.72","80.15","81.14","2,306,158"
01/18/2024,"85.00","85.00","79.81","80.91","2,542,458"
01/17/2024,"81.75","83.52","81.72","82.94","1,549,581"
01/16/2024,"83.53","83.53","82.35","83.27","1,544,629"
01/12/2024,"83.87","84.65","82.76","83.81","1,092,170"
01/11/2024,"83.48","83.80","82.65","83.44","1,025,998"
01/10/2024,"84.19","84.35","82.97","84.15","1,353,631"
01/09/2024,"84.97","86.77","83.85","84.33","1,147,451"
01/08/2024,"83.66","84.30","82.99","84.18","1,000,784"
01/05/2024,"81.93","84.38","81.85","83.47","1,059,872"
01/04/2024,"82.75","83.36","82.26","82.36","910,028"
01/03/2024,"83.48","83.72","82.26","82.58","1,240,729"
01/02/2024,"84.19","85.42","83.97","84.87","968,064"
12/29/2023,"84.85","85.20","83.92","84.38","777,571"
12/28/2023,"84.86","85.04","84.43","84.96","634,283"
12/27/2023,"84.14","84.63","83.82","84.57","832,153"
12/26/2023,"84.00","84.51","83.73","84.25","638,292"
12/22/2023,"84.42","84.52","83.47","83.84","860,141"
12/21/2023,"83.78","84.29","83.10","83.80","1,087,646"
12/20/2023,"85.64","85.89","82.93","83.09","1,493,652"
12/19/2023,"85.60","86.40","85.19","85.86","1,302,703"
12/18/2023,"85.81","85.83","84.97","85.59","1,136,337"
12/15/2023,"85.43","86.00","84.63","85.45","2,341,074"
12/14/2023,"84.29","86.92","84.29","85.93","2,129,222"
12/13/2023,"80.45","82.89","80.01","82.85","1,193,737"
12/12/2023,"80.79","80.91","80.20","80.46","1,100,572"
12/11/2023,"80.50","81.18","80.04","80.83","922,448"
12/08/2023,"80.13","80.77","79.72","80.39","1,280,944"
12/07/2023,"79.90","80.31","79.20","79.86","1,579,314"
12/06/2023,"81.09","83.62","80.52","80.67","2,491,206"
12/05/2023,"80.38","81.09","79.62","80.76","1,152,534"
12/04/2023,"79.54","81.04","79.52","80.77","1,288,819"
12/01/2023,"79.05","80.72","78.69","80.28","1,571,407"
11/30/2023,"78.74","79.82","78.26","79.25","2,133,848"
11/29/2023,"77.27","78.74","77.27","78.28","1,202,066"
11/28/2023,"76.30","76.84","75.70","76.70","863,175"
11/27/2023,"76.21","76.35","75.69","76.23","801,754"
11/24/2023,"75.55","76.67","75.55","76.36","468,361"
11/22/2023,"76.17","76.26","75.43","76.15","789,547"
11/21/2023,"75.64","75.94","75.26","75.56","877,857"
