Date,Open,High,Low,Close,Volume
02/16/2024,"186.81","189.58","184.63","185.58","1,908,085"
02/15/2024,"181.42","187.00","180.77","186.36","1,194,012"
02/14/2024,"180.23","182.71","179.69","181.06","1,357,919"
02/13/2024,"183.46","183.71","178.22","179.48","1,530,701"
02/12/2024,"186.60","187.99","185.58","186.10","1,171,899"
02/09/2024,"186.56","187.10","185.16","186.54","1,198,707"
02/08/2024,"185.92","187.39","184.56","186.29","1,003,892"
02/07/2024,"182.35","187.82","182.35","186.21","1,663,730"
02/06/2024,"182.23","183.32","181.07","181.35","1,264,945"
02/05/2024,"182.12","183.24","181.23","182.31","1,508,849"
02/02/2024,"185.60","185.60","182.83","183.39","2,097,256"
02/01/2024,"187.94","189.87","185.21","185.62","2,250,285"
01/31/2024,"188.90","190.96","186.56","186.93","3,037,408"
01/30/2024,"178.00","190.74","176.88","188.90","3,647,840"
01/29/2024,"175.50","177.09","173.13","176.64","2,203,685"
01/26/2024,"175.20","177.24","174.12","175.10","1,370,575"
01/25/2024,"173.97","175.63","172.59","174.70","1,624,387"
01/24/2024,"172.80","173.73","171.30","172.63","1,379,580"
01/23/2024,"172.07","174.32","171.71","171.74","1,479,573"
01/22/2024,"166.07","170.77","166.04","170.44","1,642,923"
01/19/2024,"166.38","168.21","165.29","166.79","1,219,467"
01/18/2024,"170.46","170.79","165.91","166.40","2,470,109"
01/17/2024,"169.34","171.68","168.57","169.05","1,632,918"
01/16/2024,"168.89","171.09","167.60","170.80","1,534,714"
01/12/2024,"168.43","170.23","167.52","168.89","774,087"
01/11/2024,"168.86","169.63","166.68","168.19","823,978"
01/10/2024,"167.11","169.12","166.68","168.86","1,203,384"
01/09/2024,"171.20","171.88","166.93","167.11","2,199,096"
01/08/2024,"170.07","172.88","167.28","172.75","1,274,777"
01/05/2024,"171.44","172.62","169.87","170.57","1,489,841"
01/04/2024,"176.53","177.62","171.94","172.07","1,809,298"
01/03/2024,"173.00","178.04","172.44","176.57","1,624,206"
01/02/2024,"173.69","176.53","173.34","175.43","1,208,005"
12/29/2023,"175.00","175.43","173.52","174.04","903,590"
12/28/2023,"176.52","177.18","174.94","175.19","1,002,351"
12/27/2023,"178.12","178.86","177.28","177.87","855,795"
12/26/2023,"178.07","179.17","177.76","178.25","477,004"
12/22/2023,"177.00","178.91","176.98","178.06","927,447"
12/21/2023,"177.45","178.18","176.00","176.62","955,957"
12/20/2023,"176.83","179.29","175.66","175.69","1,543,562"
12/19/2023,"174.78","178.16","173.22","177.86","1,718,349"
12/18/2023,"175.72","178.17","173.54","174.22","1,994,764"
12/15/2023,"171.34","175.53","169.50","172.82","3,915,643"
12/14/2023,"164.60","171.23","162.94","170.85","2,399,631"
12/13/2023,"163.76","167.69","161.91","166.72","1,469,848"
12/12/2023,"165.03","166.33","162.34","163.76","1,063,441"
12/11/2023,"160.58","164.78","159.02","164.58","1,321,419"
12/08/2023,"162.61","165.06","161.85","162.09","928,537"
12/07/2023,"162.82","164.25","161.51","163.22","1,228,065"
12/06/2023,"165.12","166.85","162.00","162.24","1,532,140"
12/05/2023,"166.83","166.83","163.54","165.76","1,476,724"
12/04/2023,"169.00","170.30","167.33","167.40","1,580,645"
12/01/2023,"171.47","172.81","169.77","170.41","2,038,868"
11/30/2023,"164.65","170.78","164.18","169.97","5,483,685"
11/29/2023,"161.55","163.86","161.13","163.78","1,252,588"
11/28/2023,"161.04","163.45","160.30","161.16","1,472,523"
11/27/2023,"156.82","161.74","156.38","161.23","1,349,417"
11/24/2023,"157.58","157.99","155.72","157.16","435,064"
11/22/2023,"157.70","158.04","155.91","157.40","695,023"
11/21/2023,"156.84","159.24","156.06","157.79","1,021,843"
