Date,Open,High,Low,Close,Volume
02/20/2024,"719.47","719.56","677.34","694.52","70,483,312"
02/16/2024,"741.00","744.02","725.01","726.13","49,532,660"
02/15/2024,"738.69","739.75","724.00","726.58","42,012,180"
02/14/2024,"732.02","742.36","719.38","739.00","50,491,738"
02/13/2024,"704.00","734.50","696.20","721.28","60,258,020"
02/12/2024,"726.00","746.11","712.50","722.48","61,371,020"
02/09/2024,"705.33","721.85","702.12","721.33","43,663,688"
02/08/2024,"700.74","707.94","694.55","696.41","41,442,207"
02/07/2024,"683.19","702.20","676.00","700.99","49,557,461"
02/06/2024,"696.30","697.54","663.00","682.23","68,311,133"
02/05/2024,"682.25","694.97","672.05","693.32","68,007,797"
02/02/2024,"639.74","666.00","636.90","661.60","47,657,770"
02/01/2024,"621.00","631.91","616.50","630.27","36,914,578"
01/31/2024,"614.40","622.69","607.00","615.27","45,379,488"
01/30/2024,"629.00","634.93","622.60","627.74","41,073,527"
01/29/2024,"612.32","624.89","609.07","624.65","34,873,301"
01/26/2024,"609.60","617.83","605.73","610.31","39,030,859"
01/25/2024,"623.50","627.19","608.50","616.17","48,277,680"
01/24/2024,"603.04","628.49","599.38","613.62","56,027,078"
01/23/2024,"595.70","599.10","585.85","598.73","29,465,449"
01/22/2024,"600.49","603.31","590.70","596.54","45,295,461"
01/19/2024,"579.89","595.00","572.25","594.91","54,350,152"
01/18/2024,"572.60","576.00","561.07","571.07","49,165,039"
01/17/2024,"563.47","564.71","547.40","560.53","47,439,441"
01/16/2024,"550.18","568.35","549.00","563.82","44,957,969"
01/12/2024,"546.20","549.70","543.30","547.10","35,299,359"
01/11/2024,"549.99","553.46","535.60","548.22","59,675,879"
01/10/2024,"536.16","546.00","534.89","543.50","53,379,578"
01/09/2024,"524.01","543.25","516.90","531.40","77,310,008"
01/08/2024,"495.12","522.75","494.79","522.53","64,250,992"
01/05/2024,"484.62","495.47","483.06","490.97","41,503,930"
01/04/2024,"477.67","485.00","475.08","479.98","30,653,490"
01/03/2024,"474.85","481.84","473.20","475.69","32,089,619"
01/02/2024,"492.44","492.95","475.95","481.68","41,125,422"
12/29/2023,"498.13","499.97","487.51","495.22","38,929,328"
12/28/2023,"496.43","498.84","494.12","495.22","24,658,750"
12/27/2023,"495.11","496.80","490.85","494.17","23,364,801"
12/26/2023,"489.68","496.00","489.60","492.79","24,419,949"
12/22/2023,"491.95","493.83","484.67","488.30","25,250,680"
12/21/2023,"488.11","490.95","484.19","489.90","30,042,539"
12/20/2023,"496.55","499.99","480.98","481.11","39,789,441"
12/19/2023,"494.24","497.00","488.95","496.04","46,444,449"
12/18/2023,"494.00","504.33","491.50","500.77","41,258,719"
12/15/2023,"481.94","494.04","481.20","488.90","47,994,762"
12/14/2023,"483.90","486.70","474.22","483.50","39,123,168"
12/13/2023,"476.29","485.94","476.08","480.88","44,779,191"
12/12/2023,"460.46","476.66","460.46","476.57","37,238,688"
12/11/2023,"474.91","475.31","458.30","466.27","50,972,809"
12/08/2023,"465.95","477.41","465.50","475.06","35,922,367"
12/07/2023,"457.00","466.29","456.04","465.96","35,082,262"
12/06/2023,"472.15","473.87","454.12","455.03","38,058,961"
12/05/2023,"454.66","466.00","452.71","465.66","37,171,762"
12/04/2023,"460.77","460.77","450.10","455.10","43,754,340"
12/01/2023,"465.25","472.00","461.87","467.65","36,931,699"
11/30/2023,"480.24","481.10","464.22","467.70","52,624,660"
11/29/2023,"483.79","487.62","478.60","481.40","38,200,473"
11/28/2023,"482.36","483.23","474.73","478.21","40,149,090"
11/27/2023,"478.00","485.30","476.52","482.42","39,566,191"
11/24/2023,"484.70","489.21","477.45","477.76","29,464,461"
11/22/2023,"498.52","503.35","476.90","487.16","90,064,234"
