Date,Open,High,Low,Close,Volume
02/16/2024,"1,055.23","1,060.51","1,041.99","1,051.05","443,135"
02/15/2024,"1,050.98","1,057.20","1,037.03","1,047.90","406,179"
02/14/2024,"1,035.00","1,050.60","1,034.63","1,049.30","515,205"
02/13/2024,"1,025.00","1,041.72","1,025.00","1,039.26","487,463"
02/12/2024,"1,025.70","1,027.28","1,016.86","1,026.39","408,158"
02/09/2024,"1,025.89","1,041.33","1,021.75","1,025.82","553,829"
02/08/2024,"1,010.50","1,069.42","1,009.29","1,020.83","810,185"
02/07/2024,"1,055.71","1,074.04","1,050.48","1,067.02","605,587"
02/06/2024,"1,054.62","1,056.32","1,045.87","1,051.86","292,048"
02/05/2024,"1,043.75","1,057.23","1,040.62","1,055.62","342,615"
02/02/2024,"1,037.00","1,054.57","1,034.91","1,047.31","314,719"
02/01/2024,"1,031.11","1,042.06","1,021.29","1,041.75","278,096"
01/31/2024,"1,036.82","1,045.85","1,022.44","1,023.05","330,865"
01/30/2024,"1,030.00","1,047.57","1,027.15","1,041.12","256,921"
01/29/2024,"1,024.06","1,032.64","1,017.20","1,030.01","255,891"
01/26/2024,"1,026.38","1,028.92","1,018.06","1,022.51","268,002"
01/25/2024,"1,023.92","1,024.38","1,013.51","1,024.04","340,230"
01/24/2024,"1,025.51","1,025.51","1,010.03","1,018.45","370,809"
01/23/2024,"1,037.50","1,039.83","1,011.44","1,025.32","473,620"
01/22/2024,"1,028.61","1,039.16","1,015.69","1,035.94","362,163"
01/19/2024,"1,015.62","1,037.25","1,014.88","1,028.10","679,794"
01/18/2024,"987.08","1,015.60","987.08","1,015.53","516,778"
01/17/2024,"991.14","1,004.45","983.98","992.16","511,864"
01/16/2024,"956.99","996.83","954.33","990.25","581,518"
01/12/2024,"948.38","957.90","941.06","953.06","334,313"
01/11/2024,"937.61","947.17","935.75","944.61","330,930"
01/10/2024,"927.46","937.81","927.46","936.55","404,174"
01/09/2024,"924.38","929.14","921.25","927.90","380,015"
01/08/2024,"926.59","933.62","914.50","927.94","611,745"
01/05/2024,"935.00","937.80","924.40","925.40","468,028"
01/04/2024,"945.50","951.27","935.08","935.80","372,992"
01/03/2024,"952.10","958.54","941.38","943.71","465,712"
01/02/2024,"948.89","965.68","943.33","944.98","396,009"
12/29/2023,"944.49","950.83","941.30","950.08","350,012"
12/28/2023,"945.69","945.84","939.36","941.21","232,882"
12/27/2023,"940.00","943.84","936.09","942.55","203,657"
12/26/2023,"950.68","952.89","940.42","942.06","258,434"
12/22/2023,"957.55","962.56","951.32","952.06","335,172"
12/21/2023,"953.82","962.14","952.85","957.55","243,310"
12/20/2023,"963.00","969.09","950.00","950.25","299,567"
12/19/2023,"963.78","966.66","958.69","964.26","292,748"
12/18/2023,"952.98","964.26","952.98","960.13","406,689"
12/15/2023,"948.70","952.39","936.06","951.57","940,969"
12/14/2023,"983.72","983.72","945.53","951.12","612,699"
12/13/2023,"976.55","988.00","974.02","983.41","367,493"
12/12/2023,"971.82","973.22","967.08","972.79","281,752"
12/11/2023,"955.03","969.62","953.30","965.52","355,772"
12/08/2023,"952.99","957.98","941.93","945.88","422,768"
12/07/2023,"988.00","988.00","953.14","953.71","591,182"
12/06/2023,"982.35","986.79","979.01","985.20","373,406"
12/05/2023,"982.08","982.22","970.60","977.97","322,881"
12/04/2023,"978.48","988.16","970.55","983.22","470,040"
12/01/2023,"984.50","988.81","978.28","980.52","321,681"
11/30/2023,"975.12","982.81","971.10","982.38","509,798"
11/29/2023,"975.70","977.75","969.78","973.94","275,763"
11/28/2023,"987.08","988.94","972.02","977.43","272,106"
11/27/2023,"984.65","990.07","982.15","983.13","283,197"
11/24/2023,"992.60","992.60","984.76","987.16","97,609"
11/22/2023,"984.56","995.07","982.35","991.46","254,349"
11/21/2023,"979.91","988.07","977.29","983.59","284,229"
