Date,Open,High,Low,Close,Volume
02/22/2024,"184.17","185.82","180.72","181.71","1,238,545"
02/21/2024,"187.58","187.86","180.52","182.02","697,703"
02/20/2024,"188.50","191.20","188.15","190.05","745,911"
02/16/2024,"193.51","196.17","190.77","190.82","904,831"
02/15/2024,"190.99","196.42","189.60","194.38","1,612,295"
02/14/2024,"189.00","192.33","187.88","189.25","1,015,821"
02/13/2024,"186.75","188.66","184.00","186.97","1,097,692"
02/12/2024,"190.37","195.35","190.37","191.70","1,129,536"
02/09/2024,"196.08","197.53","187.46","190.00","1,784,148"
02/08/2024,"188.93","199.37","186.10","195.75","1,777,359"
02/07/2024,"198.05","200.13","191.96","199.03","1,264,093"
02/06/2024,"195.60","199.22","195.36","197.66","1,378,789"
02/05/2024,"194.00","194.60","189.97","194.23","798,732"
02/02/2024,"192.66","195.92","191.00","194.99","911,722"
02/01/2024,"191.35","192.81","188.23","192.72","993,361"
01/31/2024,"195.17","195.50","190.09","190.24","563,408"
01/30/2024,"194.50","197.54","193.71","195.52","490,817"
01/29/2024,"192.78","196.06","191.99","195.92","626,649"
01/26/2024,"193.94","196.15","193.13","193.81","801,096"
01/25/2024,"194.61","196.65","191.88","192.78","808,588"
01/24/2024,"199.16","199.33","193.07","193.42","680,753"
01/23/2024,"198.15","202.67","196.57","197.25","793,914"
01/22/2024,"195.69","198.05","191.00","195.21","1,505,028"
01/19/2024,"195.64","196.07","191.54","193.59","1,041,508"
01/18/2024,"194.32","195.77","188.47","195.64","712,352"
01/17/2024,"193.16","194.00","189.76","192.19","989,190"
01/16/2024,"196.02","197.01","191.23","194.74","879,821"
01/12/2024,"199.90","200.81","197.48","197.57","573,037"
01/11/2024,"202.97","202.97","196.09","200.29","832,901"
01/10/2024,"204.41","204.49","200.41","202.00","641,691"
01/09/2024,"201.99","206.17","201.99","203.02","429,470"
01/08/2024,"197.37","205.45","197.15","204.14","600,618"
01/05/2024,"193.03","200.23","192.82","197.15","624,518"
01/04/2024,"195.55","198.55","193.97","196.50","571,701"
01/03/2024,"201.57","202.43","193.74","194.45","831,823"
01/02/2024,"204.97","207.88","203.62","204.60","990,153"
12/29/2023,"207.00","208.37","205.54","206.72","522,956"
12/28/2023,"205.43","207.76","205.07","207.56","583,643"
12/27/2023,"206.19","207.35","204.77","205.69","432,962"
12/26/2023,"206.00","206.73","204.04","206.32","487,945"
12/22/2023,"208.09","208.94","204.47","205.60","495,099"
12/21/2023,"205.59","207.49","202.35","206.60","744,339"
12/20/2023,"206.77","209.62","203.19","204.03","750,474"
12/19/2023,"205.00","208.64","204.75","207.98","711,115"
12/18/2023,"203.59","204.80","200.01","203.62","668,598"
12/15/2023,"203.00","204.36","199.92","202.77","1,416,151"
12/14/2023,"201.86","207.36","199.28","203.71","1,081,140"
12/13/2023,"189.55","198.33","187.35","198.15","1,019,092"
12/12/2023,"189.56","194.58","186.32","189.44","811,645"
12/11/2023,"186.11","191.75","186.11","189.23","812,518"
12/08/2023,"183.98","190.77","183.62","186.57","1,062,264"
12/07/2023,"185.00","188.30","182.51","185.26","998,701"
12/06/2023,"183.52","186.85","181.63","185.51","890,459"
12/05/2023,"185.14","185.50","180.42","182.12","744,777"
12/04/2023,"184.25","186.77","182.66","186.20","727,837"
12/01/2023,"181.82","185.86","181.03","185.75","1,290,300"
11/30/2023,"183.30","183.30","177.90","181.66","1,371,946"
11/29/2023,"180.51","184.62","180.40","181.29","799,984"
11/28/2023,"175.62","178.63","174.75","178.26","600,933"
11/27/2023,"177.43","179.05","175.78","176.11","750,446"
11/24/2023,"177.15","179.04","176.35","178.49","501,809"
