Date,Open,High,Low,Close,Volume
02/16/2024,"122.65","123.82","122.01","123.38","1,100,291"
02/15/2024,"122.60","123.20","122.41","122.79","1,435,401"
02/14/2024,"121.80","122.79","121.27","122.22","1,792,141"
02/13/2024,"121.65","121.84","120.36","121.39","1,932,748"
02/12/2024,"122.12","122.54","121.56","122.10","2,257,088"
02/09/2024,"123.01","123.25","121.84","123.03","1,714,784"
02/08/2024,"122.00","122.81","121.10","122.75","1,084,544"
02/07/2024,"122.95","123.19","121.65","122.10","1,411,125"
02/06/2024,"120.35","122.61","119.96","122.19","2,238,545"
02/05/2024,"121.32","121.34","119.42","119.89","1,663,622"
02/02/2024,"121.19","122.09","120.19","121.77","1,946,192"
02/01/2024,"121.78","122.01","119.23","121.10","2,086,813"
01/31/2024,"123.04","123.82","121.47","121.73","2,351,279"
01/30/2024,"120.39","122.54","120.24","122.42","1,445,652"
01/29/2024,"120.57","121.53","120.46","121.36","1,490,248"
01/26/2024,"121.25","121.42","120.35","120.94","1,166,743"
01/25/2024,"121.84","123.20","120.49","121.01","1,563,786"
01/24/2024,"123.55","124.39","121.50","121.89","2,591,301"
01/23/2024,"122.64","123.50","122.51","122.82","2,017,714"
01/22/2024,"121.99","123.09","121.80","122.79","1,151,221"
01/19/2024,"121.03","122.75","119.79","122.09","2,256,426"
01/18/2024,"120.20","120.51","118.90","120.37","1,884,780"
01/17/2024,"119.36","120.37","119.36","120.11","1,385,093"
01/16/2024,"119.36","119.85","118.64","119.81","1,967,390"
01/12/2024,"119.98","120.37","118.79","119.72","1,033,813"
01/11/2024,"118.97","119.23","117.78","119.14","1,711,695"
01/10/2024,"118.70","119.26","118.16","118.89","1,011,399"
01/09/2024,"118.55","118.85","117.50","118.67","1,252,788"
01/08/2024,"117.96","119.58","117.44","119.47","2,047,509"
01/05/2024,"117.49","118.65","117.43","117.98","1,299,376"
01/04/2024,"117.42","118.46","117.15","117.85","1,525,395"
01/03/2024,"118.46","118.69","116.77","116.84","1,594,965"
01/02/2024,"118.84","119.09","117.32","117.87","1,982,081"
12/29/2023,"119.13","119.55","118.33","119.11","1,241,833"
12/28/2023,"119.36","120.07","119.06","119.50","2,203,009"
12/27/2023,"120.11","120.11","118.90","119.07","1,394,919"
12/26/2023,"119.32","120.60","119.12","120.18","1,388,325"
12/22/2023,"118.70","121.10","118.58","119.86","2,654,401"
12/21/2023,"122.25","122.25","118.59","118.90","5,819,956"
12/20/2023,"128.23","129.66","127.78","127.86","2,761,536"
12/19/2023,"127.90","129.37","127.02","128.79","2,755,408"
12/18/2023,"127.83","128.00","126.81","127.74","1,751,129"
12/15/2023,"126.54","127.84","126.33","126.84","3,827,355"
12/14/2023,"128.71","128.86","126.54","126.83","3,489,724"
12/13/2023,"126.89","128.19","125.73","128.12","2,907,720"
12/12/2023,"125.75","126.66","124.61","126.56","1,406,478"
12/11/2023,"124.79","126.13","124.73","125.20","2,264,853"
12/08/2023,"124.44","125.16","123.84","124.02","1,707,821"
12/07/2023,"124.85","125.34","123.55","124.83","1,753,254"
12/06/2023,"123.64","124.56","123.00","124.42","1,841,554"
12/05/2023,"124.01","124.27","122.53","123.04","1,731,985"
12/04/2023,"122.50","124.40","122.48","124.18","1,610,639"
12/01/2023,"121.96","124.14","121.64","123.92","1,625,865"
11/30/2023,"121.59","122.17","120.82","121.97","2,678,400"
11/29/2023,"120.00","121.91","119.67","121.15","1,991,063"
11/28/2023,"119.14","119.69","118.60","119.58","1,903,100"
11/27/2023,"118.19","119.10","117.74","118.95","1,659,805"
11/24/2023,"119.31","119.32","118.23","118.50","548,152"
11/22/2023,"119.35","119.89","118.25","118.95","2,495,315"
11/21/2023,"118.80","119.06","118.13","118.36","1,861,908"
