Date,Open,High,Low,Close,Volume
02/16/2024,"108.17","108.67","107.48","107.77","2,594,387"
02/15/2024,"107.20","108.58","106.63","108.06","1,524,885"
02/14/2024,"105.36","107.17","105.36","106.67","2,048,251"
02/13/2024,"105.12","105.40","103.97","105.19","2,295,823"
02/12/2024,"105.89","106.41","105.20","106.02","1,378,158"
02/09/2024,"105.97","106.08","104.96","106.01","1,474,686"
02/08/2024,"105.20","106.23","104.63","105.61","2,223,618"
02/07/2024,"104.86","105.61","103.90","105.06","1,885,313"
02/06/2024,"104.63","105.00","103.63","104.23","2,120,922"
02/05/2024,"102.40","104.37","102.20","104.16","2,589,441"
02/02/2024,"101.75","103.55","101.38","103.12","1,665,214"
02/01/2024,"101.24","102.23","100.56","102.02","1,725,061"
01/31/2024,"101.95","102.20","100.01","100.39","2,070,162"
01/30/2024,"100.64","102.25","100.45","101.97","1,712,974"
01/29/2024,"101.43","102.04","100.66","101.39","1,833,102"
01/26/2024,"101.49","103.35","101.41","101.76","2,058,069"
01/25/2024,"102.21","103.40","101.46","102.01","2,280,136"
01/24/2024,"101.83","102.22","100.01","100.83","3,385,358"
01/23/2024,"97.80","101.31","96.28","101.01","5,705,757"
01/22/2024,"96.33","97.80","96.11","97.09","2,931,544"
01/19/2024,"95.91","96.73","94.81","96.26","3,234,582"
01/18/2024,"94.28","95.55","94.28","95.38","2,401,496"
01/17/2024,"93.72","94.60","93.18","94.08","2,425,920"
01/16/2024,"93.64","94.32","92.96","94.05","3,323,940"
01/12/2024,"95.17","95.40","93.88","94.05","1,966,155"
01/11/2024,"94.67","95.05","93.63","94.60","1,812,785"
01/10/2024,"94.59","94.82","94.03","94.60","1,446,856"
01/09/2024,"94.77","95.08","93.70","94.82","1,930,189"
01/08/2024,"94.08","95.80","93.24","95.75","2,349,717"
01/05/2024,"93.43","94.41","93.38","93.59","1,792,752"
01/04/2024,"94.42","94.75","92.69","93.78","3,393,352"
01/03/2024,"96.59","96.59","94.46","94.93","2,835,878"
01/02/2024,"97.03","97.87","96.41","96.78","2,290,615"
12/29/2023,"97.83","98.13","97.23","97.65","1,174,928"
12/28/2023,"97.85","98.08","97.62","97.83","840,560"
12/27/2023,"97.72","98.20","97.50","97.79","1,110,305"
12/26/2023,"97.47","98.03","97.30","97.72","883,394"
12/22/2023,"97.09","97.84","96.98","97.47","1,118,614"
12/21/2023,"96.82","96.96","96.29","96.90","1,225,735"
12/20/2023,"96.30","97.43","95.87","95.90","2,292,852"
12/19/2023,"96.14","96.78","96.00","96.76","2,053,859"
12/18/2023,"96.15","96.60","95.29","95.75","2,119,134"
12/15/2023,"95.81","96.44","95.69","96.25","6,229,378"
12/14/2023,"95.06","96.13","94.67","95.81","4,213,016"
12/13/2023,"98.03","98.47","96.61","98.06","2,970,686"
12/12/2023,"98.27","98.42","97.52","97.63","2,122,683"
12/11/2023,"96.68","98.15","96.20","97.93","2,524,012"
12/08/2023,"95.20","96.11","94.88","95.38","2,186,329"
12/07/2023,"95.08","95.64","94.34","95.52","2,095,424"
12/06/2023,"94.78","95.73","94.21","94.72","2,261,526"
12/05/2023,"93.18","94.37","92.87","93.87","2,536,767"
12/04/2023,"92.24","94.69","91.80","93.72","3,473,374"
12/01/2023,"91.93","93.39","91.73","93.18","1,963,597"
11/30/2023,"91.77","92.20","91.29","91.82","2,554,624"
11/29/2023,"91.50","91.87","90.66","91.31","1,510,562"
11/28/2023,"91.90","92.09","90.83","90.94","2,596,748"
11/27/2023,"91.51","92.03","91.25","91.74","1,296,833"
11/24/2023,"91.12","92.01","91.12","92.00","654,244"
11/22/2023,"91.28","91.57","90.45","91.24","1,566,876"
11/21/2023,"91.40","91.61","90.75","91.43","1,779,459"
