Date,Open,High,Low,Close,Volume
02/20/2024,"16.43","16.69","16.40","16.63","16,078,980"
02/16/2024,"16.40","16.54","16.26","16.43","17,993,420"
02/15/2024,"16.38","16.54","16.35","16.53","13,384,450"
02/14/2024,"16.32","16.40","16.19","16.35","14,272,220"
02/13/2024,"16.39","16.45","15.94","16.29","18,850,881"
02/12/2024,"16.30","16.50","16.22","16.45","19,179,891"
02/09/2024,"16.18","16.39","16.18","16.25","19,223,141"
02/08/2024,"16.30","16.40","16.12","16.24","22,972,131"
02/07/2024,"16.34","16.47","16.25","16.41","39,379,020"
02/06/2024,"16.30","16.33","16.15","16.24","32,417,670"
02/05/2024,"16.49","16.54","16.33","16.37","17,360,480"
02/02/2024,"16.97","17.01","16.48","16.65","26,253,869"
02/01/2024,"16.81","17.12","16.76","17.12","13,828,520"
01/31/2024,"17.10","17.15","16.83","16.87","19,697,520"
01/30/2024,"16.97","17.09","16.91","16.97","12,666,560"
01/29/2024,"16.96","17.11","16.83","17.03","11,356,530"
01/26/2024,"16.72","17.05","16.72","16.99","15,735,460"
01/25/2024,"16.80","16.86","16.56","16.76","11,028,740"
01/24/2024,"16.67","16.70","16.43","16.53","18,232,750"
01/23/2024,"16.66","16.69","16.40","16.52","18,069,230"
01/22/2024,"16.88","16.94","16.57","16.66","15,654,060"
01/19/2024,"16.91","16.95","16.71","16.90","14,636,920"
01/18/2024,"16.91","17.08","16.75","16.88","17,620,250"
01/17/2024,"16.95","17.14","16.84","16.96","17,462,539"
01/16/2024,"17.39","17.46","17.10","17.11","15,636,910"
01/12/2024,"17.70","17.74","17.45","17.51","14,393,990"
01/11/2024,"18.11","18.17","17.56","17.57","16,454,971"
01/10/2024,"18.11","18.21","17.95","18.16","15,589,580"
01/09/2024,"17.90","18.10","17.83","18.06","10,140,160"
01/08/2024,"17.83","18.11","17.77","18.05","12,434,020"
01/05/2024,"17.81","17.91","17.64","17.89","15,919,680"
01/04/2024,"18.00","18.17","17.69","17.71","23,996,029"
01/03/2024,"18.01","18.13","17.85","17.97","20,148,131"
01/02/2024,"17.88","18.14","17.83","18.05","14,115,640"
12/29/2023,"18.06","18.08","17.94","18.03","9,809,370"
12/28/2023,"17.93","18.10","17.86","18.07","9,360,109"
12/27/2023,"17.84","17.94","17.78","17.93","6,495,040"
12/26/2023,"17.65","18.00","17.62","17.87","10,435,670"
12/22/2023,"17.51","17.64","17.47","17.62","14,209,050"
12/21/2023,"17.36","17.51","17.30","17.46","13,637,510"
12/20/2023,"17.62","17.68","17.33","17.36","20,987,590"
12/19/2023,"17.42","17.66","17.37","17.62","19,439,221"
12/18/2023,"17.57","17.72","17.20","17.32","30,824,160"
12/15/2023,"17.77","17.93","17.56","17.76","72,427,680"
12/14/2023,"18.30","18.32","17.72","17.90","54,678,527"
12/13/2023,"17.79","18.24","17.65","18.15","17,116,740"
12/12/2023,"17.71","17.76","17.53","17.73","13,665,850"
12/11/2023,"17.51","17.73","17.48","17.63","12,716,610"
12/08/2023,"17.37","17.63","17.21","17.61","13,305,920"
12/07/2023,"17.24","17.38","17.17","17.37","11,930,460"
12/06/2023,"17.15","17.26","17.07","17.24","8,397,092"
12/05/2023,"17.26","17.29","17.03","17.06","20,878,551"
12/04/2023,"17.42","17.59","17.24","17.27","16,207,890"
12/01/2023,"17.19","17.45","17.05","17.45","21,824,400"
11/30/2023,"17.05","17.22","16.97","17.17","59,946,641"
11/29/2023,"17.10","17.41","16.89","17.17","54,009,262"
11/28/2023,"17.93","17.94","17.35","17.50","30,116,670"
11/27/2023,"18.04","18.05","17.87","17.90","25,376,420"
11/24/2023,"17.98","18.02","17.92","18.02","6,954,402"
11/22/2023,"17.70","17.98","17.57","17.97","13,497,170"
