Date,Open,High,Low,Close,Volume
02/21/2024,"60.52","61.16","60.20","61.14","2,725,928"
02/20/2024,"59.87","60.59","59.58","60.11","2,225,359"
02/16/2024,"59.30","60.10","59.02","59.79","2,411,559"
02/15/2024,"59.07","59.86","58.96","59.60","2,639,675"
02/14/2024,"58.60","59.18","58.45","58.77","2,788,336"
02/13/2024,"59.00","59.35","57.40","58.55","2,325,614"
02/12/2024,"58.41","59.37","58.21","59.33","1,975,423"
02/09/2024,"58.03","58.62","57.83","58.42","1,436,493"
02/08/2024,"58.67","58.79","57.53","58.20","2,792,888"
02/07/2024,"59.13","59.27","58.56","59.01","3,738,803"
02/06/2024,"58.06","59.27","57.93","58.98","3,858,171"
02/05/2024,"57.69","58.86","57.24","58.20","4,118,261"
02/02/2024,"58.49","58.71","57.61","58.20","3,219,526"
02/01/2024,"57.68","59.03","57.34","59.03","2,304,139"
01/31/2024,"58.70","58.99","57.69","57.99","2,787,158"
01/30/2024,"57.89","58.52","57.60","58.25","1,874,777"
01/29/2024,"57.63","58.21","57.25","58.02","1,992,673"
01/26/2024,"57.71","57.87","57.35","57.67","1,678,034"
01/25/2024,"57.35","57.59","56.91","57.47","3,079,401"
01/24/2024,"58.43","58.48","56.85","56.98","2,664,001"
01/23/2024,"57.89","58.24","57.73","58.15","2,034,697"
01/22/2024,"58.21","58.80","57.98","58.03","2,285,194"
01/19/2024,"58.62","58.64","57.97","58.55","2,802,574"
01/18/2024,"58.44","58.60","57.81","58.33","2,698,288"
01/17/2024,"59.00","59.77","58.33","58.81","2,479,824"
01/16/2024,"60.08","60.22","59.17","59.37","2,842,123"
01/12/2024,"60.80","60.97","60.09","60.32","4,836,316"
01/11/2024,"61.77","61.80","59.88","60.31","2,635,416"
01/10/2024,"61.73","62.20","61.34","62.01","1,976,134"
01/09/2024,"61.89","62.03","61.46","61.82","1,657,297"
01/08/2024,"61.77","62.31","61.46","62.18","2,010,920"
01/05/2024,"61.57","61.90","61.21","61.73","2,706,186"
01/04/2024,"61.77","62.21","61.36","61.79","2,649,165"
01/03/2024,"61.61","61.84","61.19","61.81","2,830,622"
01/02/2024,"60.86","61.81","60.73","61.54","2,341,451"
12/29/2023,"60.67","61.19","60.60","61.15","1,981,936"
12/28/2023,"60.45","61.09","60.45","60.97","1,324,260"
12/27/2023,"60.64","60.90","60.42","60.66","1,592,422"
12/26/2023,"60.50","60.99","60.50","60.72","1,217,234"
12/22/2023,"60.71","61.25","60.63","60.65","2,063,448"
12/21/2023,"60.80","61.11","60.03","60.35","2,191,122"
12/20/2023,"61.97","62.27","60.72","60.74","2,762,791"
12/19/2023,"61.82","62.18","61.42","62.17","2,165,002"
12/18/2023,"61.59","61.76","61.18","61.70","3,116,817"
12/15/2023,"62.34","62.59","60.92","61.54","6,826,926"
12/14/2023,"64.86","64.95","62.78","62.98","4,457,910"
12/13/2023,"62.73","64.74","62.25","64.52","3,094,653"
12/12/2023,"63.12","63.12","62.34","62.49","1,612,184"
12/11/2023,"62.36","63.09","62.18","62.98","2,563,192"
12/08/2023,"62.38","62.58","61.81","62.57","2,835,032"
12/07/2023,"62.86","63.29","62.29","62.42","3,237,768"
12/06/2023,"62.95","63.34","62.65","63.19","3,935,231"
12/05/2023,"63.26","63.26","62.30","62.60","3,434,869"
12/04/2023,"62.86","63.97","62.65","63.28","2,563,239"
12/01/2023,"62.41","63.61","62.26","63.42","3,563,906"
11/30/2023,"63.18","63.41","62.29","62.43","18,266,250"
11/29/2023,"64.40","64.58","63.22","63.29","3,874,214"
11/28/2023,"64.62","65.17","64.39","64.40","2,738,316"
11/27/2023,"65.19","65.22","64.36","64.44","3,378,924"
11/24/2023,"64.88","65.19","64.57","65.09","1,199,725"
