Date,Open,High,Low,Close,Volume
02/20/2024,"167.74","169.52","167.19","168.65","6,117,866"
02/16/2024,"167.21","167.41","165.68","166.32","5,245,994"
02/15/2024,"167.95","168.37","166.68","167.86","4,451,374"
02/14/2024,"168.34","168.64","166.06","167.52","5,731,904"
02/13/2024,"171.22","171.45","167.24","168.88","7,302,014"
02/12/2024,"167.86","171.07","167.20","170.61","7,867,544"
02/09/2024,"171.20","171.39","166.97","167.67","12,731,740"
02/08/2024,"171.72","174.10","171.41","173.85","9,269,699"
02/07/2024,"172.63","172.90","171.38","171.47","5,769,679"
02/06/2024,"171.45","171.83","169.94","171.42","5,182,879"
02/05/2024,"170.55","171.58","169.05","170.92","5,142,706"
02/02/2024,"171.24","171.96","170.10","170.97","5,307,883"
02/01/2024,"168.53","171.80","167.17","171.70","4,920,789"
01/31/2024,"169.96","170.38","167.88","168.53","5,769,214"
01/30/2024,"167.67","169.70","167.32","169.62","4,804,243"
01/29/2024,"167.53","168.70","167.39","168.15","5,713,559"
01/26/2024,"166.60","168.03","166.60","167.86","4,848,987"
01/25/2024,"165.81","166.60","164.94","166.56","5,373,787"
01/24/2024,"167.64","167.74","165.52","165.60","4,984,700"
01/23/2024,"164.56","167.93","164.36","167.64","4,932,727"
01/22/2024,"165.96","166.71","165.02","165.11","5,697,428"
01/19/2024,"167.14","167.24","165.57","165.78","6,528,578"
01/18/2024,"165.47","167.28","164.99","167.17","4,709,362"
01/17/2024,"165.99","166.73","165.44","166.44","4,392,400"
01/16/2024,"167.27","167.52","165.19","166.17","4,576,842"
01/12/2024,"166.34","167.38","165.57","167.27","3,546,260"
01/11/2024,"167.14","167.14","164.82","166.13","4,800,727"
01/10/2024,"166.59","167.96","166.20","166.92","4,394,876"
01/09/2024,"167.79","167.89","165.93","167.17","6,268,763"
01/08/2024,"168.94","169.73","167.79","169.11","5,735,563"
01/05/2024,"171.57","171.57","167.56","168.94","5,252,478"
01/04/2024,"171.61","173.53","170.58","171.47","6,283,225"
01/03/2024,"175.00","175.20","172.70","172.95","5,588,224"
01/02/2024,"169.52","172.99","169.19","172.91","5,743,112"
12/29/2023,"169.34","170.07","169.17","169.84","3,291,629"
12/28/2023,"169.40","169.54","168.70","169.39","2,911,277"
12/27/2023,"168.90","169.49","168.36","169.40","3,502,620"
12/26/2023,"167.65","169.42","167.25","168.86","2,779,405"
12/22/2023,"167.36","168.17","166.86","167.68","3,030,355"
12/21/2023,"166.50","167.10","165.39","166.97","4,374,203"
12/20/2023,"166.51","167.47","165.67","165.69","5,157,779"
12/19/2023,"167.94","168.83","167.31","167.95","4,855,853"
12/18/2023,"168.06","170.25","167.41","168.91","5,439,517"
12/15/2023,"167.45","168.51","166.45","167.00","17,734,650"
12/14/2023,"171.65","171.97","167.94","168.25","7,119,267"
12/13/2023,"168.54","172.05","168.12","172.01","6,082,063"
12/12/2023,"169.28","169.28","167.71","168.47","4,515,820"
12/11/2023,"167.44","168.13","166.46","167.82","6,912,556"
12/08/2023,"167.04","167.12","165.27","165.68","5,115,158"
12/07/2023,"168.00","168.30","166.70","167.46","4,934,842"
12/06/2023,"167.98","168.32","166.73","167.51","4,726,646"
12/05/2023,"169.15","169.57","167.71","167.94","4,553,781"
12/04/2023,"168.40","169.92","168.19","169.14","5,323,333"
12/01/2023,"168.37","168.85","167.38","168.69","4,897,439"
11/30/2023,"166.11","168.36","164.82","168.29","7,346,920"
11/29/2023,"169.10","169.12","166.65","167.16","4,722,423"
11/28/2023,"168.38","169.76","168.02","168.86","4,056,190"
11/27/2023,"169.70","169.70","168.09","168.32","3,664,714"
11/24/2023,"168.95","170.02","168.95","169.37","1,751,667"
11/22/2023,"168.35","169.57","168.30","169.22","3,235,732"
