Date,Open,High,Low,Close,Volume
02/20/2024,"27.61","28.14","27.52","27.59","34,232,008"
02/16/2024,"27.55","27.89","27.21","27.62","35,935,328"
02/15/2024,"27.25","27.81","27.22","27.51","36,111,621"
02/14/2024,"27.01","27.17","26.91","27.11","25,270,221"
02/13/2024,"27.54","27.83","26.86","26.97","37,927,461"
02/12/2024,"27.54","28.02","27.52","27.66","30,323,721"
02/09/2024,"27.56","27.59","27.38","27.56","29,062,711"
02/08/2024,"27.56","27.69","27.41","27.57","29,048,350"
02/07/2024,"27.55","27.65","27.30","27.56","36,843,008"
02/06/2024,"26.66","27.73","26.57","27.50","56,994,488"
02/05/2024,"26.94","26.94","26.52","26.57","42,633,398"
02/02/2024,"27.18","27.20","26.69","26.93","51,718,527"
02/01/2024,"27.10","27.33","26.73","27.29","53,882,961"
01/31/2024,"27.17","27.51","26.78","27.08","81,192,094"
01/30/2024,"27.89","28.37","26.95","27.02","86,072,430"
01/29/2024,"27.52","27.63","27.31","27.48","67,082,719"
01/26/2024,"27.63","27.91","27.36","27.47","47,073,762"
01/25/2024,"27.82","27.92","27.45","27.47","47,605,551"
01/24/2024,"28.54","28.78","28.33","28.33","42,720,738"
01/23/2024,"28.44","28.65","28.15","28.43","33,466,648"
01/22/2024,"28.32","28.62","27.93","28.31","41,663,953"
01/19/2024,"28.03","28.38","27.93","28.28","35,549,289"
01/18/2024,"28.04","28.13","27.60","28.09","50,321,152"
01/17/2024,"28.16","28.53","27.93","28.15","33,312,578"
01/16/2024,"28.60","28.72","28.22","28.32","38,825,980"
01/12/2024,"28.46","28.94","28.44","28.70","30,373,490"
01/11/2024,"28.83","28.92","28.27","28.40","46,884,711"
01/10/2024,"29.36","29.39","28.88","28.99","37,413,289"
01/09/2024,"29.60","29.86","29.32","29.40","39,856,898"
01/08/2024,"29.36","29.68","29.17","29.58","32,972,129"
01/05/2024,"29.02","29.49","28.75","29.47","33,612,840"
01/04/2024,"29.79","29.95","29.03","29.09","45,558,160"
01/03/2024,"30.00","30.04","29.41","29.73","43,426,500"
01/02/2024,"28.88","30.28","28.83","29.73","57,948,711"
12/29/2023,"28.78","28.87","28.54","28.79","30,363,080"
12/28/2023,"28.61","29.03","28.58","28.79","30,472,891"
12/27/2023,"28.47","28.73","28.31","28.61","35,000,660"
12/26/2023,"28.43","28.53","28.25","28.41","30,119,119"
12/22/2023,"28.44","28.79","28.18","28.40","35,162,312"
12/21/2023,"27.86","28.36","27.78","28.31","51,056,621"
12/20/2023,"28.19","28.26","27.61","27.63","56,184,328"
12/19/2023,"27.28","28.24","27.27","28.16","70,094,656"
12/18/2023,"26.92","27.30","26.72","27.06","63,329,379"
12/15/2023,"26.13","26.99","26.08","26.63","138,388,406"
12/14/2023,"26.76","27.32","26.01","26.13","101,889,797"
12/13/2023,"26.28","26.73","25.76","26.66","158,100,703"
12/12/2023,"28.62","28.86","28.35","28.58","48,587,527"
12/11/2023,"28.78","28.81","28.44","28.64","37,833,859"
12/08/2023,"28.65","28.97","28.59","28.78","31,890,740"
12/07/2023,"28.82","28.90","28.50","28.63","35,782,910"
12/06/2023,"29.09","29.40","28.72","28.79","33,410,520"
12/05/2023,"29.21","29.60","29.07","29.09","39,853,008"
12/04/2023,"29.02","29.64","29.02","29.28","47,410,449"
12/01/2023,"28.97","29.40","28.30","28.91","103,624,000"
11/30/2023,"30.31","30.51","29.96","30.47","45,356,594"
11/29/2023,"29.77","30.22","29.73","30.08","26,185,160"
11/28/2023,"30.11","30.11","29.64","29.69","29,497,711"
11/27/2023,"30.75","30.75","30.03","30.14","26,066,750"
11/24/2023,"30.38","30.70","30.38","30.50","11,129,740"
11/22/2023,"30.39","30.58","30.14","30.32","19,230,180"
