Date,Open,High,Low,Close,Volume
02/16/2024,"80.49","80.52","79.62","80.04","1,490,885"
02/15/2024,"79.18","81.33","79.18","80.94","1,551,149"
02/14/2024,"79.80","80.08","78.14","78.69","1,824,465"
02/13/2024,"81.00","83.39","78.33","79.26","2,377,374"
02/12/2024,"78.53","79.94","78.31","78.94","1,254,715"
02/09/2024,"77.47","78.48","76.82","78.20","843,159"
02/08/2024,"78.11","78.18","76.79","77.76","908,897"
02/07/2024,"78.60","78.92","77.98","78.11","1,223,441"
02/06/2024,"77.50","78.48","77.50","78.40","990,587"
02/05/2024,"77.14","77.94","76.47","77.52","712,682"
02/02/2024,"77.53","78.43","77.09","78.02","852,607"
02/01/2024,"78.51","78.62","75.65","77.73","1,117,224"
01/31/2024,"80.69","80.89","78.93","79.10","1,099,846"
01/30/2024,"79.87","80.87","79.87","80.75","790,439"
01/29/2024,"80.23","80.54","79.82","80.42","584,155"
01/26/2024,"80.00","80.68","79.87","80.51","577,556"
01/25/2024,"80.59","80.59","79.51","80.16","666,548"
01/24/2024,"80.16","80.56","79.74","79.90","773,651"
01/23/2024,"79.36","79.84","79.14","79.45","541,215"
01/22/2024,"78.68","79.83","78.56","79.26","971,910"
01/19/2024,"77.60","78.50","76.90","78.32","1,227,835"
01/18/2024,"77.16","77.41","76.63","77.22","932,998"
01/17/2024,"77.38","78.29","76.80","77.20","608,024"
01/16/2024,"78.27","78.27","77.60","78.14","865,054"
01/12/2024,"79.14","79.82","78.40","78.75","702,901"
01/11/2024,"78.78","79.05","77.74","78.97","831,287"
01/10/2024,"78.53","79.05","78.22","79.00","688,850"
01/09/2024,"79.80","80.06","78.52","78.61","770,866"
01/08/2024,"80.50","80.84","80.04","80.48","779,811"
01/05/2024,"79.33","81.10","79.33","80.82","1,827,503"
01/04/2024,"78.84","79.95","78.79","79.39","1,116,500"
01/03/2024,"78.70","79.35","78.16","78.67","1,368,195"
01/02/2024,"78.39","79.42","78.32","79.11","911,549"
12/29/2023,"79.32","79.45","78.48","78.67","846,463"
12/28/2023,"79.10","79.65","78.85","79.25","717,506"
12/27/2023,"79.11","79.47","78.69","79.20","706,285"
12/26/2023,"78.81","79.54","78.67","79.28","543,591"
12/22/2023,"79.08","79.64","78.54","78.90","1,050,207"
12/21/2023,"78.67","78.97","77.75","78.71","905,198"
12/20/2023,"79.13","80.00","78.34","78.36","1,310,451"
12/19/2023,"78.03","79.61","77.78","79.48","1,586,726"
12/18/2023,"78.97","78.97","77.75","77.79","907,998"
12/15/2023,"79.20","79.29","78.33","78.45","2,922,750"
12/14/2023,"79.13","80.25","79.10","79.58","1,259,434"
12/13/2023,"76.47","78.39","76.18","78.08","1,148,203"
12/12/2023,"76.02","76.39","75.67","76.31","686,713"
12/11/2023,"75.23","76.29","75.23","75.98","811,703"
12/08/2023,"74.55","75.45","74.55","75.15","681,439"
12/07/2023,"74.78","74.95","74.37","74.65","1,065,103"
12/06/2023,"75.08","75.91","74.39","74.60","945,631"
12/05/2023,"74.75","75.07","74.24","74.57","1,233,893"
12/04/2023,"74.11","75.25","73.98","75.10","1,238,568"
12/01/2023,"73.80","74.83","73.68","74.53","1,142,182"
11/30/2023,"73.71","74.54","73.22","73.83","3,323,434"
11/29/2023,"72.65","75.06","72.61","74.17","1,999,543"
11/28/2023,"71.90","72.35","71.39","72.30","1,136,388"
11/27/2023,"72.23","72.28","71.52","72.10","1,251,131"
11/24/2023,"72.41","72.89","72.16","72.65","402,149"
11/22/2023,"72.54","72.54","71.87","72.25","923,943"
11/21/2023,"72.33","72.73","72.11","72.21","1,183,770"
