Date,Open,High,Low,Close,Volume
02/20/2024,"158.70","159.79","158.13","158.51","6,622,058"
02/16/2024,"157.04","158.45","156.67","157.51","6,617,706"
02/15/2024,"156.30","157.42","156.15","157.01","6,249,241"
02/14/2024,"156.16","156.16","154.91","155.63","5,727,455"
02/13/2024,"157.75","158.97","155.48","156.27","6,046,869"
02/12/2024,"157.36","157.61","155.49","157.11","5,482,124"
02/09/2024,"158.26","158.34","156.96","157.42","5,978,181"
02/08/2024,"158.80","159.10","157.77","158.64","6,121,778"
02/07/2024,"159.10","159.83","158.74","159.12","7,209,276"
02/06/2024,"158.31","159.07","157.87","158.96","6,185,982"
02/05/2024,"158.17","159.00","157.56","158.21","6,931,933"
02/02/2024,"158.97","159.60","157.53","158.09","7,937,716"
02/01/2024,"156.77","159.30","156.62","159.18","7,601,144"
01/31/2024,"157.99","158.50","156.70","157.14","8,870,215"
01/30/2024,"156.34","157.92","155.82","157.49","7,794,730"
01/29/2024,"156.68","157.33","155.40","156.16","8,987,609"
01/26/2024,"155.81","156.16","155.34","156.14","8,356,819"
01/25/2024,"152.40","155.66","152.06","155.62","10,352,450"
01/24/2024,"153.93","154.23","152.09","152.12","11,592,670"
01/23/2024,"153.11","156.40","152.89","153.98","19,101,561"
01/22/2024,"146.97","148.21","146.28","147.86","11,084,130"
01/19/2024,"148.25","148.62","147.31","147.57","7,848,138"
01/18/2024,"148.23","148.40","146.92","148.14","6,526,221"
01/17/2024,"149.16","150.60","149.01","149.94","6,541,439"
01/16/2024,"150.15","151.50","148.88","149.79","8,120,101"
01/12/2024,"150.95","151.30","149.89","150.60","5,684,834"
01/11/2024,"150.05","150.80","149.29","150.51","6,659,447"
01/10/2024,"149.35","150.00","149.26","149.94","8,591,116"
01/09/2024,"148.57","149.40","148.05","149.30","9,786,934"
01/08/2024,"147.91","148.92","147.65","148.69","8,255,307"
01/05/2024,"148.72","148.87","146.55","147.42","5,294,358"
01/04/2024,"148.05","149.27","147.77","148.65","7,067,618"
01/03/2024,"148.34","149.20","147.18","147.84","7,697,534"
01/02/2024,"146.36","149.41","146.31","148.74","7,238,388"
12/29/2023,"146.00","146.96","145.73","146.54","5,300,991"
12/28/2023,"146.00","146.01","145.04","145.73","5,023,033"
12/27/2023,"145.65","146.31","145.36","146.06","4,569,442"
12/26/2023,"145.09","146.17","144.97","145.94","3,634,885"
12/22/2023,"144.50","145.63","144.29","145.28","4,413,842"
12/21/2023,"144.52","144.79","143.13","144.26","6,104,714"
12/20/2023,"145.57","146.07","143.84","143.91","7,663,841"
12/19/2023,"145.67","146.34","145.39","146.17","5,233,563"
12/18/2023,"144.17","147.49","144.15","146.17","8,421,950"
12/15/2023,"143.18","144.25","142.50","143.96","14,549,960"
12/14/2023,"148.46","148.55","144.38","144.66","10,565,170"
12/13/2023,"145.86","148.65","145.45","148.58","9,055,532"
12/12/2023,"145.86","146.23","145.08","145.94","6,069,202"
12/11/2023,"144.80","145.87","144.65","145.82","8,471,213"
12/08/2023,"145.92","146.24","144.52","145.15","6,385,269"
12/07/2023,"146.57","147.10","146.02","146.50","6,119,624"
12/06/2023,"147.01","147.16","145.64","146.65","7,610,079"
12/05/2023,"152.14","152.61","146.18","146.76","11,895,820"
12/04/2023,"151.77","152.53","151.66","152.06","6,578,318"
12/01/2023,"153.33","153.49","152.23","152.66","5,685,434"
11/30/2023,"150.90","153.63","150.08","153.52","9,771,509"
11/29/2023,"152.29","152.45","150.99","151.13","5,342,709"
11/28/2023,"151.15","152.77","151.15","152.29","6,110,455"
11/27/2023,"151.52","151.64","150.74","151.24","6,021,326"
11/24/2023,"151.18","151.74","151.03","151.38","2,132,494"
11/22/2023,"150.10","151.48","150.10","151.02","4,373,087"
