Date,Open,High,Low,Close,Volume
02/16/2024,"524.03","527.43","520.00","520.06","703,279"
02/15/2024,"523.71","527.06","520.14","521.87","644,926"
02/14/2024,"519.76","525.36","518.27","521.91","688,553"
02/13/2024,"510.00","513.27","505.67","511.63","801,187"
02/12/2024,"519.05","521.37","516.79","518.20","575,534"
02/09/2024,"516.24","521.50","513.99","521.38","565,277"
02/08/2024,"512.82","515.59","509.02","515.51","478,926"
02/07/2024,"515.25","517.51","511.63","514.22","529,605"
02/06/2024,"509.69","511.58","505.03","511.55","649,141"
02/05/2024,"506.41","512.10","506.41","508.87","794,220"
02/02/2024,"499.59","514.85","488.45","510.36","1,165,224"
02/01/2024,"492.20","500.66","482.60","500.18","1,632,668"
01/31/2024,"473.86","474.43","463.16","464.50","1,686,286"
01/30/2024,"474.83","479.14","474.56","477.86","806,625"
01/29/2024,"470.79","476.59","469.26","476.50","615,926"
01/26/2024,"473.16","474.09","469.89","471.59","444,767"
01/25/2024,"471.65","473.77","466.31","471.80","692,758"
01/24/2024,"471.95","471.95","464.46","464.88","557,195"
01/23/2024,"475.45","475.45","467.58","469.10","469,910"
01/22/2024,"472.19","477.37","472.18","473.52","384,187"
01/19/2024,"467.40","471.56","464.79","470.37","650,186"
01/18/2024,"458.09","466.27","458.09","465.70","443,373"
01/17/2024,"455.14","458.74","453.19","456.05","635,031"
01/16/2024,"457.77","461.08","454.00","460.75","594,351"
01/12/2024,"465.00","465.83","458.39","460.32","327,416"
01/11/2024,"462.37","464.03","455.93","462.64","449,051"
01/10/2024,"458.17","461.10","456.00","460.78","456,214"
01/09/2024,"454.68","457.47","449.89","457.46","525,290"
01/08/2024,"455.09","458.74","451.67","458.69","486,432"
01/05/2024,"451.58","456.06","451.50","453.55","423,854"
01/04/2024,"451.95","459.36","451.50","452.06","545,986"
01/03/2024,"456.63","458.56","449.39","450.68","553,729"
01/02/2024,"458.48","461.36","456.92","458.61","635,591"
12/29/2023,"462.64","464.00","459.95","460.70","401,635"
12/28/2023,"447.51","463.58","440.00","461.96","467,719"
12/27/2023,"461.14","463.36","460.05","462.25","302,798"
12/26/2023,"458.41","462.89","458.33","461.46","267,505"
12/22/2023,"456.35","460.22","455.23","458.19","376,351"
12/21/2023,"453.59","456.71","451.57","455.90","313,528"
12/20/2023,"458.94","462.17","448.96","449.42","625,666"
12/19/2023,"456.50","462.11","455.41","460.26","546,989"
12/18/2023,"455.50","455.50","450.93","453.49","514,314"
12/15/2023,"453.09","458.37","451.84","453.60","1,331,684"
12/14/2023,"446.85","456.73","446.10","455.41","766,630"
12/13/2023,"442.19","444.72","435.77","441.54","644,095"
12/12/2023,"439.43","443.41","437.89","440.83","518,480"
12/11/2023,"436.80","439.89","436.40","438.22","829,202"
12/08/2023,"432.91","440.03","432.91","438.63","858,426"
12/07/2023,"435.93","436.59","431.98","433.77","532,556"
12/06/2023,"437.39","443.91","433.55","434.32","417,157"
12/05/2023,"436.99","438.61","433.86","434.83","492,804"
12/04/2023,"435.13","439.65","434.09","438.15","553,075"
12/01/2023,"433.11","441.09","433.11","440.16","578,698"
11/30/2023,"430.38","434.15","426.78","433.18","636,738"
11/29/2023,"430.82","433.09","426.65","428.06","504,089"
11/28/2023,"432.55","436.50","426.49","426.53","803,944"
11/27/2023,"430.49","433.85","429.35","431.92","384,689"
11/24/2023,"432.26","435.17","430.05","433.67","221,694"
11/22/2023,"432.80","434.97","429.78","431.23","572,105"
11/21/2023,"430.88","435.33","428.99","432.92","453,942"
