Date,Open,High,Low,Close,Volume
02/16/2024,"148.42","149.91","147.69","148.85","1,466,190"
02/15/2024,"148.75","150.26","147.37","149.63","1,992,033"
02/14/2024,"146.63","147.89","145.97","147.87","1,265,543"
02/13/2024,"146.78","147.20","142.80","145.26","2,121,422"
02/12/2024,"147.77","150.16","147.35","149.14","1,612,711"
02/09/2024,"147.87","148.38","146.68","147.77","1,157,621"
02/08/2024,"147.17","148.18","145.84","147.93","1,492,596"
02/07/2024,"149.30","149.88","146.30","148.17","3,150,185"
02/06/2024,"145.80","150.05","145.64","149.29","3,915,046"
02/05/2024,"146.47","147.84","145.43","145.83","1,665,530"
02/02/2024,"143.98","148.90","142.40","148.13","4,080,557"
02/01/2024,"151.54","151.74","144.89","145.44","5,011,103"
01/31/2024,"151.77","155.40","150.89","151.21","2,041,207"
01/30/2024,"153.30","154.72","152.81","154.25","1,236,821"
01/29/2024,"151.00","153.51","150.84","153.48","1,176,476"
01/26/2024,"151.07","152.28","150.58","151.60","999,345"
01/25/2024,"152.00","152.00","149.25","151.25","1,368,848"
01/24/2024,"150.90","151.56","150.03","150.23","1,368,740"
01/23/2024,"149.82","150.77","148.17","149.91","1,843,933"
01/22/2024,"151.09","152.63","149.32","149.43","2,767,574"
01/19/2024,"147.00","150.94","146.29","150.79","2,222,643"
01/18/2024,"148.95","149.39","145.06","146.29","2,708,276"
01/17/2024,"147.26","152.32","146.44","148.82","2,878,507"
01/16/2024,"147.72","149.88","143.83","149.02","4,158,964"
01/12/2024,"151.79","152.86","147.96","148.92","3,013,415"
01/11/2024,"154.53","154.54","149.88","152.54","2,239,787"
01/10/2024,"154.50","155.42","153.21","155.18","1,515,710"
01/09/2024,"156.22","156.22","154.02","154.51","1,678,466"
01/08/2024,"156.00","157.69","154.58","157.52","1,522,941"
01/05/2024,"153.17","157.14","152.30","156.23","2,116,278"
01/04/2024,"151.89","154.12","151.82","152.53","2,785,840"
01/03/2024,"154.80","155.45","151.40","151.66","2,098,627"
01/02/2024,"153.98","157.41","153.13","156.50","2,473,197"
12/29/2023,"155.27","156.11","154.52","154.85","1,572,627"
12/28/2023,"155.44","156.21","154.95","155.63","1,153,323"
12/27/2023,"153.50","155.05","152.62","155.00","1,245,436"
12/26/2023,"152.34","154.58","151.95","154.10","1,066,680"
12/22/2023,"151.79","153.49","151.56","152.47","1,202,080"
12/21/2023,"150.99","153.07","150.43","151.77","1,683,520"
12/20/2023,"153.80","155.38","149.58","149.67","2,352,997"
12/19/2023,"151.45","154.88","150.48","154.60","2,373,544"
12/18/2023,"152.81","152.81","149.97","151.41","2,648,752"
12/15/2023,"152.90","154.47","151.76","152.33","5,912,676"
12/14/2023,"149.65","154.13","148.05","153.31","4,269,968"
12/13/2023,"140.67","146.45","140.34","146.32","2,455,328"
12/12/2023,"140.93","141.75","140.14","140.85","1,317,623"
12/11/2023,"141.28","141.75","140.22","141.00","2,254,354"
12/08/2023,"139.94","141.54","139.20","140.67","2,444,452"
12/07/2023,"140.14","141.15","139.19","139.77","2,249,469"
12/06/2023,"139.99","142.06","139.00","139.36","2,000,435"
12/05/2023,"139.97","140.28","138.47","138.66","2,147,567"
12/04/2023,"137.13","141.05","136.40","140.79","2,935,124"
12/01/2023,"133.69","139.05","133.29","139.00","2,580,721"
11/30/2023,"132.62","134.70","132.11","133.96","3,265,216"
11/29/2023,"130.47","133.17","130.10","132.38","2,492,849"
11/28/2023,"128.60","129.73","127.83","129.59","1,592,911"
11/27/2023,"127.74","129.06","127.49","128.85","1,415,777"
11/24/2023,"127.70","129.21","127.15","128.70","640,824"
11/22/2023,"128.54","128.75","127.08","127.95","1,036,259"
11/21/2023,"129.52","130.00","127.85","127.97","1,248,050"
