Date,Open,High,Low,Close,Volume
02/16/2024,"75.40","75.94","74.71","74.92","1,537,419"
02/15/2024,"75.31","75.62","74.55","75.43","1,095,541"
02/14/2024,"74.84","75.42","73.96","74.98","601,385"
02/13/2024,"73.72","74.54","72.44","73.88","1,557,371"
02/12/2024,"74.42","75.74","74.35","75.30","1,145,590"
02/09/2024,"74.44","74.77","73.88","74.48","1,394,223"
02/08/2024,"74.33","74.58","73.58","74.44","1,610,129"
02/07/2024,"73.95","74.66","73.38","74.10","1,610,530"
02/06/2024,"72.52","73.76","72.30","73.58","1,265,115"
02/05/2024,"73.26","73.27","72.03","72.39","1,554,452"
02/02/2024,"74.14","74.30","73.19","73.83","1,530,546"
02/01/2024,"73.78","74.87","72.55","74.81","1,701,413"
01/31/2024,"72.76","74.61","72.54","73.17","4,531,560"
01/30/2024,"71.40","75.41","71.40","72.90","2,447,286"
01/29/2024,"72.25","73.26","71.81","73.26","2,358,431"
01/26/2024,"72.35","72.79","71.99","72.44","2,783,415"
01/25/2024,"71.28","72.21","70.98","72.16","1,299,377"
01/24/2024,"72.36","72.36","70.59","70.69","2,381,554"
01/23/2024,"73.00","73.00","71.34","71.83","1,499,321"
01/22/2024,"71.96","72.89","71.81","72.76","899,567"
01/19/2024,"70.79","71.49","70.06","71.36","1,490,021"
01/18/2024,"70.04","70.77","69.56","70.68","748,069"
01/17/2024,"70.06","70.53","69.42","69.87","1,198,776"
01/16/2024,"70.19","70.75","69.71","70.70","1,758,002"
01/12/2024,"72.09","72.26","70.50","70.77","1,162,593"
01/11/2024,"71.38","71.80","70.44","71.51","2,530,495"
01/10/2024,"69.72","70.76","69.50","70.74","1,335,415"
01/09/2024,"69.16","69.42","68.69","69.40","1,543,070"
01/08/2024,"68.92","69.84","68.63","69.83","1,008,108"
01/05/2024,"68.44","69.37","68.33","68.69","1,643,496"
01/04/2024,"68.19","69.21","68.08","68.93","1,534,225"
01/03/2024,"70.14","70.26","68.24","68.28","1,592,351"
01/02/2024,"71.86","72.12","70.55","70.92","1,313,754"
12/29/2023,"72.81","73.27","72.47","72.71","577,230"
12/28/2023,"72.89","73.13","72.53","73.00","618,917"
12/27/2023,"72.75","73.10","72.52","72.99","544,471"
12/26/2023,"71.84","72.80","71.69","72.62","1,967,203"
12/22/2023,"71.45","72.02","71.00","71.89","1,730,173"
12/21/2023,"71.43","71.43","70.65","71.29","1,039,055"
12/20/2023,"71.43","71.82","70.49","70.58","787,954"
12/19/2023,"71.02","71.42","70.35","71.28","1,203,381"
12/18/2023,"70.78","70.78","69.68","70.16","1,273,686"
12/15/2023,"72.01","72.02","70.63","70.93","3,164,214"
12/14/2023,"69.39","72.52","69.39","72.32","2,195,530"
12/13/2023,"67.85","68.77","66.77","68.66","1,327,308"
12/12/2023,"67.41","68.10","66.91","67.35","1,018,379"
12/11/2023,"67.50","67.79","67.19","67.34","1,158,911"
12/08/2023,"66.83","67.59","66.70","67.41","3,268,835"
12/07/2023,"66.53","66.88","66.18","66.74","752,009"
12/06/2023,"65.84","67.30","65.76","66.44","952,596"
12/05/2023,"66.20","66.49","65.31","65.38","1,048,458"
12/04/2023,"65.74","66.77","65.55","66.52","1,597,714"
12/01/2023,"64.40","66.31","64.40","66.28","1,105,391"
11/30/2023,"63.93","64.75","63.38","64.54","2,237,420"
11/29/2023,"64.23","64.45","63.09","63.72","1,480,272"
11/28/2023,"63.95","64.24","63.29","63.59","1,265,169"
11/27/2023,"63.08","64.40","62.81","64.05","1,687,696"
11/24/2023,"62.63","63.22","62.63","63.22","335,401"
11/22/2023,"62.69","63.17","62.33","62.72","722,236"
11/21/2023,"62.65","62.79","62.23","62.39","908,879"
