Date,Open,High,Low,Close,Volume
02/22/2024,"69.70","70.74","69.20","70.21","1,546,036"
02/21/2024,"69.49","70.21","69.03","70.17","1,374,182"
02/20/2024,"68.12","69.49","67.90","69.10","1,126,523"
02/16/2024,"67.60","68.22","67.21","67.92","2,508,997"
02/15/2024,"67.04","68.00","67.04","67.90","1,535,085"
02/14/2024,"67.20","67.42","66.64","66.85","1,463,779"
02/13/2024,"67.87","68.04","66.26","67.17","1,453,402"
02/12/2024,"67.00","68.10","66.48","68.09","1,246,999"
02/09/2024,"66.39","67.03","66.18","67.00","1,060,555"
02/08/2024,"67.05","67.06","65.20","66.39","1,847,028"
02/07/2024,"68.44","68.65","67.08","67.24","1,161,572"
02/06/2024,"67.65","68.22","67.50","68.08","596,738"
02/05/2024,"67.99","68.40","67.18","67.81","853,707"
02/02/2024,"69.20","69.78","67.78","68.70","924,243"
02/01/2024,"68.59","70.17","68.22","70.13","1,032,777"
01/31/2024,"70.23","70.30","68.62","68.90","1,619,124"
01/30/2024,"70.20","70.93","69.69","70.42","918,302"
01/29/2024,"71.03","71.38","70.25","70.26","1,333,015"
01/26/2024,"70.33","71.37","70.16","71.37","2,242,214"
01/25/2024,"69.01","70.12","68.18","69.99","1,516,103"
01/24/2024,"70.45","70.45","67.94","68.20","2,092,835"
01/23/2024,"69.27","69.89","68.54","69.63","1,173,389"
01/22/2024,"70.40","70.46","69.25","69.40","1,169,010"
01/19/2024,"69.53","69.81","68.88","69.63","1,195,695"
01/18/2024,"69.70","70.46","69.16","69.29","1,920,908"
01/17/2024,"69.59","70.67","67.35","69.88","3,414,673"
01/16/2024,"70.88","70.92","69.63","69.86","1,468,002"
01/12/2024,"71.34","71.75","70.94","71.25","681,224"
01/11/2024,"73.15","73.15","70.80","71.03","722,026"
01/10/2024,"73.88","74.10","73.44","73.53","472,810"
01/09/2024,"74.00","74.23","73.56","73.91","598,410"
01/08/2024,"74.33","74.53","73.81","74.49","742,062"
01/05/2024,"74.40","75.18","73.90","74.33","1,169,878"
01/04/2024,"74.05","74.88","73.43","74.32","860,513"
01/03/2024,"73.23","74.05","72.70","74.02","1,117,861"
01/02/2024,"71.69","73.21","71.69","73.21","716,085"
12/29/2023,"71.42","71.87","71.26","71.84","509,278"
12/28/2023,"70.81","71.95","70.73","71.84","773,448"
12/27/2023,"71.34","71.45","70.58","70.80","702,192"
12/26/2023,"71.25","71.81","71.11","71.35","452,463"
12/22/2023,"71.33","71.88","70.93","71.13","686,479"
12/21/2023,"70.89","71.53","70.40","70.81","760,372"
12/20/2023,"72.57","72.91","70.63","70.73","1,687,230"
12/19/2023,"72.62","72.86","71.99","72.68","742,715"
12/18/2023,"73.72","73.82","72.41","72.56","1,136,581"
12/15/2023,"73.72","74.05","72.67","73.72","3,150,639"
12/14/2023,"76.99","77.08","74.67","74.71","1,497,224"
12/13/2023,"74.20","77.23","73.66","77.14","1,252,884"
12/12/2023,"75.70","75.70","73.85","74.20","1,380,759"
12/11/2023,"74.99","75.90","74.67","75.65","703,988"
12/08/2023,"76.05","76.24","75.15","75.30","1,228,794"
12/07/2023,"76.30","76.30","75.58","76.05","962,318"
12/06/2023,"75.24","76.21","75.10","76.21","733,578"
12/05/2023,"75.01","75.18","74.50","74.82","650,594"
12/04/2023,"74.52","75.53","74.52","75.09","505,221"
12/01/2023,"74.89","75.15","74.37","75.08","592,856"
11/30/2023,"74.23","75.12","74.05","74.94","895,162"
11/29/2023,"74.23","74.90","73.83","74.11","937,189"
11/28/2023,"73.86","74.87","73.53","74.34","845,894"
11/27/2023,"73.47","73.81","72.98","73.75","1,043,378"
11/24/2023,"73.58","73.98","72.91","73.26","559,474"
