Date,Open,High,Low,Close,Volume
02/16/2024,"189.11","193.99","188.14","191.01","475,992"
02/15/2024,"191.01","192.07","186.86","190.53","629,374"
02/14/2024,"191.51","191.56","186.06","188.79","960,353"
02/13/2024,"188.21","192.86","187.24","190.00","625,031"
02/12/2024,"192.01","193.25","190.10","192.11","839,306"
02/09/2024,"196.91","197.46","191.92","192.55","859,433"
02/08/2024,"198.06","198.53","194.89","196.64","424,464"
02/07/2024,"198.30","202.72","197.72","198.75","571,318"
02/06/2024,"194.98","200.33","194.20","199.63","787,025"
02/05/2024,"191.82","195.00","190.44","193.54","652,911"
02/02/2024,"190.73","196.43","190.17","194.02","523,235"
02/01/2024,"193.00","195.76","189.15","195.40","513,021"
01/31/2024,"192.46","195.01","190.28","190.87","1,760,679"
01/30/2024,"198.13","199.46","192.01","192.12","756,705"
01/29/2024,"194.94","200.43","194.00","199.36","798,858"
01/26/2024,"198.98","199.57","192.44","195.46","826,201"
01/25/2024,"204.99","204.99","196.39","198.67","721,936"
01/24/2024,"204.44","206.64","201.12","201.19","510,683"
01/23/2024,"206.05","206.99","202.27","204.29","523,162"
01/22/2024,"206.86","214.83","205.95","206.03","737,987"
01/19/2024,"204.70","205.63","202.53","204.46","553,002"
01/18/2024,"202.81","204.58","200.82","203.91","651,382"
01/17/2024,"197.03","200.99","196.79","200.90","571,273"
01/16/2024,"198.58","201.29","195.24","199.60","809,017"
01/12/2024,"208.31","211.70","200.28","200.50","1,168,691"
01/11/2024,"204.56","207.78","200.94","207.55","838,759"
01/10/2024,"204.57","206.72","203.10","205.07","1,031,674"
01/09/2024,"199.81","209.20","199.81","204.68","1,374,071"
01/08/2024,"198.39","203.07","196.37","202.43","1,016,928"
01/05/2024,"197.31","201.41","196.50","197.87","846,494"
01/04/2024,"194.29","201.46","194.29","199.81","963,380"
01/03/2024,"206.98","207.27","191.92","194.66","1,264,800"
01/02/2024,"214.14","217.46","208.29","209.11","919,396"
12/29/2023,"218.77","219.80","215.89","216.98","524,182"
12/28/2023,"221.42","222.85","218.84","219.43","511,399"
12/27/2023,"221.19","223.56","219.84","221.42","740,245"
12/26/2023,"217.53","221.39","216.00","220.71","543,751"
12/22/2023,"218.66","219.25","213.78","216.18","550,668"
12/21/2023,"213.59","219.31","213.08","218.97","661,385"
12/20/2023,"214.60","215.80","207.85","207.97","770,382"
12/19/2023,"211.50","216.12","210.43","214.61","991,273"
12/18/2023,"205.90","210.42","203.54","209.63","734,179"
12/15/2023,"206.51","208.27","204.14","206.97","1,407,098"
12/14/2023,"208.43","213.86","206.36","206.81","1,580,655"
12/13/2023,"196.74","205.05","195.00","204.83","828,817"
12/12/2023,"195.03","198.59","193.25","197.29","924,335"
12/11/2023,"193.78","195.43","189.27","195.18","831,670"
12/08/2023,"194.54","198.15","192.88","194.66","886,968"
12/07/2023,"190.50","194.75","188.88","194.54","860,102"
12/06/2023,"191.21","194.97","189.21","189.30","704,766"
12/05/2023,"192.77","193.66","188.42","191.14","720,666"
12/04/2023,"196.14","197.60","192.49","193.99","876,323"
12/01/2023,"188.62","192.50","185.87","192.19","928,368"
11/30/2023,"188.80","190.29","185.73","189.09","1,293,624"
11/29/2023,"187.16","194.87","187.16","188.92","878,100"
11/28/2023,"186.11","188.32","182.77","185.72","927,104"
11/27/2023,"186.78","189.60","185.28","187.74","964,822"
11/24/2023,"186.00","189.96","185.84","187.95","475,596"
11/22/2023,"182.32","187.59","181.62","186.31","886,395"
11/21/2023,"180.36","183.72","179.25","181.32","1,174,747"
