Date,Open,High,Low,Close,Volume
02/16/2024,"385.07","390.61","382.92","387.30","293,730"
02/15/2024,"384.93","389.37","384.67","389.13","227,291"
02/14/2024,"379.51","382.89","375.16","382.78","309,993"
02/13/2024,"379.41","383.71","373.50","375.88","316,702"
02/12/2024,"387.38","395.20","385.45","392.90","200,544"
02/09/2024,"387.27","391.01","384.42","386.65","216,098"
02/08/2024,"382.21","387.73","379.59","387.34","242,505"
02/07/2024,"375.24","383.87","369.93","380.85","350,659"
02/06/2024,"366.62","373.78","366.62","373.57","175,808"
02/05/2024,"368.87","369.71","362.36","366.68","316,862"
02/02/2024,"372.80","377.50","361.16","373.85","343,689"
02/01/2024,"373.17","377.21","367.30","377.08","330,756"
01/31/2024,"379.84","381.80","370.09","371.25","315,638"
01/30/2024,"382.85","384.10","379.41","379.65","240,836"
01/29/2024,"378.47","384.02","375.67","383.43","262,715"
01/26/2024,"378.74","380.37","373.65","377.39","300,234"
01/25/2024,"382.92","385.15","377.88","378.56","306,659"
01/24/2024,"394.19","395.80","376.93","380.90","278,404"
01/23/2024,"402.37","402.37","387.68","390.66","198,730"
01/22/2024,"389.99","400.50","388.03","399.79","254,014"
01/19/2024,"387.01","388.98","381.66","386.84","272,228"
01/18/2024,"379.64","387.30","379.28","387.00","235,435"
01/17/2024,"377.61","381.53","374.30","377.06","223,741"
01/16/2024,"377.90","382.97","374.71","381.61","287,629"
01/12/2024,"387.50","389.23","377.50","381.82","149,952"
01/11/2024,"387.22","389.82","379.44","384.88","266,813"
01/10/2024,"383.00","390.05","376.11","389.85","290,169"
01/09/2024,"377.06","383.14","377.06","381.53","129,380"
01/08/2024,"374.63","382.83","374.63","381.44","214,406"
01/05/2024,"371.60","379.74","371.60","377.73","266,076"
01/04/2024,"370.33","377.34","370.33","372.87","257,866"
01/03/2024,"382.87","383.02","373.34","373.78","309,467"
01/02/2024,"394.26","397.91","385.43","388.15","346,115"
12/29/2023,"401.28","403.98","398.05","398.71","201,470"
12/28/2023,"403.01","404.79","401.04","402.39","131,710"
12/27/2023,"402.36","405.01","399.48","403.74","193,411"
12/26/2023,"396.66","402.21","395.50","400.89","199,764"
12/22/2023,"395.83","397.76","393.10","396.11","177,982"
12/21/2023,"395.04","398.64","392.54","395.63","222,197"
12/20/2023,"391.41","400.00","389.28","390.63","362,755"
12/19/2023,"392.45","398.19","390.18","391.53","270,830"
12/18/2023,"392.67","393.05","386.28","389.81","378,897"
12/15/2023,"394.22","397.53","388.63","392.40","726,987"
12/14/2023,"371.40","398.92","371.40","396.30","1,130,449"
12/13/2023,"351.90","365.65","349.75","365.04","383,422"
12/12/2023,"355.87","361.00","349.99","351.79","355,409"
12/11/2023,"355.32","361.26","352.99","355.88","279,661"
12/08/2023,"360.25","361.87","353.51","354.12","331,417"
12/07/2023,"362.30","364.12","357.60","363.74","287,778"
12/06/2023,"356.81","366.08","356.55","362.51","351,874"
12/05/2023,"350.81","353.75","348.72","353.60","298,313"
12/04/2023,"356.84","362.48","351.31","353.64","317,895"
12/01/2023,"346.74","357.98","345.02","357.64","345,373"
11/30/2023,"346.49","348.83","338.92","347.32","593,656"
11/29/2023,"347.78","351.38","343.00","345.32","431,401"
11/28/2023,"350.89","354.10","348.89","350.31","205,459"
11/27/2023,"353.10","353.87","348.95","351.60","249,045"
11/24/2023,"354.31","356.14","353.18","354.75","62,569"
11/22/2023,"354.87","357.86","353.01","356.26","248,628"
11/21/2023,"347.64","353.44","343.90","352.40","249,973"
