Date,Open,High,Low,Close,Volume
02/16/2024,"26.41","26.81","26.11","26.64","9,228,467"
02/15/2024,"26.16","26.59","26.16","26.46","9,455,686"
02/14/2024,"26.15","26.18","25.96","26.05","7,129,654"
02/13/2024,"26.15","26.30","25.60","26.05","9,522,916"
02/12/2024,"25.89","26.32","25.78","26.30","4,485,405"
02/09/2024,"25.60","25.89","25.53","25.87","5,478,857"
02/08/2024,"25.51","25.66","25.35","25.66","3,780,423"
02/07/2024,"25.85","25.90","25.66","25.68","4,842,917"
02/06/2024,"25.60","25.79","25.49","25.69","5,876,841"
02/05/2024,"25.79","25.98","25.55","25.62","5,610,564"
02/02/2024,"26.28","26.48","25.81","26.05","4,400,320"
02/01/2024,"26.13","26.58","26.01","26.57","5,334,127"
01/31/2024,"26.22","26.53","26.04","26.20","6,314,225"
01/30/2024,"25.93","26.17","25.79","26.02","4,237,903"
01/29/2024,"25.89","26.08","25.76","26.00","3,174,059"
01/26/2024,"25.86","25.94","25.77","25.89","2,671,626"
01/25/2024,"25.79","25.88","25.54","25.83","2,991,334"
01/24/2024,"25.90","25.92","25.40","25.44","4,336,317"
01/23/2024,"25.86","25.86","25.51","25.72","7,038,398"
01/22/2024,"26.01","26.24","25.75","25.81","5,589,168"
01/19/2024,"25.97","26.11","25.74","26.01","5,337,104"
01/18/2024,"26.21","26.22","25.70","25.93","7,381,320"
01/17/2024,"26.55","26.84","26.14","26.33","4,709,704"
01/16/2024,"26.93","27.08","26.78","26.81","3,982,614"
01/12/2024,"27.26","27.29","26.99","27.08","4,199,458"
01/11/2024,"27.50","27.54","26.89","27.02","4,087,491"
01/10/2024,"27.80","27.81","27.56","27.61","3,171,089"
01/09/2024,"27.80","27.96","27.73","27.82","3,671,097"
01/08/2024,"27.77","28.00","27.63","27.99","5,669,117"
01/05/2024,"27.51","27.86","27.49","27.75","5,119,419"
01/04/2024,"27.75","27.93","27.57","27.62","5,214,357"
01/03/2024,"27.50","27.72","27.41","27.66","6,852,304"
01/02/2024,"27.00","27.56","26.97","27.51","6,433,901"
12/29/2023,"27.06","27.21","26.94","27.10","3,459,798"
12/28/2023,"27.04","27.25","26.99","27.15","5,019,670"
12/27/2023,"27.00","27.07","26.89","27.04","4,851,843"
12/26/2023,"26.75","27.13","26.75","26.98","3,862,797"
12/22/2023,"26.49","26.99","26.46","26.82","7,840,918"
12/21/2023,"26.56","26.65","26.20","26.39","3,340,135"
12/20/2023,"26.83","26.90","26.39","26.41","6,088,030"
12/19/2023,"26.94","27.03","26.73","26.88","8,630,907"
12/18/2023,"26.91","27.00","26.75","26.82","7,730,412"
12/15/2023,"26.77","26.92","26.47","26.90","19,912,500"
12/14/2023,"27.49","27.69","27.02","27.04","9,426,536"
12/13/2023,"26.16","27.31","26.04","27.27","9,514,089"
12/12/2023,"26.40","26.40","26.09","26.17","4,538,979"
12/11/2023,"25.91","26.37","25.89","26.33","6,871,311"
12/08/2023,"26.08","26.10","25.76","26.06","4,743,118"
12/07/2023,"26.15","26.24","26.00","26.09","3,732,587"
12/06/2023,"26.15","26.37","26.02","26.33","6,802,560"
12/05/2023,"26.36","26.36","25.87","26.02","7,373,538"
12/04/2023,"26.28","26.62","26.24","26.36","4,178,599"
12/01/2023,"26.10","26.51","26.00","26.48","5,803,178"
11/30/2023,"26.00","26.21","25.90","26.12","7,320,789"
11/29/2023,"26.36","26.40","25.96","26.03","5,782,904"
11/28/2023,"26.26","26.53","26.15","26.39","6,452,859"
11/27/2023,"26.31","26.36","26.12","26.24","6,601,262"
11/24/2023,"26.14","26.32","26.08","26.31","1,951,228"
11/22/2023,"26.42","26.44","26.10","26.24","4,851,677"
11/21/2023,"26.24","26.32","26.05","26.31","7,679,546"
