Date,Open,High,Low,Close,Volume
02/20/2024,"106.39","108.27","106.14","107.31","1,249,553"
02/16/2024,"107.44","108.22","107.01","107.28","1,340,743"
02/15/2024,"107.19","110.12","107.02","109.29","2,473,907"
02/14/2024,"105.72","107.32","105.65","106.40","1,627,442"
02/13/2024,"106.69","107.53","104.02","105.24","2,019,429"
02/12/2024,"105.88","108.11","105.84","107.23","1,907,532"
02/09/2024,"107.52","107.65","105.00","105.58","2,616,476"
02/08/2024,"108.74","109.63","107.39","108.61","1,844,516"
02/07/2024,"105.64","109.47","103.28","109.13","4,004,855"
02/06/2024,"102.72","103.86","102.67","103.39","2,050,809"
02/05/2024,"102.01","103.32","101.72","102.73","1,834,005"
02/02/2024,"102.73","103.66","102.25","103.21","1,523,201"
02/01/2024,"103.96","104.13","100.60","102.69","2,286,592"
01/31/2024,"106.48","106.80","104.74","104.93","2,240,938"
01/30/2024,"105.29","106.68","105.15","106.63","1,473,167"
01/29/2024,"105.87","106.07","104.81","105.58","1,199,436"
01/26/2024,"106.00","106.32","105.73","106.22","1,171,621"
01/25/2024,"104.95","105.81","104.76","105.77","1,424,890"
01/24/2024,"105.10","105.66","104.56","104.79","1,112,192"
01/23/2024,"104.46","105.08","104.20","104.32","1,060,972"
01/22/2024,"104.00","104.86","103.75","104.42","1,361,193"
01/19/2024,"102.45","103.59","101.43","103.44","1,359,770"
01/18/2024,"101.76","102.06","100.81","101.84","1,092,254"
01/17/2024,"101.73","102.86","101.39","101.85","1,061,870"
01/16/2024,"102.36","102.62","101.67","102.53","1,244,259"
01/12/2024,"104.00","104.36","102.61","103.23","973,433"
01/11/2024,"103.52","103.64","102.62","103.36","1,213,502"
01/10/2024,"103.12","103.88","102.87","103.72","1,072,916"
01/09/2024,"103.71","103.73","102.68","103.28","1,461,583"
01/08/2024,"104.13","104.66","103.58","104.52","1,344,150"
01/05/2024,"102.80","104.59","102.76","104.31","1,434,764"
01/04/2024,"102.72","104.22","102.62","102.88","1,527,276"
01/03/2024,"103.12","103.64","102.60","102.79","1,668,174"
01/02/2024,"103.50","105.07","103.46","104.57","1,476,386"
12/29/2023,"104.24","104.40","103.41","103.71","974,403"
12/28/2023,"103.57","104.33","103.57","104.23","737,173"
12/27/2023,"103.40","103.96","102.96","103.82","805,128"
12/26/2023,"103.30","104.08","103.23","103.73","598,584"
12/22/2023,"103.47","104.29","103.17","103.54","1,137,200"
12/21/2023,"102.63","103.34","102.04","103.23","1,274,493"
12/20/2023,"103.73","104.80","102.48","102.51","1,912,246"
12/19/2023,"103.27","104.75","103.10","104.34","2,777,857"
12/18/2023,"104.03","104.34","103.03","103.17","2,981,730"
12/15/2023,"104.24","104.93","103.42","103.86","4,282,704"
12/14/2023,"105.14","106.69","105.00","105.21","3,808,840"
12/13/2023,"102.10","104.37","101.85","104.14","3,253,922"
12/12/2023,"102.12","102.53","101.52","102.18","1,796,236"
12/11/2023,"101.00","102.57","100.98","101.43","1,970,195"
12/08/2023,"99.75","101.13","99.43","100.87","2,120,921"
12/07/2023,"98.50","99.75","98.24","99.66","2,254,454"
12/06/2023,"98.70","99.71","97.76","97.93","1,460,714"
12/05/2023,"97.91","98.76","97.70","98.04","1,738,911"
12/04/2023,"97.03","98.54","96.87","98.36","1,759,335"
12/01/2023,"97.42","98.13","96.95","97.74","1,774,155"
11/30/2023,"96.80","97.99","96.45","97.78","2,638,505"
11/29/2023,"96.25","97.20","96.23","96.60","1,263,689"
11/28/2023,"95.75","96.26","95.10","95.89","1,327,539"
11/27/2023,"95.31","95.96","94.92","95.82","1,063,033"
11/24/2023,"95.20","96.32","95.15","95.74","657,560"
11/22/2023,"94.38","95.26","93.99","95.12","1,032,428"
