Date,Open,High,Low,Close,Volume
02/16/2024,"282.82","285.39","281.38","281.52","852,797"
02/15/2024,"284.05","286.73","282.80","286.26","619,791"
02/14/2024,"277.69","281.92","275.62","280.48","707,314"
02/13/2024,"275.91","277.97","272.03","276.64","643,309"
02/12/2024,"284.57","285.72","280.97","281.34","515,307"
02/09/2024,"284.63","286.34","280.59","284.07","557,100"
02/08/2024,"281.15","285.37","281.07","284.90","495,641"
02/07/2024,"278.63","283.81","278.34","281.21","686,653"
02/06/2024,"274.15","279.69","273.93","278.65","649,733"
02/05/2024,"277.06","277.54","273.24","274.16","782,614"
02/02/2024,"282.47","283.06","277.00","280.56","730,577"
02/01/2024,"282.61","286.46","281.18","286.46","723,624"
01/31/2024,"286.30","288.47","281.40","283.19","759,214"
01/30/2024,"286.74","289.67","284.66","284.76","666,478"
01/29/2024,"290.00","290.00","287.14","289.81","629,615"
01/26/2024,"292.95","293.25","288.72","289.88","562,335"
01/25/2024,"291.63","293.92","289.48","291.68","634,782"
01/24/2024,"294.29","295.19","288.27","288.71","558,965"
01/23/2024,"294.67","296.16","289.53","291.85","594,731"
01/22/2024,"292.68","295.57","292.22","293.65","627,731"
01/19/2024,"291.25","293.48","289.23","291.92","651,020"
01/18/2024,"294.28","295.04","287.51","290.97","939,254"
01/17/2024,"290.85","295.92","290.61","294.50","951,471"
01/16/2024,"293.00","294.94","290.73","294.85","692,510"
01/12/2024,"292.73","295.79","290.04","295.03","791,375"
01/11/2024,"293.69","295.00","288.97","290.35","1,108,480"
01/10/2024,"296.90","296.90","293.71","295.22","1,104,566"
01/09/2024,"297.22","297.74","295.51","296.90","623,231"
01/08/2024,"297.87","300.27","296.85","300.12","857,917"
01/05/2024,"298.98","301.94","296.02","298.61","615,304"
01/04/2024,"302.17","303.87","299.56","300.18","745,121"
01/03/2024,"309.12","309.12","302.86","303.01","675,506"
01/02/2024,"304.97","312.25","303.99","311.83","823,066"
12/29/2023,"306.90","308.01","304.64","305.00","558,167"
12/28/2023,"306.01","308.35","305.29","307.80","532,485"
12/27/2023,"302.13","305.53","301.56","305.28","526,288"
12/26/2023,"298.76","303.05","298.59","301.88","380,473"
12/22/2023,"297.57","300.94","295.93","297.93","415,531"
12/21/2023,"295.88","297.36","293.45","297.14","580,494"
12/20/2023,"295.26","298.48","292.87","292.99","762,239"
12/19/2023,"290.52","296.11","288.70","294.86","770,396"
12/18/2023,"290.11","290.93","287.49","289.00","679,378"
12/15/2023,"290.63","291.42","286.68","290.06","2,184,874"
12/14/2023,"287.46","292.13","287.18","291.10","1,716,756"
12/13/2023,"273.71","284.41","272.61","282.55","1,515,780"
12/12/2023,"272.63","274.08","271.10","273.00","929,644"
12/11/2023,"273.00","277.11","272.57","276.83","817,072"
12/08/2023,"272.70","275.43","271.49","273.81","748,966"
12/07/2023,"270.00","274.56","269.05","273.09","995,086"
12/06/2023,"269.02","269.90","266.68","269.66","1,385,182"
12/05/2023,"268.56","269.95","267.55","268.83","883,549"
12/04/2023,"265.63","269.51","264.75","269.30","1,207,464"
12/01/2023,"258.43","266.62","257.79","266.00","1,301,844"
11/30/2023,"255.78","260.15","255.78","258.76","1,748,483"
11/29/2023,"258.75","259.62","256.56","257.90","1,091,404"
11/28/2023,"255.77","257.26","253.98","256.66","985,044"
11/27/2023,"255.10","258.22","252.96","256.62","817,203"
11/24/2023,"252.92","255.25","251.49","255.03","297,762"
11/22/2023,"259.59","259.71","253.70","254.72","587,854"
11/21/2023,"256.54","258.31","255.27","257.21","535,323"
