Date,Open,High,Low,Close,Volume
02/21/2024,"207.87","212.07","206.58","211.22","1,116,118"
02/20/2024,"208.48","209.36","206.61","209.20","968,955"
02/16/2024,"214.04","214.12","211.01","211.44","712,528"
02/15/2024,"213.91","214.49","210.75","214.06","684,531"
02/14/2024,"208.84","212.95","207.95","212.64","943,473"
02/13/2024,"207.67","209.00","205.82","206.84","725,198"
02/12/2024,"209.37","212.12","209.37","211.60","724,054"
02/09/2024,"208.00","211.00","206.43","210.11","684,242"
02/08/2024,"208.83","211.78","207.07","207.77","751,536"
02/07/2024,"207.59","210.94","206.20","208.90","1,020,298"
02/06/2024,"202.14","206.29","200.23","206.11","1,010,108"
02/05/2024,"202.39","204.07","200.51","202.19","924,075"
02/02/2024,"198.73","206.09","197.46","204.50","1,131,740"
02/01/2024,"195.64","201.37","195.58","200.26","1,134,516"
01/31/2024,"197.46","197.71","193.52","194.05","1,195,087"
01/30/2024,"196.21","197.57","194.48","197.25","1,297,291"
01/29/2024,"196.00","197.63","194.90","197.06","1,013,751"
01/26/2024,"198.40","198.65","194.42","196.30","870,497"
01/25/2024,"195.69","198.67","193.50","197.99","1,067,545"
01/24/2024,"196.28","196.89","192.62","193.28","1,200,177"
01/23/2024,"204.46","204.46","187.27","195.56","3,326,326"
01/22/2024,"203.23","204.51","202.21","203.46","668,426"
01/19/2024,"203.00","203.43","199.41","202.43","617,912"
01/18/2024,"201.27","203.50","200.06","201.91","455,500"
01/17/2024,"199.06","201.02","198.98","200.16","400,928"
01/16/2024,"200.95","202.26","200.30","201.37","589,926"
01/12/2024,"203.67","203.67","201.56","202.46","525,401"
01/11/2024,"203.93","204.09","200.66","202.47","743,287"
01/10/2024,"203.77","204.33","200.14","203.64","696,465"
01/09/2024,"203.62","204.41","201.36","204.10","597,263"
01/08/2024,"199.08","205.96","198.04","205.57","1,071,324"
01/05/2024,"199.47","201.32","198.13","199.08","722,014"
01/04/2024,"200.94","202.84","199.74","200.07","1,271,697"
01/03/2024,"204.04","205.57","201.43","201.74","1,354,574"
01/02/2024,"213.59","214.83","208.27","209.27","1,068,804"
12/29/2023,"215.69","216.87","214.54","215.80","457,112"
12/28/2023,"217.00","217.25","215.35","216.47","474,190"
12/27/2023,"215.14","216.03","214.51","215.95","454,145"
12/26/2023,"214.30","215.48","214.08","214.66","395,145"
12/22/2023,"213.62","214.16","210.94","214.04","766,940"
12/21/2023,"214.12","215.73","211.13","212.45","1,014,871"
12/20/2023,"216.61","219.17","212.74","212.90","1,441,961"
12/19/2023,"216.02","218.50","215.00","217.71","1,537,118"
12/18/2023,"215.16","216.10","213.96","215.00","893,600"
12/15/2023,"215.47","216.96","212.99","215.02","1,792,689"
12/14/2023,"212.37","217.25","212.29","215.80","1,496,843"
12/13/2023,"205.32","211.56","205.32","210.28","1,481,084"
12/12/2023,"201.79","206.58","201.50","205.27","1,050,588"
12/11/2023,"199.25","201.77","199.13","201.76","962,688"
12/08/2023,"195.00","199.59","194.72","199.25","1,477,662"
12/07/2023,"191.81","194.75","191.81","194.38","1,266,282"
12/06/2023,"191.14","193.16","190.18","191.85","1,007,286"
12/05/2023,"189.15","190.92","187.16","189.43","896,458"
12/04/2023,"189.17","190.63","188.33","189.64","686,442"
12/01/2023,"187.81","192.88","186.58","190.55","1,012,912"
11/30/2023,"187.09","188.78","186.18","188.31","1,889,933"
11/29/2023,"183.02","186.43","182.64","185.61","1,580,600"
11/28/2023,"185.43","186.43","180.97","181.34","1,185,342"
11/27/2023,"182.13","185.88","181.45","185.71","1,191,145"
11/24/2023,"183.65","184.29","182.00","182.58","329,322"
