Date,Open,High,Low,Close,Volume
02/16/2024,"232.00","234.12","231.00","231.57","2,683,874"
02/15/2024,"224.48","232.16","224.48","231.55","3,283,847"
02/14/2024,"227.63","229.50","224.64","225.35","2,200,762"
02/13/2024,"230.43","231.13","225.73","226.81","1,742,376"
02/12/2024,"227.70","230.09","227.57","229.34","2,387,207"
02/09/2024,"231.73","233.40","226.83","227.22","1,544,333"
02/08/2024,"228.00","232.45","227.65","231.76","1,511,330"
02/07/2024,"228.05","229.18","225.85","227.76","1,378,497"
02/06/2024,"227.10","230.00","226.10","228.05","1,700,963"
02/05/2024,"226.40","227.94","224.20","226.16","2,185,035"
02/02/2024,"230.29","231.70","226.66","227.47","1,899,117"
02/01/2024,"230.47","231.98","226.88","228.55","2,302,138"
01/31/2024,"233.85","234.29","229.48","229.83","2,396,815"
01/30/2024,"229.29","234.38","228.53","234.14","1,957,381"
01/29/2024,"229.66","230.74","227.97","230.41","1,850,102"
01/26/2024,"227.86","230.58","226.50","230.44","2,344,042"
01/25/2024,"223.85","228.52","222.97","228.27","2,089,888"
01/24/2024,"220.39","222.96","218.90","222.96","1,602,036"
01/23/2024,"215.94","220.24","215.90","219.14","2,112,825"
01/22/2024,"216.00","216.88","214.23","216.49","2,844,459"
01/19/2024,"216.51","217.11","215.77","216.83","3,348,620"
01/18/2024,"217.00","217.31","214.92","216.63","2,825,274"
01/17/2024,"216.22","219.21","215.77","217.12","2,402,292"
01/16/2024,"222.93","223.69","218.01","218.01","1,707,339"
01/12/2024,"223.99","225.18","221.75","223.69","2,018,616"
01/11/2024,"222.13","222.95","220.34","220.37","1,960,756"
01/10/2024,"223.15","223.17","220.04","221.02","1,447,858"
01/09/2024,"226.52","227.00","222.32","223.13","1,712,939"
01/08/2024,"226.10","226.41","222.20","226.35","2,208,197"
01/05/2024,"231.64","232.22","229.27","230.08","1,571,799"
01/04/2024,"234.00","235.01","229.30","229.62","1,588,931"
01/03/2024,"229.88","232.80","228.64","232.37","2,450,545"
01/02/2024,"227.02","231.80","226.88","230.28","2,119,921"
12/29/2023,"225.97","226.10","223.80","224.88","2,197,135"
12/28/2023,"227.30","228.57","224.85","224.85","2,005,111"
12/27/2023,"229.06","230.55","227.98","228.83","1,146,649"
12/26/2023,"230.43","231.55","229.83","229.99","1,599,292"
12/22/2023,"230.59","231.31","228.61","228.63","2,031,916"
12/21/2023,"227.69","229.05","226.75","228.74","1,395,023"
12/20/2023,"232.46","233.19","226.96","227.02","2,632,670"
12/19/2023,"229.10","232.20","228.91","231.48","1,864,239"
12/18/2023,"230.18","232.15","228.74","228.79","1,771,268"
12/15/2023,"226.71","227.40","225.61","227.15","3,951,497"
12/14/2023,"224.12","229.74","224.12","228.45","2,835,881"
12/13/2023,"219.91","222.99","219.66","222.62","2,861,760"
12/12/2023,"221.72","221.84","219.28","220.28","2,462,436"
12/11/2023,"223.05","224.31","221.54","223.43","2,006,169"
12/08/2023,"222.59","223.55","221.39","223.05","2,279,922"
12/07/2023,"223.00","226.37","219.74","220.60","3,956,924"
12/06/2023,"224.36","226.50","221.23","222.07","3,839,115"
12/05/2023,"230.68","230.68","225.52","225.78","2,456,301"
12/04/2023,"230.55","232.82","229.02","230.35","2,503,678"
12/01/2023,"231.00","234.95","230.39","232.15","1,806,426"
11/30/2023,"231.98","234.98","228.91","231.64","2,124,303"
11/29/2023,"233.84","234.95","228.74","229.88","2,481,933"
11/28/2023,"237.70","238.50","236.06","236.11","2,297,436"
11/27/2023,"236.93","237.17","234.45","236.40","2,391,182"
11/24/2023,"236.00","239.54","235.66","237.69","689,692"
11/22/2023,"232.95","236.46","231.62","236.25","1,613,654"
11/21/2023,"236.98","237.89","234.80","237.15","2,205,016"
