Date,Open,High,Low,Close,Volume
02/20/2024,"151.89","152.90","149.87","151.96","8,745,482"
02/16/2024,"157.47","157.76","152.60","152.69","8,429,094"
02/15/2024,"155.00","157.17","154.49","155.98","9,372,391"
02/14/2024,"151.31","154.39","151.05","153.94","8,715,118"
02/13/2024,"150.00","151.25","148.41","150.04","8,976,265"
02/12/2024,"150.38","154.76","150.25","153.10","11,806,350"
02/09/2024,"149.00","153.40","148.35","151.00","11,981,500"
02/08/2024,"146.85","148.61","146.29","148.18","9,448,662"
02/07/2024,"145.16","145.95","143.63","145.89","7,361,904"
02/06/2024,"144.50","144.81","142.43","144.10","7,286,261"
02/05/2024,"141.86","144.65","141.21","144.03","8,032,550"
02/02/2024,"140.65","142.14","139.26","141.69","10,442,670"
02/01/2024,"140.87","143.91","140.09","141.11","22,810,609"
01/31/2024,"145.34","150.16","144.34","148.51","21,184,189"
01/30/2024,"148.00","148.80","145.57","145.98","9,132,768"
01/29/2024,"150.40","151.24","148.42","149.64","10,770,720"
01/26/2024,"152.21","152.98","150.38","150.72","7,744,740"
01/25/2024,"157.60","157.98","153.67","154.47","7,740,870"
01/24/2024,"154.79","156.32","153.90","154.37","8,331,852"
01/23/2024,"152.87","153.74","151.41","153.50","6,232,270"
01/22/2024,"152.75","154.58","151.87","152.87","10,456,110"
01/19/2024,"147.27","152.77","146.74","151.96","16,193,890"
01/18/2024,"143.15","145.65","142.33","145.29","12,892,980"
01/17/2024,"139.62","139.63","137.35","139.32","6,584,710"
01/16/2024,"140.00","141.23","137.98","141.12","7,483,018"
01/12/2024,"142.12","142.66","139.16","140.20","6,546,589"
01/11/2024,"139.00","139.95","136.03","139.03","7,374,872"
01/10/2024,"139.89","140.03","137.79","139.31","5,652,493"
01/09/2024,"137.54","140.95","137.14","139.89","5,856,890"
01/08/2024,"136.99","139.15","136.64","139.03","7,729,379"
01/05/2024,"136.16","138.07","135.85","136.73","6,827,264"
01/04/2024,"135.44","137.33","134.94","136.17","6,770,279"
01/03/2024,"138.89","138.89","136.99","137.60","8,133,289"
01/02/2024,"142.19","142.20","138.78","140.23","8,495,776"
12/29/2023,"145.41","145.62","143.79","144.63","4,839,267"
12/28/2023,"146.18","146.89","145.73","145.86","4,928,829"
12/27/2023,"145.85","146.22","145.04","145.72","4,470,261"
12/26/2023,"144.17","146.05","143.96","145.46","4,381,167"
12/22/2023,"143.25","144.40","142.75","143.49","4,659,213"
12/21/2023,"141.80","142.69","140.99","142.44","8,361,560"
12/20/2023,"141.97","142.98","140.36","140.44","7,264,821"
12/19/2023,"142.03","143.43","141.44","143.23","5,658,404"
12/18/2023,"142.51","143.12","141.29","141.65","7,832,098"
12/15/2023,"142.05","143.49","141.38","143.13","25,053,480"
12/14/2023,"139.60","142.77","139.60","141.50","11,468,870"
12/13/2023,"136.38","138.99","136.08","138.80","7,507,650"
12/12/2023,"135.98","137.23","135.50","136.68","7,380,380"
12/11/2023,"134.51","136.60","134.07","136.10","11,010,730"
12/08/2023,"131.22","133.97","131.18","132.97","7,678,624"
12/07/2023,"131.33","133.33","130.39","132.94","7,815,707"
12/06/2023,"131.98","132.14","129.66","129.96","6,912,423"
12/05/2023,"129.09","130.85","128.95","130.75","6,231,640"
12/04/2023,"129.33","130.05","128.03","129.95","7,485,048"
12/01/2023,"129.06","130.27","128.51","129.67","8,866,491"
11/30/2023,"129.27","129.40","127.49","129.05","11,731,770"
11/29/2023,"129.24","130.60","127.62","127.91","10,608,320"
11/28/2023,"127.20","127.31","125.67","126.59","8,817,854"
11/27/2023,"127.27","129.02","126.79","128.20","8,586,440"
11/24/2023,"128.23","128.23","127.56","127.75","3,708,239"
11/22/2023,"127.89","129.51","127.16","127.50","6,649,051"
