Date,Open,High,Low,Close,Volume
02/21/2024,"114.51","115.58","113.56","114.90","1,587,807"
02/20/2024,"115.71","115.86","113.10","115.14","2,265,020"
02/16/2024,"116.92","117.56","115.72","116.09","2,080,032"
02/15/2024,"118.06","120.15","117.51","117.81","2,223,486"
02/14/2024,"117.62","118.23","114.50","116.63","2,598,656"
02/13/2024,"115.17","117.81","114.49","116.57","3,045,595"
02/12/2024,"116.64","119.08","116.61","117.02","3,140,843"
02/09/2024,"120.84","121.00","115.58","116.97","4,447,216"
02/08/2024,"120.24","123.01","118.87","120.97","3,149,584"
02/07/2024,"121.02","121.48","119.38","119.43","3,007,775"
02/06/2024,"121.22","122.21","119.56","120.57","2,963,947"
02/05/2024,"121.90","123.80","120.27","121.21","3,007,509"
02/02/2024,"126.21","126.25","120.30","123.44","5,004,281"
02/01/2024,"130.25","133.77","122.30","126.96","7,838,002"
01/31/2024,"125.82","129.12","124.55","127.50","3,840,756"
01/30/2024,"128.00","129.48","125.82","126.36","2,317,501"
01/29/2024,"123.63","127.57","123.58","127.39","2,587,158"
01/26/2024,"127.28","127.54","123.05","123.46","2,857,925"
01/25/2024,"126.59","127.75","125.81","127.71","1,909,181"
01/24/2024,"127.22","127.23","124.93","125.49","1,485,959"
01/23/2024,"126.09","128.10","124.82","125.20","2,306,351"
01/22/2024,"127.74","128.27","125.92","126.74","2,197,525"
01/19/2024,"126.01","127.00","123.86","127.00","2,394,412"
01/18/2024,"123.79","126.61","122.56","125.28","2,867,954"
01/17/2024,"120.97","123.61","120.70","122.42","1,653,293"
01/16/2024,"119.93","123.69","119.27","122.80","1,888,654"
01/12/2024,"123.03","123.31","119.77","121.21","1,572,801"
01/11/2024,"123.55","123.61","121.29","123.42","1,329,227"
01/10/2024,"122.75","124.82","122.28","123.60","1,440,663"
01/09/2024,"122.55","124.21","122.35","123.57","1,347,623"
01/08/2024,"123.85","124.74","122.10","124.12","2,146,706"
01/05/2024,"118.56","123.11","118.50","122.65","2,773,900"
01/04/2024,"118.01","121.15","117.63","119.00","2,737,373"
01/03/2024,"117.60","119.18","115.96","117.45","3,638,454"
01/02/2024,"127.26","127.42","118.96","120.14","4,642,466"
12/29/2023,"129.66","130.97","129.18","129.49","2,006,268"
12/28/2023,"129.95","130.80","128.81","129.97","1,527,203"
12/27/2023,"129.00","129.95","128.10","129.92","1,701,303"
12/26/2023,"127.70","129.03","126.81","128.98","2,039,701"
12/22/2023,"127.16","128.95","126.81","128.21","1,856,275"
12/21/2023,"123.00","127.20","123.00","127.12","3,089,749"
12/20/2023,"123.20","124.31","120.76","120.81","1,858,010"
12/19/2023,"121.33","124.23","121.03","123.88","2,999,490"
12/18/2023,"122.68","122.74","121.08","121.10","2,210,373"
12/15/2023,"120.85","123.72","120.70","122.52","4,568,063"
12/14/2023,"121.00","123.25","120.54","121.39","3,363,537"
12/13/2023,"120.30","120.80","118.46","120.47","3,285,583"
12/12/2023,"120.50","120.96","119.56","120.30","2,227,220"
12/11/2023,"120.23","120.78","119.22","120.41","1,978,993"
12/08/2023,"119.30","120.58","118.85","120.47","2,650,598"
12/07/2023,"118.17","119.83","117.97","119.49","2,329,054"
12/06/2023,"115.00","119.05","114.99","118.17","3,987,855"
12/05/2023,"113.12","114.34","112.66","114.29","2,137,473"
12/04/2023,"110.75","114.43","110.66","114.21","4,200,875"
12/01/2023,"107.48","110.74","107.10","110.73","2,783,349"
11/30/2023,"106.51","107.93","106.12","107.46","3,220,499"
11/29/2023,"106.63","108.75","105.37","105.91","2,611,308"
11/28/2023,"106.28","107.31","105.56","105.69","3,011,326"
11/27/2023,"104.14","107.13","103.99","106.43","2,369,113"
11/24/2023,"104.27","105.02","103.61","104.45","969,657"
