Date,Open,High,Low,Close,Volume
02/22/2024,"61.20","61.28","60.68","61.07","1,022,124"
02/21/2024,"60.98","61.42","60.58","61.22","819,230"
02/20/2024,"60.71","61.32","60.37","60.62","947,627"
02/16/2024,"60.72","61.18","60.27","60.81","809,517"
02/15/2024,"60.94","61.40","60.85","61.24","719,078"
02/14/2024,"60.46","60.93","59.68","60.19","1,231,791"
02/13/2024,"59.55","60.43","58.76","60.42","2,251,299"
02/12/2024,"61.42","61.78","60.34","60.70","1,864,176"
02/09/2024,"60.10","62.09","60.01","61.32","2,364,390"
02/08/2024,"61.71","62.51","61.61","62.14","1,360,846"
02/07/2024,"62.25","62.43","61.80","61.94","919,671"
02/06/2024,"61.21","62.69","61.02","62.21","1,060,940"
02/05/2024,"61.83","61.92","61.11","61.23","1,179,477"
02/02/2024,"62.97","63.00","61.83","62.60","1,128,239"
02/01/2024,"62.67","63.67","62.10","63.65","1,400,007"
01/31/2024,"63.36","63.76","62.47","62.67","1,242,406"
01/30/2024,"63.53","63.63","63.00","63.18","1,039,268"
01/29/2024,"63.40","63.57","62.88","63.50","815,371"
01/26/2024,"64.25","64.29","63.53","63.60","1,037,426"
01/25/2024,"63.56","64.00","62.77","63.97","1,361,846"
01/24/2024,"63.63","63.85","62.09","62.21","1,299,182"
01/23/2024,"63.30","63.38","62.66","63.03","1,336,315"
01/22/2024,"63.06","63.81","62.79","62.97","980,346"
01/19/2024,"62.63","62.95","61.79","62.73","1,282,636"
01/18/2024,"62.39","62.58","61.62","62.30","1,371,549"
01/17/2024,"62.75","63.58","62.13","62.47","1,146,707"
01/16/2024,"63.66","63.97","63.06","63.33","1,459,010"
01/12/2024,"64.88","65.07","63.81","64.07","1,531,561"
01/11/2024,"64.10","64.43","63.74","64.18","1,156,319"
01/10/2024,"64.39","64.85","64.34","64.46","1,764,973"
01/09/2024,"64.29","64.73","63.97","64.53","1,835,112"
01/08/2024,"65.24","65.24","64.56","65.00","1,803,156"
01/05/2024,"65.35","65.73","64.57","65.00","1,718,759"
01/04/2024,"65.46","65.99","65.22","65.58","1,536,584"
01/03/2024,"67.36","67.36","65.56","65.76","908,152"
01/02/2024,"66.86","67.76","66.54","67.73","720,520"
12/29/2023,"67.43","67.63","66.85","67.00","817,655"
12/28/2023,"67.00","67.65","66.89","67.65","583,901"
12/27/2023,"67.28","67.28","66.75","67.07","689,710"
12/26/2023,"66.56","67.32","66.56","67.21","525,705"
12/22/2023,"66.63","67.43","66.50","66.61","903,180"
12/21/2023,"66.84","66.84","65.86","66.56","793,285"
12/20/2023,"66.38","66.99","65.50","65.54","1,186,067"
12/19/2023,"66.95","67.16","66.20","66.38","1,515,765"
12/18/2023,"67.31","67.33","66.60","66.74","978,215"
12/15/2023,"67.58","67.82","66.43","66.91","2,129,293"
12/14/2023,"67.59","68.47","67.37","67.85","1,393,247"
12/13/2023,"63.97","66.97","63.60","66.67","1,169,330"
12/12/2023,"64.64","64.80","63.85","64.25","594,437"
12/11/2023,"63.96","64.36","63.68","64.33","749,899"
12/08/2023,"63.24","64.00","62.61","63.96","1,079,541"
12/07/2023,"63.90","64.30","63.34","63.47","1,277,838"
12/06/2023,"64.76","65.08","63.66","63.77","1,241,403"
12/05/2023,"64.96","64.96","64.18","64.55","1,269,402"
12/04/2023,"63.59","65.19","63.46","65.13","1,074,035"
12/01/2023,"62.75","64.29","62.49","63.96","998,320"
11/30/2023,"62.05","62.85","61.62","62.78","1,826,531"
11/29/2023,"62.20","62.86","61.37","61.47","856,579"
11/28/2023,"61.59","61.93","61.28","61.85","665,647"
11/27/2023,"61.34","62.15","60.90","61.76","538,918"
11/24/2023,"61.10","61.47","61.00","61.32","257,099"
