Date,Open,High,Low,Close,Volume
02/16/2024,"18.32","18.59","18.26","18.48","5,519,919"
02/15/2024,"18.41","18.83","18.41","18.55","6,784,236"
02/14/2024,"18.14","18.34","18.06","18.29","6,968,823"
02/13/2024,"18.06","18.15","17.61","17.89","11,382,690"
02/12/2024,"18.05","18.68","17.92","18.46","8,061,859"
02/09/2024,"17.83","18.10","17.72","18.00","9,743,499"
02/08/2024,"17.70","17.99","17.61","17.89","8,686,282"
02/07/2024,"17.97","18.04","17.42","17.84","11,993,370"
02/06/2024,"17.87","18.14","17.73","17.86","10,609,470"
02/05/2024,"18.11","18.11","17.82","17.96","9,002,618"
02/02/2024,"17.97","18.39","17.89","18.30","10,951,170"
02/01/2024,"18.71","18.80","17.52","18.22","18,174,699"
01/31/2024,"18.86","19.27","18.67","18.67","13,833,450"
01/30/2024,"19.37","19.65","19.37","19.48","5,903,628"
01/29/2024,"19.12","19.42","19.10","19.40","5,945,261"
01/26/2024,"19.23","19.34","19.03","19.15","7,811,470"
01/25/2024,"19.48","19.52","18.94","19.13","10,631,440"
01/24/2024,"19.20","19.33","18.96","19.25","6,693,287"
01/23/2024,"19.16","19.28","18.77","18.97","5,910,684"
01/22/2024,"18.75","19.11","18.72","19.07","9,640,047"
01/19/2024,"17.95","18.67","17.70","18.62","12,612,740"
01/18/2024,"18.05","18.13","17.69","17.95","11,401,080"
01/17/2024,"17.65","18.04","17.52","17.94","8,966,255"
01/16/2024,"17.99","18.19","17.87","17.95","8,907,188"
01/12/2024,"18.64","18.73","18.10","18.28","11,575,180"
01/11/2024,"18.79","18.83","18.35","18.57","9,862,195"
01/10/2024,"19.11","19.11","18.72","18.92","11,157,660"
01/09/2024,"19.44","19.46","19.08","19.12","11,561,980"
01/08/2024,"19.28","19.52","19.17","19.51","5,250,624"
01/05/2024,"18.87","19.51","18.80","19.39","8,809,408"
01/04/2024,"18.81","19.20","18.68","18.97","6,867,936"
01/03/2024,"19.20","19.27","18.76","18.80","8,616,421"
01/02/2024,"19.15","19.70","19.06","19.50","7,612,840"
12/29/2023,"19.52","19.58","19.33","19.38","4,118,279"
12/28/2023,"19.57","19.62","19.50","19.55","3,783,145"
12/27/2023,"19.59","19.65","19.41","19.54","4,563,318"
12/26/2023,"19.30","19.62","19.22","19.57","4,500,091"
12/22/2023,"19.24","19.41","19.08","19.27","4,685,533"
12/21/2023,"19.18","19.28","18.94","19.14","6,790,957"
12/20/2023,"19.26","19.58","18.96","18.97","8,305,528"
12/19/2023,"19.11","19.43","19.01","19.36","8,389,774"
12/18/2023,"19.69","19.69","19.08","19.13","10,048,680"
12/15/2023,"19.48","19.74","19.20","19.53","21,975,410"
12/14/2023,"18.76","19.78","18.60","19.60","21,939,260"
12/13/2023,"17.25","18.15","17.18","18.10","11,750,790"
12/12/2023,"17.49","17.50","17.23","17.26","6,671,008"
12/11/2023,"17.38","17.59","17.34","17.47","6,780,691"
12/08/2023,"17.33","17.70","17.22","17.44","7,372,592"
12/07/2023,"16.97","17.28","16.87","17.25","8,886,498"
12/06/2023,"17.21","17.60","17.08","17.10","9,195,696"
12/05/2023,"17.50","17.50","16.98","17.00","14,188,270"
12/04/2023,"17.34","17.71","17.31","17.64","8,158,145"
12/01/2023,"16.62","17.65","16.60","17.57","11,017,610"
11/30/2023,"16.59","16.81","16.51","16.68","10,424,090"
11/29/2023,"16.18","16.61","16.16","16.47","7,337,046"
11/28/2023,"15.98","16.08","15.82","16.00","9,558,049"
11/27/2023,"15.92","16.07","15.79","15.97","6,079,218"
11/24/2023,"16.09","16.14","15.96","16.05","2,510,387"
11/22/2023,"16.12","16.17","15.87","16.04","3,770,005"
11/21/2023,"16.20","16.25","15.94","15.96","6,156,453"
