Date,Open,High,Low,Close,Volume
02/22/2024,"79.70","79.98","78.89","79.46","817,409"
02/21/2024,"79.88","80.25","79.23","80.00","811,826"
02/20/2024,"80.04","80.84","79.78","80.03","821,535"
02/16/2024,"82.01","82.24","80.82","80.84","626,316"
02/15/2024,"80.96","82.49","80.96","82.25","633,070"
02/14/2024,"81.16","81.17","79.80","80.60","959,576"
02/13/2024,"80.69","81.11","79.14","79.69","1,100,861"
02/12/2024,"81.52","82.90","81.52","81.96","687,693"
02/09/2024,"80.49","81.62","80.07","81.14","1,036,468"
02/08/2024,"79.72","80.58","79.12","80.55","818,444"
02/07/2024,"80.23","80.24","79.03","79.48","654,548"
02/06/2024,"80.01","80.68","79.59","80.10","756,609"
02/05/2024,"80.30","80.49","78.61","79.74","955,844"
02/02/2024,"79.47","81.25","79.36","80.86","901,546"
02/01/2024,"79.68","79.99","78.22","79.97","1,350,655"
01/31/2024,"79.76","81.75","77.81","79.54","2,276,990"
01/30/2024,"80.34","82.02","79.80","81.41","2,084,051"
01/29/2024,"81.66","81.92","80.92","81.22","1,126,057"
01/26/2024,"81.47","82.36","81.40","81.85","792,437"
01/25/2024,"81.26","81.79","80.96","81.13","980,088"
01/24/2024,"81.78","81.87","80.84","81.09","1,056,608"
01/23/2024,"82.45","82.98","81.18","81.27","1,103,541"
01/22/2024,"81.19","82.07","80.90","82.06","1,130,511"
01/19/2024,"80.59","80.93","79.71","80.60","1,146,496"
01/18/2024,"80.12","80.43","79.44","80.41","1,132,695"
01/17/2024,"79.66","80.11","79.45","79.92","972,373"
01/16/2024,"80.07","80.57","79.31","80.49","1,381,332"
01/12/2024,"81.20","81.20","80.27","80.69","778,309"
01/11/2024,"80.55","81.01","79.68","80.78","1,344,722"
01/10/2024,"81.90","82.28","80.78","80.80","1,203,129"
01/09/2024,"82.16","82.43","81.21","82.04","780,054"
01/08/2024,"82.85","83.59","82.77","83.25","724,180"
01/05/2024,"82.53","83.84","82.19","82.90","1,404,516"
01/04/2024,"84.16","84.16","83.06","83.10","1,029,785"
01/03/2024,"85.56","85.56","83.83","83.94","711,496"
01/02/2024,"87.42","87.78","85.69","86.11","607,169"
12/29/2023,"88.00","88.39","87.44","87.92","499,794"
12/28/2023,"87.90","88.31","87.41","88.16","491,427"
12/27/2023,"87.68","88.36","87.58","88.01","330,210"
12/26/2023,"87.45","87.80","87.16","87.65","275,719"
12/22/2023,"87.44","87.86","86.92","87.27","371,093"
12/21/2023,"86.46","86.90","86.29","86.82","421,565"
12/20/2023,"87.42","88.22","85.98","86.14","537,860"
12/19/2023,"87.45","87.89","86.95","87.37","676,705"
12/18/2023,"87.31","87.53","86.66","87.20","617,651"
12/15/2023,"86.32","87.93","85.76","87.01","2,067,540"
12/14/2023,"85.27","86.87","84.87","86.62","929,479"
12/13/2023,"83.51","84.30","82.13","84.12","676,073"
12/12/2023,"83.61","84.20","82.92","83.72","490,853"
12/11/2023,"83.00","84.11","82.59","83.88","614,115"
12/08/2023,"83.34","83.74","82.33","83.09","504,112"
12/07/2023,"82.62","83.10","82.12","83.09","409,941"
12/06/2023,"82.89","83.79","82.25","82.53","538,160"
12/05/2023,"84.06","84.06","82.00","82.37","866,464"
12/04/2023,"82.99","85.07","82.97","84.80","906,516"
12/01/2023,"81.76","83.43","81.52","83.37","740,130"
11/30/2023,"80.82","82.16","80.14","81.98","1,348,789"
11/29/2023,"80.85","81.15","80.22","80.50","551,775"
11/28/2023,"81.42","81.42","80.32","80.37","523,588"
11/27/2023,"80.87","81.66","80.52","81.44","641,627"
11/24/2023,"81.54","81.83","81.22","81.26","208,309"
