Date,Open,High,Low,Close,Volume
02/16/2024,"118.10","119.23","117.87","118.49","737,073"
02/15/2024,"117.22","119.05","117.22","118.44","1,085,024"
02/14/2024,"115.86","116.74","114.97","116.69","985,928"
02/13/2024,"115.88","116.85","113.35","114.91","1,380,194"
02/12/2024,"115.18","117.86","115.18","117.03","1,151,130"
02/09/2024,"111.97","114.96","111.97","114.88","949,948"
02/08/2024,"111.15","112.16","110.17","112.10","804,530"
02/07/2024,"111.36","111.76","110.40","111.04","795,325"
02/06/2024,"112.08","112.82","110.54","111.35","778,212"
02/05/2024,"111.65","113.11","110.80","112.42","985,607"
02/02/2024,"110.45","113.70","110.22","112.43","1,115,981"
02/01/2024,"109.89","111.19","108.25","110.49","1,093,584"
01/31/2024,"113.22","113.93","110.05","110.18","1,391,956"
01/30/2024,"111.81","113.91","111.80","113.49","2,146,610"
01/29/2024,"112.52","113.27","111.60","112.27","1,627,007"
01/26/2024,"114.37","116.45","113.19","113.22","2,084,990"
01/25/2024,"115.98","116.58","109.69","113.85","2,534,525"
01/24/2024,"114.58","115.42","111.93","112.53","2,376,472"
01/23/2024,"113.89","114.26","112.80","113.42","948,245"
01/22/2024,"111.42","113.55","111.42","113.52","1,068,764"
01/19/2024,"110.36","111.83","109.00","111.52","923,856"
01/18/2024,"109.22","109.82","108.20","109.74","683,891"
01/17/2024,"107.62","110.09","107.60","109.20","895,747"
01/16/2024,"107.94","109.37","106.75","109.31","1,305,243"
01/12/2024,"111.00","111.59","108.92","109.13","1,180,476"
01/11/2024,"110.99","110.99","109.73","110.53","659,072"
01/10/2024,"111.85","111.95","110.37","110.94","847,399"
01/09/2024,"111.27","111.33","110.15","110.73","688,834"
01/08/2024,"112.32","112.50","111.25","112.46","700,113"
01/05/2024,"110.18","112.39","109.50","112.04","984,117"
01/04/2024,"109.21","111.30","109.21","110.17","1,243,997"
01/03/2024,"110.73","110.99","109.43","109.46","818,834"
01/02/2024,"111.14","112.39","110.50","112.30","696,226"
12/29/2023,"112.31","112.70","111.30","111.50","554,823"
12/28/2023,"113.55","113.62","112.40","112.73","582,727"
12/27/2023,"112.70","113.62","112.25","113.17","806,491"
12/26/2023,"111.80","113.34","111.55","112.61","602,643"
12/22/2023,"111.31","112.06","111.00","111.71","907,117"
12/21/2023,"112.63","113.01","109.62","111.01","1,102,792"
12/20/2023,"113.11","114.75","112.03","112.10","974,235"
12/19/2023,"111.52","113.94","111.52","113.67","1,091,547"
12/18/2023,"110.42","111.60","109.87","111.40","908,205"
12/15/2023,"110.49","110.97","109.65","110.02","3,529,331"
12/14/2023,"109.16","112.27","108.93","110.88","2,001,176"
12/13/2023,"109.67","110.46","106.93","107.75","1,707,728"
12/12/2023,"108.34","109.67","107.54","109.62","790,671"
12/11/2023,"107.24","108.48","106.76","108.04","793,028"
12/08/2023,"105.28","107.26","105.08","107.05","660,133"
12/07/2023,"105.41","105.69","104.67","105.37","648,134"
12/06/2023,"105.91","107.10","105.06","105.08","815,436"
12/05/2023,"106.56","106.61","105.09","105.18","860,666"
12/04/2023,"107.65","107.92","106.17","106.91","1,252,394"
12/01/2023,"106.36","108.47","106.09","107.92","1,407,943"
11/30/2023,"104.05","105.34","103.41","105.15","999,864"
11/29/2023,"103.13","104.46","102.56","103.75","980,558"
11/28/2023,"105.45","105.45","102.42","102.73","804,447"
11/27/2023,"104.86","105.44","104.36","105.30","805,019"
11/24/2023,"105.00","105.97","104.75","105.47","236,173"
11/22/2023,"104.70","105.00","103.62","104.90","495,890"
11/21/2023,"103.98","104.68","103.17","104.27","770,248"
