Date,Open,High,Low,Close,Volume
02/22/2024,"185.65","187.87","185.04","187.13","750,249"
02/21/2024,"182.31","185.29","182.29","184.08","756,748"
02/20/2024,"180.00","183.38","179.47","183.35","1,141,571"
02/16/2024,"180.00","183.04","179.76","180.85","817,135"
02/15/2024,"179.01","181.19","176.75","181.16","1,165,153"
02/14/2024,"177.29","177.75","171.38","177.70","1,093,790"
02/13/2024,"173.42","175.62","171.85","175.35","1,357,138"
02/12/2024,"174.82","178.32","173.87","177.80","1,408,308"
02/09/2024,"170.55","175.40","169.60","175.01","1,760,002"
02/08/2024,"163.58","173.94","161.32","171.85","4,428,108"
02/07/2024,"147.65","148.00","146.00","147.14","1,170,894"
02/06/2024,"147.40","148.84","146.33","147.34","933,624"
02/05/2024,"147.03","147.53","144.85","147.43","602,257"
02/02/2024,"145.08","147.99","143.27","147.77","925,748"
02/01/2024,"144.37","146.67","143.69","146.36","597,061"
01/31/2024,"147.00","147.00","142.27","143.67","693,640"
01/30/2024,"144.85","147.23","144.15","146.46","760,716"
01/29/2024,"144.01","145.69","143.71","145.45","581,689"
01/26/2024,"144.33","144.84","141.52","144.10","899,431"
01/25/2024,"139.63","142.23","139.49","141.85","673,548"
01/24/2024,"140.37","141.29","138.90","139.03","481,333"
01/23/2024,"140.85","141.04","138.21","139.54","547,655"
01/22/2024,"138.58","140.10","137.98","140.09","744,139"
01/19/2024,"137.63","139.12","136.14","138.09","743,536"
01/18/2024,"137.62","138.09","134.90","138.00","618,119"
01/17/2024,"136.72","138.31","135.91","136.84","840,405"
01/16/2024,"136.75","138.40","135.17","137.62","1,025,957"
01/12/2024,"141.49","141.59","136.86","138.02","1,258,683"
01/11/2024,"142.94","143.14","140.72","142.53","570,490"
01/10/2024,"142.89","144.80","141.94","143.76","562,905"
01/09/2024,"144.07","145.05","142.92","143.11","633,169"
01/08/2024,"143.35","146.12","143.35","145.30","491,164"
01/05/2024,"143.38","145.14","142.90","142.92","626,068"
01/04/2024,"145.12","145.12","142.34","142.64","852,897"
01/03/2024,"144.29","145.07","142.31","142.59","794,965"
01/02/2024,"143.66","146.85","143.22","146.03","801,593"
12/29/2023,"145.19","146.67","143.59","144.20","771,878"
12/28/2023,"145.13","146.15","144.88","145.70","430,582"
12/27/2023,"145.98","146.26","144.77","145.63","505,882"
12/26/2023,"146.12","146.99","145.74","145.95","727,410"
12/22/2023,"144.93","146.53","143.31","145.47","720,656"
12/21/2023,"146.68","148.04","146.09","147.92","851,668"
12/20/2023,"145.37","147.77","145.26","145.55","992,774"
12/19/2023,"143.99","147.04","143.73","146.41","1,103,495"
12/18/2023,"140.86","144.00","140.86","143.59","1,024,546"
12/15/2023,"141.39","142.64","140.43","141.05","1,334,637"
12/14/2023,"140.69","144.05","140.29","141.85","1,083,933"
12/13/2023,"135.59","139.41","135.22","138.39","798,270"
12/12/2023,"136.25","137.00","134.27","135.34","627,452"
12/11/2023,"132.40","135.12","132.13","134.25","678,553"
12/08/2023,"130.77","132.47","130.77","131.76","388,711"
12/07/2023,"129.37","132.09","129.03","131.17","460,585"
12/06/2023,"129.83","131.30","129.36","129.48","418,346"
12/05/2023,"128.50","129.97","127.68","129.10","598,270"
12/04/2023,"133.00","134.25","128.50","129.17","967,623"
12/01/2023,"129.08","133.80","128.53","133.63","1,319,219"
11/30/2023,"129.15","131.25","128.58","129.38","1,450,981"
11/29/2023,"127.13","129.86","127.00","129.45","740,765"
11/28/2023,"125.96","127.31","125.25","126.63","533,266"
11/27/2023,"123.76","125.82","123.22","125.75","899,535"
11/24/2023,"123.02","124.56","122.88","124.54","290,387"
