Date,Open,High,Low,Close,Volume
02/21/2024,"270.91","274.97","268.60","274.63","970,030"
02/20/2024,"276.31","285.90","271.87","272.62","1,833,394"
02/16/2024,"279.92","283.91","279.60","279.72","1,152,836"
02/15/2024,"280.52","283.78","279.18","281.38","1,466,537"
02/14/2024,"279.21","280.40","276.58","279.93","1,039,111"
02/13/2024,"277.32","280.00","273.57","278.38","1,451,223"
02/12/2024,"283.50","286.61","279.79","280.69","1,330,240"
02/09/2024,"279.00","284.58","278.68","283.50","1,503,844"
02/08/2024,"270.49","279.77","270.22","278.71","2,029,039"
02/07/2024,"261.49","270.19","261.39","269.02","1,867,755"
02/06/2024,"267.35","267.35","259.85","259.98","1,765,833"
02/05/2024,"265.90","269.25","263.49","266.32","1,234,796"
02/02/2024,"261.75","270.94","259.59","268.01","1,710,212"
02/01/2024,"258.05","265.31","257.58","263.01","2,080,097"
01/31/2024,"263.90","272.72","252.11","253.28","6,466,234"
01/30/2024,"303.02","307.71","301.41","307.22","759,560"
01/29/2024,"301.70","304.84","300.61","304.62","534,610"
01/26/2024,"305.76","306.31","302.45","303.00","385,534"
01/25/2024,"303.29","306.98","303.22","304.24","547,020"
01/24/2024,"307.30","307.30","300.32","300.35","543,638"
01/23/2024,"306.80","307.32","303.57","304.27","427,278"
01/22/2024,"304.17","306.93","304.08","305.64","562,687"
01/19/2024,"301.39","305.00","298.38","303.45","604,557"
01/18/2024,"296.49","300.45","296.49","300.15","529,181"
01/17/2024,"295.37","296.55","293.52","295.38","575,029"
01/16/2024,"302.94","302.94","297.61","298.38","563,351"
01/12/2024,"307.35","307.65","302.29","304.59","455,180"
01/11/2024,"302.95","305.62","299.77","305.10","703,431"
01/10/2024,"302.80","304.30","301.17","302.07","689,251"
01/09/2024,"304.04","305.76","302.36","302.97","578,492"
01/08/2024,"305.22","306.82","303.16","306.06","549,439"
01/05/2024,"302.12","306.05","300.96","305.05","635,210"
01/04/2024,"303.78","307.70","303.48","304.67","753,984"
01/03/2024,"307.50","308.66","303.06","303.86","823,688"
01/02/2024,"307.28","310.00","304.98","306.38","415,055"
12/29/2023,"310.24","312.55","308.22","310.48","326,007"
12/28/2023,"309.78","311.29","308.93","310.62","331,978"
12/27/2023,"311.66","312.76","310.31","311.22","310,667"
12/26/2023,"309.12","311.80","308.77","311.04","407,591"
12/22/2023,"309.36","310.69","306.11","307.78","311,553"
12/21/2023,"306.24","307.24","303.74","306.75","501,004"
12/20/2023,"309.51","310.88","303.43","303.56","470,318"
12/19/2023,"310.58","312.37","309.50","310.48","629,515"
12/18/2023,"304.74","306.83","301.79","305.30","536,098"
12/15/2023,"306.17","309.79","303.81","304.37","1,710,159"
12/14/2023,"295.00","307.19","292.77","306.85","1,638,449"
12/13/2023,"284.30","291.27","282.79","290.97","979,730"
12/12/2023,"280.71","285.51","279.48","283.69","838,305"
12/11/2023,"279.31","284.27","278.62","279.79","736,404"
12/08/2023,"277.61","280.60","276.69","278.53","741,020"
12/07/2023,"279.25","279.39","276.29","277.89","491,051"
12/06/2023,"276.74","281.50","276.44","278.11","936,349"
12/05/2023,"278.00","279.31","274.31","275.00","614,882"
12/04/2023,"278.30","283.16","277.97","279.50","963,232"
12/01/2023,"275.69","281.50","275.58","281.47","1,086,798"
11/30/2023,"272.45","275.78","270.64","275.44","1,896,335"
11/29/2023,"272.50","272.97","268.90","270.56","888,478"
11/28/2023,"270.62","271.31","268.37","269.25","1,109,386"
11/27/2023,"272.54","274.50","270.34","271.06","1,054,683"
11/24/2023,"272.30","274.09","272.03","273.00","315,465"
