Date,Open,High,Low,Close,Volume
02/20/2024,"91.50","92.29","90.58","90.98","6,023,727"
02/16/2024,"91.35","92.09","90.95","91.01","4,949,835"
02/15/2024,"91.41","92.25","91.30","91.79","5,267,320"
02/14/2024,"90.96","91.60","90.86","91.39","6,677,948"
02/13/2024,"91.20","91.72","89.86","90.59","6,039,818"
02/12/2024,"90.51","91.91","90.23","91.14","5,483,718"
02/09/2024,"91.13","91.61","90.33","90.51","5,948,143"
02/08/2024,"91.85","92.39","90.93","91.04","6,197,734"
02/07/2024,"92.58","92.81","91.82","91.93","4,625,195"
02/06/2024,"91.45","92.67","91.19","92.28","4,718,194"
02/05/2024,"91.26","92.65","90.89","92.24","6,764,610"
02/02/2024,"92.24","92.70","91.45","91.98","6,067,767"
02/01/2024,"91.70","92.18","90.76","92.17","13,827,110"
01/31/2024,"90.86","91.86","90.69","91.12","5,560,704"
01/30/2024,"90.16","91.09","90.06","90.60","9,073,470"
01/29/2024,"90.44","90.68","89.70","90.08","8,488,668"
01/26/2024,"90.69","91.22","90.14","90.41","5,987,388"
01/25/2024,"90.25","91.11","89.58","90.94","10,584,570"
01/24/2024,"89.63","90.05","88.70","89.49","12,872,300"
01/23/2024,"88.23","92.38","87.96","89.55","19,434,789"
01/22/2024,"85.81","86.18","85.01","85.02","14,052,790"
01/19/2024,"85.59","85.80","84.43","85.53","7,509,583"
01/18/2024,"85.05","85.84","84.80","85.47","6,594,835"
01/17/2024,"85.43","86.81","84.92","85.05","7,669,559"
01/16/2024,"86.11","86.28","85.04","85.50","9,568,211"
01/12/2024,"86.56","86.73","85.99","86.33","5,277,301"
01/11/2024,"85.91","86.01","84.73","85.32","5,860,118"
01/10/2024,"85.80","86.46","85.66","86.08","5,706,538"
01/09/2024,"85.76","85.98","84.97","85.80","5,400,545"
01/08/2024,"84.91","86.18","84.72","85.84","7,625,708"
01/05/2024,"85.76","85.76","84.86","85.38","6,796,258"
01/04/2024,"85.99","86.59","85.34","85.41","6,656,514"
01/03/2024,"85.48","86.90","85.35","85.61","9,957,505"
01/02/2024,"84.05","86.02","83.96","85.22","10,455,610"
12/29/2023,"84.21","84.41","83.78","84.14","4,624,795"
12/28/2023,"84.17","84.61","84.09","84.17","4,622,738"
12/27/2023,"83.90","84.47","83.70","84.17","5,440,600"
12/26/2023,"83.15","84.30","83.08","84.05","4,442,636"
12/22/2023,"82.09","83.86","82.04","83.23","9,769,464"
12/21/2023,"82.04","82.99","81.37","82.01","7,732,807"
12/20/2023,"82.20","82.90","81.56","81.64","6,961,766"
12/19/2023,"80.92","82.66","80.92","82.62","9,912,628"
12/18/2023,"80.36","81.49","80.36","80.69","7,701,087"
12/15/2023,"81.74","81.99","79.67","80.28","19,196,561"
12/14/2023,"83.87","84.09","81.41","81.86","11,124,660"
12/13/2023,"81.19","83.40","80.52","83.22","8,057,921"
12/12/2023,"81.21","81.58","80.91","81.04","6,811,235"
12/11/2023,"81.33","82.29","81.33","81.89","5,897,291"
12/08/2023,"81.69","82.10","81.16","81.32","5,535,033"
12/07/2023,"83.00","83.15","81.43","81.50","5,443,945"
12/06/2023,"82.62","83.43","82.33","82.71","6,125,832"
12/05/2023,"82.93","83.35","82.66","82.69","5,945,719"
12/04/2023,"82.07","83.19","81.94","83.13","5,525,261"
12/01/2023,"81.48","82.41","81.37","82.32","5,487,381"
11/30/2023,"81.14","81.92","81.05","81.48","8,366,319"
11/29/2023,"80.22","81.33","80.12","80.95","6,852,063"
11/28/2023,"79.99","80.79","79.57","80.19","7,094,857"
11/27/2023,"79.76","79.99","79.13","79.47","9,378,425"
11/24/2023,"79.82","80.09","79.43","79.98","2,346,264"
11/22/2023,"78.01","79.87","78.00","79.82","7,025,366"
