Date,Open,High,Low,Close,Volume
02/16/2024,"208.83","209.63","205.95","206.80","849,931"
02/15/2024,"210.92","212.80","208.68","211.97","609,954"
02/14/2024,"210.67","212.00","208.39","209.07","809,513"
02/13/2024,"210.28","210.65","206.75","208.89","1,656,629"
02/12/2024,"217.33","218.88","214.91","215.65","1,011,748"
02/09/2024,"217.00","218.18","214.00","217.45","1,035,256"
02/08/2024,"213.91","217.43","213.82","216.20","1,317,646"
02/07/2024,"220.06","220.58","216.57","217.00","1,305,237"
02/06/2024,"217.00","219.75","216.78","218.60","1,232,941"
02/05/2024,"221.35","222.33","216.77","217.60","773,780"
02/02/2024,"226.99","227.07","219.88","224.71","1,222,931"
02/01/2024,"223.52","231.07","223.20","230.92","990,971"
01/31/2024,"224.52","228.67","222.52","223.86","691,240"
01/30/2024,"227.20","227.20","222.36","223.10","1,199,368"
01/29/2024,"227.23","228.48","225.04","227.57","771,175"
01/26/2024,"233.00","233.71","227.46","227.91","1,003,612"
01/25/2024,"230.15","234.63","230.15","232.55","1,097,516"
01/24/2024,"235.48","237.94","227.00","227.28","1,112,363"
01/23/2024,"234.87","235.90","231.06","233.22","655,655"
01/22/2024,"232.29","236.61","231.27","233.79","773,968"
01/19/2024,"232.33","233.51","227.96","230.88","1,094,546"
01/18/2024,"233.17","235.25","230.80","232.59","1,001,379"
01/17/2024,"234.10","239.22","231.21","232.91","796,935"
01/16/2024,"238.42","241.56","237.41","238.01","799,496"
01/12/2024,"243.11","243.35","239.85","239.90","626,873"
01/11/2024,"241.77","241.84","238.20","239.35","699,552"
01/10/2024,"245.73","247.04","242.37","242.87","635,106"
01/09/2024,"247.13","247.82","243.89","245.58","581,997"
01/08/2024,"246.45","249.45","244.10","248.42","679,086"
01/05/2024,"246.40","250.37","245.33","246.59","889,636"
01/04/2024,"248.55","251.59","247.23","249.89","698,123"
01/03/2024,"251.22","254.19","248.05","248.31","530,126"
01/02/2024,"251.89","255.90","251.75","254.98","599,093"
12/29/2023,"252.47","254.25","251.74","253.69","568,255"
12/28/2023,"254.37","256.29","252.72","254.25","339,018"
12/27/2023,"253.16","256.68","251.96","254.21","505,243"
12/26/2023,"250.85","253.62","250.00","252.59","273,625"
12/22/2023,"252.89","254.57","249.19","251.43","500,782"
12/21/2023,"248.57","251.95","247.93","251.81","776,741"
12/20/2023,"250.39","252.11","246.22","246.30","664,700"
12/19/2023,"248.41","249.99","246.42","248.78","477,976"
12/18/2023,"248.70","250.33","246.38","246.53","673,978"
12/15/2023,"251.31","251.40","246.07","248.49","1,385,412"
12/14/2023,"254.61","258.76","249.14","250.83","1,302,987"
12/13/2023,"239.70","251.75","238.35","248.06","1,101,262"
12/12/2023,"242.71","242.92","238.52","239.57","713,436"
12/11/2023,"245.20","245.95","241.52","242.36","710,423"
12/08/2023,"249.12","251.08","240.11","244.18","1,105,795"
12/07/2023,"250.54","254.09","250.17","251.12","727,829"
12/06/2023,"252.88","256.40","251.12","251.49","1,044,733"
12/05/2023,"249.14","251.18","247.75","250.39","715,973"
12/04/2023,"248.11","250.00","245.82","248.90","590,115"
12/01/2023,"246.60","251.20","244.71","250.57","801,749"
11/30/2023,"242.90","249.13","242.90","246.96","1,178,248"
11/29/2023,"243.72","247.24","243.72","245.20","931,168"
11/28/2023,"237.76","242.78","236.78","242.17","983,545"
11/27/2023,"236.95","239.73","235.84","237.48","906,835"
11/24/2023,"232.25","235.70","230.36","235.09","184,901"
11/22/2023,"236.54","236.54","233.12","233.21","400,267"
11/21/2023,"234.77","236.69","233.00","233.56","564,070"
