Date,Open,High,Low,Close,Volume
02/20/2024,"63.93","64.38","63.38","63.58","5,357,472"
02/16/2024,"64.44","64.90","63.87","64.40","6,057,159"
02/15/2024,"63.26","65.25","63.20","64.63","8,268,291"
02/14/2024,"63.16","63.40","62.16","63.03","6,324,862"
02/13/2024,"63.65","63.92","61.68","62.71","8,998,846"
02/12/2024,"63.31","65.12","63.31","64.50","6,692,541"
02/09/2024,"62.52","63.41","62.35","63.37","7,562,830"
02/08/2024,"62.24","62.91","61.91","62.47","5,689,098"
02/07/2024,"62.07","62.78","61.68","62.43","6,990,500"
02/06/2024,"62.36","62.88","61.67","61.89","6,174,606"
02/05/2024,"62.50","62.76","61.48","62.37","6,953,761"
02/02/2024,"62.00","63.32","61.54","62.94","9,803,067"
02/01/2024,"62.92","63.38","61.17","62.27","8,942,588"
01/31/2024,"63.67","64.17","62.89","62.92","8,916,099"
01/30/2024,"63.58","64.48","63.37","64.38","5,641,215"
01/29/2024,"63.68","64.08","63.38","63.94","5,546,779"
01/26/2024,"63.95","64.73","63.74","64.04","5,108,549"
01/25/2024,"63.94","64.05","63.14","63.71","5,904,430"
01/24/2024,"64.50","64.69","63.43","63.48","5,977,583"
01/23/2024,"64.00","64.29","63.44","63.92","5,857,433"
01/22/2024,"63.85","64.54","63.29","63.63","10,041,680"
01/19/2024,"63.03","63.80","61.90","63.78","12,711,190"
01/18/2024,"63.23","63.23","61.93","62.72","11,301,820"
01/17/2024,"60.93","63.87","59.67","63.45","24,688,391"
01/16/2024,"64.30","64.88","63.75","64.31","12,604,120"
01/12/2024,"65.65","66.05","64.47","65.23","8,457,692"
01/11/2024,"65.49","65.67","64.82","65.26","8,294,820"
01/10/2024,"65.86","66.33","65.50","65.82","7,990,068"
01/09/2024,"67.00","67.36","66.61","66.75","7,069,289"
01/08/2024,"67.00","68.16","66.52","67.80","6,534,226"
01/05/2024,"66.91","68.04","66.62","67.23","7,243,190"
01/04/2024,"66.74","67.93","66.43","66.89","6,754,965"
01/03/2024,"67.05","67.62","66.30","67.05","10,661,910"
01/02/2024,"68.13","69.19","67.55","69.10","10,111,240"
12/29/2023,"69.65","69.70","68.73","68.80","6,047,722"
12/28/2023,"69.32","69.84","69.26","69.55","4,352,176"
12/27/2023,"68.79","69.37","68.42","69.27","4,320,167"
12/26/2023,"68.40","69.20","68.27","68.95","3,565,748"
12/22/2023,"68.25","69.13","68.03","68.58","4,456,929"
12/21/2023,"67.62","68.55","67.34","68.18","8,674,296"
12/20/2023,"69.18","71.00","67.06","67.12","11,408,640"
12/19/2023,"69.26","69.85","68.87","69.74","10,781,050"
12/18/2023,"71.13","71.34","69.22","69.31","12,870,830"
12/15/2023,"70.67","71.40","70.10","70.98","21,428,000"
12/14/2023,"67.71","71.17","67.71","70.94","26,968,359"
12/13/2023,"64.74","66.41","64.30","66.30","13,922,540"
12/12/2023,"64.03","64.63","63.59","64.57","8,274,239"
12/11/2023,"63.95","64.37","63.64","64.02","8,281,670"
12/08/2023,"63.00","64.33","62.86","64.07","10,159,700"
12/07/2023,"62.69","63.04","62.08","62.96","9,500,672"
12/06/2023,"62.89","63.62","62.09","62.16","8,544,485"
12/05/2023,"62.31","62.39","61.52","62.23","7,172,559"
12/04/2023,"62.50","63.35","62.30","62.64","11,690,880"
12/01/2023,"60.87","63.17","60.36","63.16","17,131,570"
11/30/2023,"59.66","61.80","59.61","61.32","20,200,289"
11/29/2023,"56.00","59.93","56.00","59.61","15,656,630"
11/28/2023,"55.97","56.60","55.59","55.81","7,865,988"
11/27/2023,"56.00","56.34","55.78","56.00","8,715,157"
11/24/2023,"56.09","56.47","55.80","56.43","2,725,621"
11/22/2023,"56.32","56.48","55.42","55.93","6,830,255"
