Date,Open,High,Low,Close,Volume
02/16/2024,"123.87","124.93","122.65","124.09","1,747,803"
02/15/2024,"124.74","126.11","123.85","124.41","1,412,186"
02/14/2024,"127.02","127.95","124.36","125.25","1,251,095"
02/13/2024,"129.49","130.79","126.66","127.62","1,334,366"
02/12/2024,"127.59","129.92","127.37","129.74","827,057"
02/09/2024,"130.43","130.43","127.67","127.90","914,272"
02/08/2024,"131.82","133.23","130.74","131.09","888,256"
02/07/2024,"132.86","133.85","131.33","131.62","1,153,765"
02/06/2024,"128.91","133.29","128.83","132.21","1,533,882"
02/05/2024,"132.19","132.46","129.20","129.21","947,259"
02/02/2024,"134.00","134.62","132.55","132.70","940,767"
02/01/2024,"132.97","134.31","131.48","133.74","996,640"
01/31/2024,"133.17","133.46","131.13","131.55","1,517,954"
01/30/2024,"131.48","133.03","130.65","132.94","927,183"
01/29/2024,"131.97","132.00","130.08","131.59","1,478,462"
01/26/2024,"132.11","132.73","131.11","131.69","1,392,648"
01/25/2024,"130.27","131.71","129.66","131.55","843,998"
01/24/2024,"131.05","131.70","129.32","129.74","1,294,630"
01/23/2024,"129.49","131.31","127.81","131.24","1,479,725"
01/22/2024,"128.71","129.14","127.41","128.75","905,064"
01/19/2024,"129.53","129.89","127.38","129.20","1,041,823"
01/18/2024,"130.17","130.52","128.52","129.30","1,144,628"
01/17/2024,"127.98","130.78","127.66","130.75","1,317,710"
01/16/2024,"129.34","129.63","127.98","128.16","1,682,445"
01/12/2024,"127.88","129.63","127.54","129.50","1,387,306"
01/11/2024,"129.02","130.10","126.89","127.18","1,081,322"
01/10/2024,"130.74","131.32","129.40","129.50","1,089,846"
01/09/2024,"128.68","131.37","127.85","131.21","1,360,718"
01/08/2024,"127.81","129.24","127.81","129.02","854,732"
01/05/2024,"128.47","130.41","127.67","128.10","801,831"
01/04/2024,"129.50","129.95","128.15","128.64","1,255,379"
01/03/2024,"130.34","131.37","129.61","129.79","1,229,170"
01/02/2024,"126.37","129.83","126.01","129.57","1,153,945"
12/29/2023,"125.57","126.45","125.38","126.38","713,650"
12/28/2023,"124.72","126.10","124.72","125.78","687,732"
12/27/2023,"125.29","125.39","124.53","125.11","897,752"
12/26/2023,"124.76","125.71","124.07","125.29","649,640"
12/22/2023,"124.40","125.67","123.61","124.76","700,476"
12/21/2023,"122.61","123.93","122.02","123.66","896,161"
12/20/2023,"122.67","123.92","121.45","122.33","1,252,880"
12/19/2023,"123.52","124.70","123.23","124.32","1,033,389"
12/18/2023,"123.60","124.47","122.38","123.91","1,093,639"
12/15/2023,"125.06","125.33","122.95","123.59","2,497,215"
12/14/2023,"127.45","127.93","124.93","125.36","2,269,511"
12/13/2023,"124.19","126.98","123.49","126.74","1,951,963"
12/12/2023,"121.75","125.12","121.13","124.69","2,455,239"
12/11/2023,"120.00","121.51","119.72","121.50","1,652,893"
12/08/2023,"121.05","121.57","119.19","119.33","1,515,718"
12/07/2023,"118.00","122.12","117.14","121.06","2,859,413"
12/06/2023,"115.61","119.16","114.58","117.66","2,338,564"
12/05/2023,"115.84","118.38","114.50","116.12","3,196,131"
12/04/2023,"111.56","113.71","111.50","112.43","2,329,881"
12/01/2023,"109.85","111.55","109.54","111.42","1,443,922"
11/30/2023,"108.68","109.87","107.75","109.73","2,081,561"
11/29/2023,"109.26","109.52","108.20","108.58","1,970,300"
11/28/2023,"111.10","111.31","109.54","109.59","1,181,815"
11/27/2023,"113.35","113.35","110.60","111.10","1,622,062"
11/24/2023,"113.35","113.94","112.97","113.27","462,019"
11/22/2023,"112.71","113.45","111.88","113.31","1,305,691"
11/21/2023,"112.47","112.65","111.30","112.19","1,365,348"
