Date,Open,High,Low,Close,Volume
02/16/2024,"48.70","48.89","48.26","48.57","6,365,352"
02/15/2024,"47.85","48.87","47.74","48.58","9,901,858"
02/14/2024,"48.02","48.02","47.24","47.75","9,389,181"
02/13/2024,"48.06","48.30","47.00","47.58","11,578,820"
02/12/2024,"47.55","48.62","47.47","48.14","13,460,790"
02/09/2024,"47.57","47.85","46.91","47.08","8,258,276"
02/08/2024,"47.30","47.93","47.11","47.79","12,157,760"
02/07/2024,"48.22","48.36","47.10","47.45","11,847,970"
02/06/2024,"48.47","48.61","47.82","48.01","12,808,250"
02/05/2024,"48.69","49.08","48.24","48.55","18,305,789"
02/02/2024,"48.90","49.18","48.49","49.00","19,020,939"
02/01/2024,"49.05","49.57","48.36","49.00","18,539,670"
01/31/2024,"49.45","49.69","48.25","48.70","26,286,270"
01/30/2024,"48.88","49.57","47.75","49.35","47,358,301"
01/29/2024,"52.78","53.23","52.40","53.20","10,072,560"
01/26/2024,"52.41","53.24","52.31","52.92","9,172,033"
01/25/2024,"52.09","52.49","51.33","52.47","11,845,350"
01/24/2024,"50.80","51.76","50.57","51.67","10,497,980"
01/23/2024,"50.46","51.52","50.27","50.42","11,432,950"
01/22/2024,"49.56","51.36","49.37","50.68","18,491,350"
01/19/2024,"49.54","50.35","49.00","49.64","20,328,391"
01/18/2024,"47.90","48.81","47.71","48.56","13,695,770"
01/17/2024,"47.42","48.60","47.17","47.89","12,992,660"
01/16/2024,"49.86","50.14","48.23","48.30","14,966,040"
01/12/2024,"49.71","49.96","49.30","49.95","12,732,770"
01/11/2024,"48.77","48.85","48.33","48.80","8,783,178"
01/10/2024,"48.51","48.92","47.88","48.45","17,704,900"
01/09/2024,"50.12","50.12","48.50","48.56","18,420,820"
01/08/2024,"50.59","50.78","49.40","50.32","16,693,561"
01/05/2024,"51.93","52.63","51.70","51.86","9,827,795"
01/04/2024,"53.01","53.35","51.64","51.69","8,268,762"
01/03/2024,"51.87","53.00","51.66","52.65","6,572,499"
01/02/2024,"52.44","52.85","51.83","51.98","12,105,360"
12/29/2023,"52.25","52.40","51.77","52.04","8,641,899"
12/28/2023,"52.76","53.12","52.17","52.24","6,995,282"
12/27/2023,"53.48","53.98","52.88","53.03","7,133,046"
12/26/2023,"53.86","54.37","53.57","53.68","5,632,438"
12/22/2023,"52.99","53.43","52.73","53.08","5,115,638"
12/21/2023,"52.50","53.03","52.21","52.58","7,470,873"
12/20/2023,"52.75","53.98","52.51","52.55","6,480,190"
12/19/2023,"52.43","53.07","52.27","52.98","7,351,191"
12/18/2023,"53.07","53.84","52.24","52.28","9,356,655"
12/15/2023,"52.08","52.50","51.61","52.19","21,720,551"
12/14/2023,"49.99","52.75","49.89","52.42","19,567,600"
12/13/2023,"49.32","49.61","48.44","49.19","10,502,420"
12/12/2023,"48.49","49.26","48.20","49.04","8,871,370"
12/11/2023,"49.00","49.63","48.83","49.15","8,820,896"
12/08/2023,"48.43","49.11","48.12","48.80","13,211,010"
12/07/2023,"49.39","49.41","48.09","48.46","12,955,060"
12/06/2023,"50.27","50.77","48.97","49.13","13,575,340"
12/05/2023,"51.66","51.74","50.50","50.61","6,902,713"
12/04/2023,"51.98","52.49","51.41","52.03","7,772,557"
12/01/2023,"51.98","53.09","51.73","52.39","6,377,307"
11/30/2023,"52.58","53.40","51.55","52.04","11,520,550"
11/29/2023,"52.70","52.76","51.48","51.87","8,002,183"
11/28/2023,"52.70","52.87","52.16","52.31","5,620,934"
11/27/2023,"52.48","52.64","51.75","52.55","6,371,223"
11/24/2023,"52.74","53.09","52.48","52.60","3,077,628"
11/22/2023,"51.57","52.73","50.78","52.52","7,942,067"
11/21/2023,"52.23","52.84","51.99","52.72","6,888,838"
