Date,Open,High,Low,Close,Volume
02/16/2024,"268.29","270.24","266.68","267.24","313,724"
02/15/2024,"263.81","269.12","263.81","269.00","278,096"
02/14/2024,"264.00","265.96","262.44","263.14","314,488"
02/13/2024,"264.67","265.50","259.54","262.09","340,205"
02/12/2024,"262.08","268.14","262.08","267.74","360,688"
02/09/2024,"266.05","268.14","261.27","262.43","471,952"
02/08/2024,"287.00","288.00","266.03","266.03","776,625"
02/07/2024,"294.87","295.51","292.97","294.50","263,734"
02/06/2024,"291.50","294.50","291.50","293.42","190,801"
02/05/2024,"289.50","293.43","289.09","291.50","186,877"
02/02/2024,"288.84","293.76","288.33","292.61","163,220"
02/01/2024,"291.23","291.64","288.12","290.05","414,759"
01/31/2024,"294.31","295.00","288.97","289.93","277,808"
01/30/2024,"290.97","295.27","290.68","294.31","197,775"
01/29/2024,"289.59","292.37","287.52","291.85","273,254"
01/26/2024,"289.49","290.86","288.33","289.66","164,452"
01/25/2024,"288.67","289.38","286.75","288.55","150,243"
01/24/2024,"290.15","290.15","285.54","286.28","173,255"
01/23/2024,"289.98","290.40","287.14","288.80","121,838"
01/22/2024,"288.16","289.66","288.13","288.93","139,503"
01/19/2024,"284.79","287.59","282.86","286.86","180,229"
01/18/2024,"283.50","285.15","281.82","284.96","127,620"
01/17/2024,"283.33","285.78","282.16","283.01","161,185"
01/16/2024,"282.88","285.73","282.32","285.04","270,914"
01/12/2024,"286.07","286.07","282.95","283.92","113,712"
01/11/2024,"282.85","284.21","280.29","284.12","183,328"
01/10/2024,"281.77","283.12","280.71","282.49","157,380"
01/09/2024,"280.16","280.98","278.15","280.94","240,289"
01/08/2024,"281.60","282.95","279.33","282.79","219,630"
01/05/2024,"280.78","282.89","279.79","280.93","178,540"
01/04/2024,"283.11","285.40","281.99","282.07","160,229"
01/03/2024,"286.72","287.18","282.80","282.84","200,056"
01/02/2024,"287.45","289.65","286.30","288.74","210,968"
12/29/2023,"289.81","290.11","287.74","288.84","158,240"
12/28/2023,"289.76","290.94","289.03","289.94","163,654"
12/27/2023,"289.93","291.00","289.17","290.19","179,764"
12/26/2023,"288.63","290.63","288.00","289.91","170,296"
12/22/2023,"287.20","289.35","287.20","288.15","134,459"
12/21/2023,"286.38","288.45","284.81","287.02","174,711"
12/20/2023,"287.93","290.30","283.77","284.14","274,311"
12/19/2023,"288.77","290.22","287.27","288.55","226,347"
12/18/2023,"287.20","288.16","284.36","287.30","220,902"
12/15/2023,"287.04","288.81","285.13","286.28","618,473"
12/14/2023,"286.28","290.33","286.28","289.20","361,197"
12/13/2023,"280.22","285.08","277.61","284.07","328,686"
12/12/2023,"281.15","281.60","279.76","280.10","231,602"
12/11/2023,"279.05","282.45","278.96","281.07","294,602"
12/08/2023,"279.78","280.93","277.68","278.22","222,261"
12/07/2023,"280.84","282.56","278.13","280.00","228,780"
12/06/2023,"280.35","283.13","279.63","280.14","229,820"
12/05/2023,"279.99","280.62","278.21","278.94","253,637"
12/04/2023,"277.74","281.36","277.74","280.92","226,787"
12/01/2023,"274.50","280.06","274.50","279.86","266,369"
11/30/2023,"272.80","275.19","271.30","274.69","386,543"
11/29/2023,"272.99","274.10","270.69","271.84","144,378"
11/28/2023,"273.75","274.29","270.46","270.96","160,355"
11/27/2023,"273.63","274.68","272.81","273.87","193,757"
11/24/2023,"275.05","276.37","274.60","275.14","149,504"
11/22/2023,"275.19","276.08","273.09","274.67","184,177"
11/21/2023,"274.46","275.04","272.76","274.87","174,524"
