Date,Open,High,Low,Close,Volume
02/16/2024,"65.99","66.64","65.80","66.48","8,509,100"
02/15/2024,"67.05","68.20","66.08","66.83","10,332,860"
02/14/2024,"67.46","67.89","67.23","67.81","4,146,868"
02/13/2024,"68.00","68.56","66.49","67.51","5,357,510"
02/12/2024,"66.94","68.33","66.63","68.31","4,782,779"
02/09/2024,"66.63","67.20","66.51","66.91","3,792,780"
02/08/2024,"66.61","67.03","66.36","66.94","3,811,257"
02/07/2024,"67.54","67.77","66.80","66.95","4,406,230"
02/06/2024,"67.08","67.68","66.94","67.40","3,471,650"
02/05/2024,"68.30","68.34","67.07","67.18","5,015,357"
02/02/2024,"69.82","69.96","67.96","68.65","5,652,105"
02/01/2024,"69.10","70.53","68.80","70.50","4,554,429"
01/31/2024,"70.00","70.33","69.07","69.52","8,371,572"
01/30/2024,"69.11","69.58","68.71","69.25","4,578,676"
01/29/2024,"69.15","69.29","68.68","69.19","4,673,814"
01/26/2024,"69.24","69.44","68.59","69.11","5,987,633"
01/25/2024,"68.84","69.26","68.29","69.24","3,897,979"
01/24/2024,"69.22","69.41","67.70","68.20","6,257,728"
01/23/2024,"68.76","68.95","68.47","68.83","5,660,334"
01/22/2024,"68.94","69.35","68.09","68.82","3,670,714"
01/19/2024,"68.91","69.33","68.45","68.95","5,003,322"
01/18/2024,"69.31","69.47","68.45","68.77","3,797,327"
01/17/2024,"70.00","70.89","69.11","69.63","3,775,937"
01/16/2024,"71.10","71.10","70.18","70.32","3,515,190"
01/12/2024,"71.05","71.57","70.81","71.42","3,184,045"
01/11/2024,"72.00","72.00","70.42","70.58","3,407,608"
01/10/2024,"71.99","71.99","71.35","71.83","2,563,178"
01/09/2024,"71.70","72.01","71.34","71.87","3,073,677"
01/08/2024,"71.50","72.18","71.18","72.16","3,296,530"
01/05/2024,"71.74","71.85","70.71","71.61","5,670,223"
01/04/2024,"72.31","72.54","71.58","71.71","3,442,532"
01/03/2024,"71.00","72.30","70.99","72.24","6,290,541"
01/02/2024,"69.67","70.96","69.60","70.85","3,955,237"
12/29/2023,"69.85","70.26","69.63","70.12","2,895,497"
12/28/2023,"69.36","70.32","69.28","70.16","2,790,526"
12/27/2023,"69.22","69.67","69.01","69.41","2,771,861"
12/26/2023,"69.30","69.85","69.18","69.45","2,130,984"
12/22/2023,"69.80","70.20","69.33","69.44","3,013,477"
12/21/2023,"69.92","70.16","68.71","69.37","4,146,784"
12/20/2023,"71.22","71.44","69.67","69.69","4,363,885"
12/19/2023,"71.15","71.95","71.03","71.26","3,733,486"
12/18/2023,"70.67","71.68","70.66","71.42","5,131,933"
12/15/2023,"70.84","70.98","70.03","70.86","12,327,580"
12/14/2023,"73.23","73.42","71.33","71.50","6,377,341"
12/13/2023,"70.56","73.10","70.10","73.08","5,762,854"
12/12/2023,"71.49","71.49","70.13","70.47","4,375,981"
12/11/2023,"71.23","71.56","70.84","71.36","4,000,841"
12/08/2023,"71.69","72.19","70.94","71.50","2,711,242"
12/07/2023,"72.47","72.55","71.56","71.65","3,575,924"
12/06/2023,"71.10","72.30","71.10","72.26","4,829,510"
12/05/2023,"71.38","71.46","70.79","70.93","3,635,548"
12/04/2023,"71.25","71.79","71.16","71.28","4,205,926"
12/01/2023,"70.91","71.53","70.40","71.52","3,996,095"
11/30/2023,"70.34","71.28","70.22","70.98","8,114,771"
11/29/2023,"70.58","70.98","69.91","70.23","4,201,797"
11/28/2023,"70.28","71.15","69.93","70.49","4,804,824"
11/27/2023,"69.63","70.41","69.44","70.26","3,794,296"
11/24/2023,"69.68","69.82","69.31","69.61","1,119,288"
11/22/2023,"69.93","69.94","69.21","69.59","2,753,064"
11/21/2023,"69.63","69.89","68.83","69.65","3,251,445"
