Date,Open,High,Low,Close,Volume
02/20/2024,"423.16","426.21","420.69","426.01","2,424,688"
02/16/2024,"422.00","427.51","421.86","423.57","1,813,379"
02/15/2024,"423.49","426.66","422.08","424.49","1,378,113"
02/14/2024,"424.45","425.50","417.47","421.21","1,621,283"
02/13/2024,"421.84","426.26","420.13","422.48","1,888,894"
02/12/2024,"439.14","439.14","429.18","429.53","1,817,130"
02/09/2024,"436.93","441.04","431.33","437.89","1,863,771"
02/08/2024,"431.80","437.34","419.85","436.63","3,790,226"
02/07/2024,"459.38","461.16","453.63","459.72","1,584,026"
02/06/2024,"451.79","454.52","449.72","453.29","975,749"
02/05/2024,"450.00","453.02","445.67","451.54","1,247,389"
02/02/2024,"455.00","456.73","448.18","454.05","1,553,016"
02/01/2024,"448.35","457.46","447.73","457.22","1,078,073"
01/31/2024,"455.01","457.19","447.96","448.35","1,820,054"
01/30/2024,"450.19","455.33","448.50","454.56","1,098,820"
01/29/2024,"447.93","450.62","444.96","449.81","1,073,652"
01/26/2024,"448.93","449.44","445.42","446.60","787,676"
01/25/2024,"447.36","449.57","443.62","449.34","1,071,063"
01/24/2024,"448.41","450.32","445.20","445.90","892,466"
01/23/2024,"446.57","447.00","443.02","446.49","816,579"
01/22/2024,"444.72","446.21","442.84","444.46","1,024,955"
01/19/2024,"441.23","443.46","439.03","441.95","1,172,464"
01/18/2024,"439.48","441.16","435.63","439.60","1,204,064"
01/17/2024,"433.84","439.49","433.46","437.73","1,041,200"
01/16/2024,"433.44","438.22","432.87","436.55","1,127,790"
01/12/2024,"437.47","439.30","434.14","437.00","842,762"
01/11/2024,"434.17","435.62","430.22","434.19","1,328,831"
01/10/2024,"431.75","434.95","429.65","433.13","1,002,459"
01/09/2024,"428.29","432.88","428.29","430.17","706,165"
01/08/2024,"430.65","432.39","427.58","432.17","1,193,128"
01/05/2024,"428.86","431.38","425.77","427.93","921,255"
01/04/2024,"430.65","433.65","429.02","429.67","1,052,095"
01/03/2024,"433.41","434.60","429.08","429.86","936,504"
01/02/2024,"439.27","440.50","433.76","436.39","1,080,696"
12/29/2023,"441.84","443.72","439.14","440.52","884,265"
12/28/2023,"439.66","443.47","439.02","441.84","679,008"
12/27/2023,"435.29","440.29","434.00","440.00","821,163"
12/26/2023,"434.51","438.63","434.51","436.23","535,084"
12/22/2023,"435.13","436.86","432.62","434.84","698,506"
12/21/2023,"429.05","433.08","429.05","432.69","817,512"
12/20/2023,"436.70","437.46","427.57","427.83","1,553,620"
12/19/2023,"435.16","439.82","434.50","436.66","1,181,906"
12/18/2023,"435.97","439.33","435.15","436.41","899,835"
12/15/2023,"432.59","437.35","432.56","435.78","2,389,754"
12/14/2023,"440.00","441.67","435.80","437.78","1,320,888"
12/13/2023,"428.90","435.99","427.37","435.26","1,204,913"
12/12/2023,"423.49","427.15","422.33","426.81","1,095,900"
12/11/2023,"416.12","424.13","415.98","423.75","1,380,166"
12/08/2023,"415.64","418.85","413.17","415.38","1,651,506"
12/07/2023,"419.50","419.93","416.60","417.38","1,242,981"
12/06/2023,"423.00","425.00","418.38","418.66","1,475,605"
12/05/2023,"426.10","426.15","419.71","423.15","1,661,170"
12/04/2023,"419.55","425.60","418.03","424.19","1,513,456"
12/01/2023,"417.00","424.98","416.01","422.00","1,974,460"
11/30/2023,"413.13","416.12","412.11","415.83","1,665,998"
11/29/2023,"414.53","418.34","413.75","414.64","946,829"
11/28/2023,"411.00","417.74","410.01","412.98","1,134,373"
11/27/2023,"412.41","414.01","410.39","412.25","1,326,868"
11/24/2023,"416.02","416.02","412.76","415.10","404,177"
11/22/2023,"415.29","417.78","413.88","415.10","977,581"
