Date,Open,High,Low,Close,Volume
02/16/2024,"73.00","73.09","72.31","72.49","1,495,933"
02/15/2024,"71.93","73.21","71.74","73.03","1,514,737"
02/14/2024,"71.78","72.13","71.24","71.50","1,172,898"
02/13/2024,"72.69","72.69","70.53","71.11","1,577,472"
02/12/2024,"72.81","74.22","72.64","73.60","1,516,928"
02/09/2024,"72.34","72.98","72.08","72.84","1,312,372"
02/08/2024,"73.00","73.45","71.84","72.39","2,707,636"
02/07/2024,"72.68","73.11","71.71","73.03","2,605,564"
02/06/2024,"72.41","73.06","72.41","72.45","1,505,223"
02/05/2024,"72.52","73.10","72.21","72.57","1,918,543"
02/02/2024,"73.21","73.76","72.70","73.43","1,880,304"
02/01/2024,"73.77","74.18","72.46","73.25","2,947,742"
01/31/2024,"74.73","75.55","73.81","73.87","2,566,935"
01/30/2024,"75.08","75.16","74.42","74.85","1,917,481"
01/29/2024,"74.74","75.33","74.34","74.84","1,812,710"
01/26/2024,"74.87","75.84","74.58","75.11","1,747,048"
01/25/2024,"73.63","74.85","73.41","74.68","2,690,376"
01/24/2024,"74.35","75.16","73.69","73.84","3,302,123"
01/23/2024,"74.11","74.42","73.61","73.95","2,812,966"
01/22/2024,"76.00","76.59","74.06","74.31","3,239,423"
01/19/2024,"79.90","79.90","75.45","75.86","6,624,741"
01/18/2024,"75.03","75.31","73.83","74.31","3,295,587"
01/17/2024,"74.78","75.77","74.60","74.69","2,274,796"
01/16/2024,"76.01","76.65","75.43","75.87","2,050,797"
01/12/2024,"77.22","77.88","76.41","76.51","2,157,850"
01/11/2024,"76.35","76.58","75.62","76.26","1,824,056"
01/10/2024,"77.00","77.07","75.96","76.60","1,301,475"
01/09/2024,"77.41","78.41","76.86","77.32","1,340,885"
01/08/2024,"78.12","78.47","77.25","78.43","1,177,826"
01/05/2024,"77.18","78.74","77.18","78.21","1,926,921"
01/04/2024,"76.86","77.95","76.80","77.38","1,841,644"
01/03/2024,"78.69","78.69","76.91","77.30","1,804,197"
01/02/2024,"77.66","78.23","77.03","77.75","1,438,508"
12/29/2023,"77.83","78.07","77.24","77.46","1,084,544"
12/28/2023,"78.55","78.57","78.14","78.42","1,394,279"
12/27/2023,"77.64","78.21","77.28","77.97","1,154,818"
12/26/2023,"77.29","77.91","77.07","77.72","1,608,626"
12/22/2023,"77.37","77.89","76.81","77.19","1,536,460"
12/21/2023,"76.47","77.11","76.22","77.01","1,384,957"
12/20/2023,"77.33","78.19","76.02","76.05","1,822,480"
12/19/2023,"77.34","78.10","76.95","77.68","1,624,903"
12/18/2023,"78.00","78.01","77.07","77.19","1,884,597"
12/15/2023,"77.64","78.64","77.15","77.63","4,948,048"
12/14/2023,"77.85","79.28","77.85","78.55","2,343,233"
12/13/2023,"75.27","76.80","74.66","76.61","2,126,092"
12/12/2023,"74.72","75.45","74.38","75.12","1,819,040"
12/11/2023,"73.83","75.40","73.74","74.60","2,189,669"
12/08/2023,"73.15","74.17","72.92","73.97","2,149,842"
12/07/2023,"71.78","73.22","71.47","73.18","2,544,978"
12/06/2023,"73.75","74.13","70.46","71.44","4,466,157"
12/05/2023,"73.82","73.90","72.61","73.22","2,145,136"
12/04/2023,"73.17","74.62","73.07","74.10","2,464,684"
12/01/2023,"72.80","74.54","72.52","73.92","2,699,772"
11/30/2023,"71.91","72.94","71.40","72.82","3,887,064"
11/29/2023,"70.65","71.99","70.50","71.74","1,653,571"
11/28/2023,"69.89","70.43","69.58","70.11","1,732,703"
11/27/2023,"69.88","70.18","69.56","69.74","1,957,616"
11/24/2023,"69.85","70.56","69.70","70.38","797,721"
11/22/2023,"69.44","69.95","68.99","69.88","1,200,302"
11/21/2023,"69.75","69.91","69.03","69.05","1,372,406"
