Date,Open,High,Low,Close,Volume
02/16/2024,"88.21","88.69","87.09","87.52","1,797,527"
02/15/2024,"86.86","88.50","86.81","88.16","1,299,664"
02/14/2024,"88.10","88.19","86.15","86.81","1,854,075"
02/13/2024,"87.34","87.75","86.05","87.16","2,040,721"
02/12/2024,"89.33","90.66","88.99","89.10","1,599,781"
02/09/2024,"87.72","89.47","87.35","89.41","1,536,727"
02/08/2024,"86.70","88.26","85.79","87.68","1,670,650"
02/07/2024,"86.49","87.32","85.33","86.76","1,818,583"
02/06/2024,"86.04","86.77","85.47","86.20","2,560,010"
02/05/2024,"87.17","87.19","85.12","85.50","2,095,667"
02/02/2024,"86.65","87.97","85.94","87.52","2,160,215"
02/01/2024,"85.88","87.51","85.88","86.80","2,002,064"
01/31/2024,"87.35","87.78","85.39","85.68","5,220,972"
01/30/2024,"88.80","89.18","87.19","87.59","2,406,313"
01/29/2024,"90.68","91.59","88.39","88.63","2,648,351"
01/26/2024,"90.89","92.04","89.41","90.44","3,071,089"
01/25/2024,"91.20","91.20","86.50","90.99","5,756,694"
01/24/2024,"90.12","90.28","88.05","89.17","3,775,866"
01/23/2024,"87.55","89.30","86.78","89.23","4,020,504"
01/22/2024,"86.99","88.39","85.90","87.10","4,171,426"
01/19/2024,"84.60","85.44","83.86","85.42","2,327,396"
01/18/2024,"84.71","86.30","83.12","83.97","1,720,023"
01/17/2024,"84.71","84.76","82.44","83.33","2,412,442"
01/16/2024,"83.61","85.37","82.36","84.81","3,012,297"
01/12/2024,"82.41","82.83","81.88","82.78","2,112,625"
01/11/2024,"81.47","81.84","79.39","81.74","2,752,035"
01/10/2024,"79.98","82.75","79.72","82.66","2,260,325"
01/09/2024,"79.95","80.26","79.40","80.11","1,471,660"
01/08/2024,"80.07","81.36","80.07","80.98","2,167,289"
01/05/2024,"81.13","81.82","79.81","80.28","1,395,161"
01/04/2024,"79.84","81.37","79.81","80.77","1,361,581"
01/03/2024,"81.31","82.35","80.07","80.43","2,874,596"
01/02/2024,"84.70","84.80","82.32","82.69","2,011,457"
12/29/2023,"86.57","86.98","85.17","85.37","1,295,921"
12/28/2023,"85.80","86.83","85.71","86.79","1,589,198"
12/27/2023,"86.26","86.36","85.35","85.68","962,497"
12/26/2023,"85.16","86.02","85.04","85.87","938,440"
12/22/2023,"85.42","85.72","84.84","85.16","1,003,517"
12/21/2023,"83.51","85.34","83.31","85.30","2,042,138"
12/20/2023,"82.97","83.38","81.82","81.85","1,890,571"
12/19/2023,"83.69","84.67","83.58","83.90","1,426,313"
12/18/2023,"84.32","84.73","83.65","83.97","1,953,016"
12/15/2023,"84.84","85.42","84.03","84.28","5,120,499"
12/14/2023,"86.54","87.93","85.13","85.33","3,462,015"
12/13/2023,"82.25","85.47","82.18","85.43","3,645,247"
12/12/2023,"82.05","82.63","81.29","82.63","2,107,914"
12/11/2023,"81.00","82.73","80.97","81.99","2,399,967"
12/08/2023,"78.48","80.75","78.38","80.59","2,359,958"
12/07/2023,"78.23","79.57","78.10","78.78","2,238,362"
12/06/2023,"78.14","79.36","77.71","77.81","2,522,814"
12/05/2023,"78.14","78.37","76.87","76.96","1,808,045"
12/04/2023,"78.63","79.24","78.11","78.59","1,450,152"
12/01/2023,"78.91","79.40","78.26","79.18","2,030,011"
11/30/2023,"78.50","79.42","77.98","79.10","3,095,225"
11/29/2023,"78.35","79.04","77.92","78.48","2,052,757"
11/28/2023,"76.98","77.39","76.30","76.95","1,279,095"
11/27/2023,"76.50","78.14","76.38","77.56","1,923,357"
11/24/2023,"75.64","76.44","75.64","76.08","647,464"
11/22/2023,"76.11","77.33","76.11","76.55","936,756"
11/21/2023,"76.80","76.86","75.52","76.06","1,725,307"
