Date,Open,High,Low,Close,Volume
02/16/2024,"243.96","246.09","242.12","243.84","834,644"
02/15/2024,"244.72","246.15","242.98","244.90","703,597"
02/14/2024,"244.56","244.89","242.40","243.60","667,493"
02/13/2024,"245.05","247.03","242.91","244.58","933,683"
02/12/2024,"243.17","248.12","242.89","247.08","1,365,470"
02/09/2024,"242.45","244.52","241.59","242.55","1,219,297"
02/08/2024,"244.00","244.23","241.80","243.05","1,138,682"
02/07/2024,"245.90","246.77","241.17","244.42","994,263"
02/06/2024,"246.96","249.67","246.01","248.65","1,099,170"
02/05/2024,"248.84","249.96","246.56","247.06","1,322,263"
02/02/2024,"252.13","252.15","248.57","250.59","1,168,283"
02/01/2024,"245.50","252.68","244.47","252.68","1,036,350"
01/31/2024,"248.25","248.58","243.85","245.08","1,116,280"
01/30/2024,"250.47","250.99","246.71","248.43","950,466"
01/29/2024,"249.00","250.96","247.16","250.80","1,473,794"
01/26/2024,"251.42","251.93","249.06","249.50","1,078,460"
01/25/2024,"248.70","250.27","248.26","250.21","797,515"
01/24/2024,"252.04","252.85","247.29","247.41","1,153,395"
01/23/2024,"251.18","253.25","250.90","252.99","796,992"
01/22/2024,"254.38","255.36","251.53","251.63","828,519"
01/19/2024,"254.50","255.94","251.33","253.95","948,073"
01/18/2024,"251.56","254.45","251.38","253.65","699,777"
01/17/2024,"254.43","255.65","252.44","252.66","1,068,619"
01/16/2024,"259.67","259.96","255.22","255.38","1,245,032"
01/12/2024,"258.32","260.30","257.45","258.30","1,515,427"
01/11/2024,"255.00","257.76","254.33","257.42","1,700,972"
01/10/2024,"253.18","255.79","252.51","254.77","1,846,544"
01/09/2024,"249.27","253.60","247.03","253.54","1,449,771"
01/08/2024,"248.15","251.69","248.15","250.00","2,083,716"
01/05/2024,"244.50","253.09","243.30","247.53","2,634,719"
01/04/2024,"242.24","243.56","241.86","242.33","1,331,260"
01/03/2024,"243.65","244.34","241.19","241.42","1,609,187"
01/02/2024,"240.64","245.05","240.49","243.89","1,250,534"
12/29/2023,"242.22","242.82","241.38","241.75","741,298"
12/28/2023,"240.11","242.45","240.11","242.16","824,034"
12/27/2023,"238.68","240.21","238.26","240.12","602,942"
12/26/2023,"237.47","240.44","237.18","238.99","567,975"
12/22/2023,"236.97","239.28","236.11","237.88","875,397"
12/21/2023,"236.50","237.62","235.17","235.87","1,127,936"
12/20/2023,"239.68","240.38","234.74","235.07","1,322,172"
12/19/2023,"239.44","241.59","239.13","241.09","1,025,508"
12/18/2023,"237.63","239.25","235.96","238.89","1,229,718"
12/15/2023,"239.99","240.23","235.48","236.46","1,723,143"
12/14/2023,"243.32","244.41","240.93","241.03","1,282,598"
12/13/2023,"236.00","244.07","234.75","242.59","1,241,918"
12/12/2023,"236.72","236.77","234.71","235.83","1,273,716"
12/11/2023,"235.22","236.37","234.01","235.70","804,214"
12/08/2023,"235.56","236.63","234.18","234.44","901,547"
12/07/2023,"235.28","236.54","233.77","235.86","1,047,270"
12/06/2023,"235.96","237.11","232.61","235.10","1,231,695"
12/05/2023,"239.90","240.49","233.50","236.66","1,247,357"
12/04/2023,"240.54","243.37","239.79","240.31","1,322,304"
12/01/2023,"242.02","243.00","239.60","241.95","970,865"
11/30/2023,"238.22","240.59","237.88","240.49","963,572"
11/29/2023,"242.24","243.28","236.85","237.95","1,206,889"
11/28/2023,"238.16","242.80","238.00","241.77","1,397,100"
11/27/2023,"238.14","238.46","236.50","237.99","836,356"
11/24/2023,"237.91","238.62","237.23","238.37","357,508"
11/22/2023,"235.93","239.58","235.57","239.04","925,136"
11/21/2023,"237.32","237.32","233.29","234.27","1,219,764"
