Date,Open,High,Low,Close,Volume
02/16/2024,"88.54","89.19","88.06","88.35","864,075"
02/15/2024,"89.38","90.04","88.79","89.63","923,938"
02/14/2024,"88.33","89.41","87.40","88.65","1,558,933"
02/13/2024,"87.82","88.07","86.16","87.11","1,711,834"
02/12/2024,"88.94","91.19","88.83","91.00","1,187,469"
02/09/2024,"89.23","89.45","88.56","88.94","806,315"
02/08/2024,"89.55","89.66","88.59","89.27","1,061,701"
02/07/2024,"90.10","90.10","88.30","89.69","1,896,582"
02/06/2024,"88.08","89.92","87.57","89.34","1,964,599"
02/05/2024,"89.82","89.88","88.13","88.29","1,869,690"
02/02/2024,"90.18","90.99","88.21","90.63","1,956,979"
02/01/2024,"91.08","91.98","88.42","91.86","4,214,938"
01/31/2024,"95.19","95.90","92.90","93.30","2,878,238"
01/30/2024,"95.85","96.75","95.06","95.29","1,185,765"
01/29/2024,"94.50","96.46","93.95","96.46","1,287,231"
01/26/2024,"95.06","96.01","94.33","94.69","1,221,075"
01/25/2024,"93.77","95.11","93.06","95.05","1,246,389"
01/24/2024,"95.39","95.50","92.79","92.89","1,573,853"
01/23/2024,"96.61","96.82","93.87","94.31","898,685"
01/22/2024,"95.65","96.74","95.36","96.12","825,479"
01/19/2024,"94.72","95.35","93.00","94.90","998,556"
01/18/2024,"93.50","94.55","92.79","94.48","1,172,320"
01/17/2024,"92.55","93.46","91.86","92.86","1,316,699"
01/16/2024,"94.70","94.70","92.93","94.30","1,646,031"
01/12/2024,"97.78","98.44","95.13","95.50","1,014,359"
01/11/2024,"97.89","98.67","96.45","96.89","1,041,620"
01/10/2024,"97.60","98.20","96.87","98.17","769,097"
01/09/2024,"96.73","97.69","96.52","97.54","907,183"
01/08/2024,"96.01","97.84","95.98","97.84","1,246,998"
01/05/2024,"93.93","96.58","93.72","95.51","1,125,101"
01/04/2024,"94.10","94.98","93.73","94.32","860,676"
01/03/2024,"96.59","96.97","93.90","94.10","1,397,728"
01/02/2024,"97.25","98.63","96.77","98.20","1,281,584"
12/29/2023,"98.66","99.10","97.80","98.10","769,662"
12/28/2023,"98.37","99.34","98.00","99.10","519,014"
12/27/2023,"99.01","99.13","98.21","98.73","555,079"
12/26/2023,"98.15","99.28","97.74","98.81","843,508"
12/22/2023,"97.31","98.98","97.00","98.16","984,265"
12/21/2023,"97.61","97.94","95.95","96.92","1,338,098"
12/20/2023,"97.16","98.77","95.94","96.15","1,262,754"
12/19/2023,"98.09","98.45","96.62","97.10","1,126,558"
12/18/2023,"98.44","98.44","97.09","97.28","1,013,841"
12/15/2023,"101.44","101.82","97.78","98.63","2,939,645"
12/14/2023,"96.00","102.93","95.86","101.49","2,857,951"
12/13/2023,"92.52","97.72","92.02","96.52","2,300,331"
12/12/2023,"92.69","92.95","92.02","92.60","1,213,182"
12/11/2023,"92.79","93.51","92.48","92.87","848,088"
12/08/2023,"92.27","93.73","91.91","92.85","1,636,347"
12/07/2023,"92.86","93.82","92.25","93.15","1,157,894"
12/06/2023,"92.36","94.23","92.32","92.71","1,058,009"
12/05/2023,"93.52","93.52","91.31","91.36","1,398,878"
12/04/2023,"92.90","94.64","92.37","94.13","1,373,725"
12/01/2023,"90.95","93.83","90.65","93.78","1,196,942"
11/30/2023,"91.09","91.50","89.37","90.90","1,162,108"
11/29/2023,"91.72","92.31","91.03","91.46","1,066,125"
11/28/2023,"90.30","90.76","89.21","90.40","1,178,477"
11/27/2023,"90.77","91.77","90.42","90.43","1,525,775"
11/24/2023,"89.63","91.63","89.36","91.41","643,750"
11/22/2023,"89.75","90.08","88.71","89.74","1,114,380"
11/21/2023,"90.86","91.05","88.35","89.26","1,041,343"
