Date,Open,High,Low,Close,Volume
02/16/2024,"39.66","40.02","39.44","39.56","3,721,691"
02/15/2024,"39.52","40.03","39.47","39.85","3,293,119"
02/14/2024,"39.14","39.36","38.78","39.33","3,235,428"
02/13/2024,"38.82","38.93","38.25","38.65","4,254,554"
02/12/2024,"38.78","39.73","38.75","39.53","3,101,259"
02/09/2024,"38.90","39.04","38.27","38.73","5,654,179"
02/08/2024,"38.47","38.90","38.17","38.88","3,544,611"
02/07/2024,"38.88","39.03","38.03","38.53","3,390,417"
02/06/2024,"38.49","39.00","38.33","38.79","4,093,062"
02/05/2024,"38.50","38.90","38.26","38.76","5,216,987"
02/02/2024,"38.14","39.12","37.99","38.95","4,357,610"
02/01/2024,"38.99","39.28","37.91","38.61","5,164,470"
01/31/2024,"39.34","39.72","38.81","38.87","4,186,669"
01/30/2024,"39.20","39.85","39.01","39.70","3,790,388"
01/29/2024,"39.69","39.85","38.90","39.22","3,788,540"
01/26/2024,"38.61","39.89","38.47","39.54","5,254,528"
01/25/2024,"38.19","38.62","37.74","38.46","6,292,920"
01/24/2024,"37.84","38.57","37.64","37.97","4,625,128"
01/23/2024,"37.75","38.00","36.85","37.44","5,899,696"
01/22/2024,"37.12","38.19","37.07","37.77","7,836,552"
01/19/2024,"36.02","37.03","35.71","36.91","4,463,188"
01/18/2024,"35.99","36.14","35.29","35.77","5,312,552"
01/17/2024,"36.36","36.74","36.18","36.47","4,011,986"
01/16/2024,"36.49","36.98","36.19","36.96","4,009,978"
01/12/2024,"38.19","38.42","36.61","36.73","6,535,237"
01/11/2024,"37.85","38.01","37.30","37.97","3,760,148"
01/10/2024,"38.32","38.49","37.82","37.94","4,004,859"
01/09/2024,"38.76","38.83","38.41","38.50","3,762,128"
01/08/2024,"38.81","39.34","38.68","39.20","4,397,153"
01/05/2024,"37.27","38.91","37.24","38.82","7,243,702"
01/04/2024,"37.43","37.89","37.29","37.44","2,782,076"
01/03/2024,"37.49","38.06","37.14","37.45","3,244,986"
01/02/2024,"37.93","38.25","37.69","37.96","4,146,131"
12/29/2023,"38.29","38.45","37.97","38.19","2,527,223"
12/28/2023,"38.34","38.51","38.23","38.37","1,792,737"
12/27/2023,"38.18","38.41","38.05","38.35","1,722,713"
12/26/2023,"38.13","38.34","37.91","38.27","1,939,456"
12/22/2023,"38.27","38.44","37.84","37.94","2,337,439"
12/21/2023,"37.65","38.26","37.54","38.05","3,414,149"
12/20/2023,"38.20","38.59","37.31","37.33","4,840,707"
12/19/2023,"37.47","38.40","37.46","38.23","3,874,916"
12/18/2023,"37.71","37.86","37.09","37.55","4,491,341"
12/15/2023,"37.12","37.69","36.75","37.12","8,909,051"
12/14/2023,"37.25","38.17","37.16","37.74","7,350,433"
12/13/2023,"35.57","37.08","35.23","36.83","8,130,148"
12/12/2023,"35.28","36.01","35.28","35.60","5,660,756"
12/11/2023,"35.24","35.96","35.12","35.45","3,952,524"
12/08/2023,"34.90","35.43","34.71","35.29","4,215,602"
12/07/2023,"34.50","34.98","34.43","34.90","3,894,101"
12/06/2023,"34.37","34.94","34.26","34.30","4,369,833"
12/05/2023,"33.76","34.23","33.58","33.98","4,924,164"
12/04/2023,"33.60","34.50","33.51","33.97","4,350,151"
12/01/2023,"32.36","34.14","32.36","33.83","6,094,965"
11/30/2023,"31.43","32.45","31.26","32.36","10,065,200"
11/29/2023,"31.09","31.94","31.09","31.22","4,636,616"
11/28/2023,"29.75","30.93","29.65","30.89","5,634,917"
11/27/2023,"29.62","29.67","29.15","29.39","3,931,029"
11/24/2023,"29.78","29.94","29.63","29.83","1,313,017"
11/22/2023,"29.75","29.87","29.44","29.68","2,257,431"
11/21/2023,"29.69","29.80","29.36","29.47","3,038,558"
