Date,Open,High,Low,Close,Volume
02/20/2024,"351.70","351.96","347.39","348.07","1,161,919"
02/16/2024,"349.65","352.88","348.02","349.30","1,343,074"
02/15/2024,"351.08","352.56","345.90","348.79","1,516,125"
02/14/2024,"341.29","349.68","340.16","349.42","1,904,493"
02/13/2024,"339.90","341.45","336.30","339.80","1,548,093"
02/12/2024,"343.73","343.98","339.86","341.09","844,995"
02/09/2024,"338.86","344.33","337.63","341.96","1,402,296"
02/08/2024,"340.72","341.91","337.08","339.03","1,445,668"
02/07/2024,"340.74","344.25","338.23","342.72","823,892"
02/06/2024,"344.49","344.94","338.90","339.77","1,314,403"
02/05/2024,"342.45","346.59","340.68","342.91","1,539,813"
02/02/2024,"341.00","342.88","338.63","342.05","1,159,607"
02/01/2024,"335.57","341.89","333.92","340.56","2,004,473"
01/31/2024,"339.00","342.80","333.70","335.48","4,931,979"
01/30/2024,"315.15","317.12","314.05","316.64","2,006,408"
01/29/2024,"310.74","314.94","310.74","314.50","1,427,338"
01/26/2024,"313.25","313.72","310.60","311.36","907,428"
01/25/2024,"309.07","312.09","307.23","311.91","1,200,769"
01/24/2024,"312.02","313.00","307.35","307.75","1,420,624"
01/23/2024,"314.00","314.55","307.52","312.18","1,366,834"
01/22/2024,"316.77","317.21","312.63","313.27","1,868,477"
01/19/2024,"315.08","315.82","312.45","315.05","1,905,221"
01/18/2024,"315.85","317.82","312.84","314.72","1,472,733"
01/17/2024,"312.79","315.06","311.54","313.68","1,466,646"
01/16/2024,"310.91","314.44","309.60","314.29","1,599,848"
01/12/2024,"312.19","317.26","310.60","312.90","1,646,630"
01/11/2024,"308.18","309.52","306.10","308.99","920,153"
01/10/2024,"305.00","308.21","304.00","307.78","1,302,697"
01/09/2024,"299.50","305.43","298.52","303.25","1,343,116"
01/08/2024,"297.00","300.34","294.34","299.98","1,126,404"
01/05/2024,"297.50","299.30","294.43","295.33","807,260"
01/04/2024,"293.62","299.90","292.97","298.05","1,419,037"
01/03/2024,"295.07","295.07","292.43","293.94","1,355,382"
01/02/2024,"297.60","299.94","294.87","296.23","979,196"
12/29/2023,"299.61","300.34","298.15","299.46","1,150,878"
12/28/2023,"297.29","301.37","295.94","299.12","788,471"
12/27/2023,"298.75","300.00","297.45","299.01","1,029,784"
12/26/2023,"296.62","300.36","296.03","299.07","539,157"
12/22/2023,"297.62","298.42","294.23","297.50","1,068,707"
12/21/2023,"289.34","296.09","288.90","296.03","1,046,161"
12/20/2023,"292.25","293.84","288.15","288.31","1,162,431"
12/19/2023,"291.06","292.34","289.66","291.98","1,433,838"
12/18/2023,"291.39","292.36","288.50","291.47","1,415,979"
12/15/2023,"286.18","292.21","285.79","290.15","4,139,978"
12/14/2023,"299.00","300.56","296.26","297.10","1,860,496"
12/13/2023,"295.25","298.82","294.05","298.53","1,504,723"
12/12/2023,"293.98","294.81","290.73","294.53","951,655"
12/11/2023,"287.99","293.19","287.99","293.03","999,675"
12/08/2023,"288.85","289.85","286.40","289.10","1,078,877"
12/07/2023,"288.78","289.79","286.77","289.38","1,434,442"
12/06/2023,"291.42","292.12","286.65","287.87","1,383,952"
12/05/2023,"290.73","291.00","286.30","290.51","1,216,424"
12/04/2023,"295.76","298.69","290.08","290.95","1,584,779"
12/01/2023,"296.50","298.70","294.58","297.79","1,110,372"
11/30/2023,"294.21","296.38","290.60","296.33","1,423,610"
11/29/2023,"294.00","296.13","291.52","294.37","1,131,071"
11/28/2023,"292.67","292.88","289.69","292.04","1,069,621"
11/27/2023,"292.91","294.37","291.69","293.96","995,478"
11/24/2023,"294.59","295.16","292.80","293.64","382,499"
11/22/2023,"295.60","296.46","293.03","294.05","744,530"
