Date,Open,High,Low,Close,Volume
02/20/2024,"79.64","80.40","78.94","79.07","2,731,637"
02/16/2024,"79.31","80.01","78.95","79.50","2,168,061"
02/15/2024,"79.09","79.54","78.75","79.38","3,363,516"
02/14/2024,"79.17","79.45","78.54","79.00","2,282,219"
02/13/2024,"79.91","80.82","78.36","79.14","2,355,590"
02/12/2024,"79.67","80.15","79.50","80.04","2,288,466"
02/09/2024,"79.33","79.63","79.02","79.55","2,198,528"
02/08/2024,"79.75","79.78","78.75","79.32","4,603,570"
02/07/2024,"80.27","80.46","79.50","79.67","3,461,581"
02/06/2024,"80.74","81.20","80.31","80.41","2,493,387"
02/05/2024,"80.98","81.48","80.28","80.84","4,134,698"
02/02/2024,"82.50","82.89","81.45","81.48","3,831,408"
02/01/2024,"80.79","82.55","80.64","82.36","4,367,639"
01/31/2024,"80.82","81.47","80.05","80.93","7,354,263"
01/30/2024,"75.55","80.97","75.36","80.82","7,413,356"
01/29/2024,"75.13","75.37","74.89","75.17","3,721,621"
01/26/2024,"75.41","75.64","74.95","75.15","3,096,866"
01/25/2024,"75.94","75.94","74.89","75.27","3,187,160"
01/24/2024,"76.00","76.08","74.59","74.99","4,243,254"
01/23/2024,"75.84","76.32","75.50","75.52","3,287,433"
01/22/2024,"75.39","76.06","75.08","75.61","2,772,470"
01/19/2024,"75.43","75.52","74.64","75.21","2,908,293"
01/18/2024,"74.69","75.40","74.33","75.20","2,926,373"
01/17/2024,"74.61","75.51","74.55","74.67","2,368,271"
01/16/2024,"75.53","75.66","74.75","74.90","2,428,680"
01/12/2024,"75.72","75.98","75.25","75.75","2,862,343"
01/11/2024,"75.00","75.51","74.81","75.45","2,456,789"
01/10/2024,"75.41","75.98","75.02","75.03","3,392,389"
01/09/2024,"75.09","75.67","75.00","75.58","2,074,644"
01/08/2024,"75.56","75.97","74.83","75.61","3,047,526"
01/05/2024,"75.19","76.00","74.75","75.65","2,740,125"
01/04/2024,"74.76","75.45","74.44","75.12","3,639,086"
01/03/2024,"75.00","75.77","74.44","74.98","3,766,961"
01/02/2024,"72.96","74.77","72.90","74.42","3,218,704"
12/29/2023,"72.84","73.33","72.66","73.13","1,912,341"
12/28/2023,"73.05","73.36","72.91","73.04","1,856,652"
12/27/2023,"73.10","73.31","72.75","73.03","2,190,090"
12/26/2023,"73.36","73.62","73.25","73.33","1,307,811"
12/22/2023,"73.82","74.33","73.49","73.53","2,247,643"
12/21/2023,"73.54","73.91","73.19","73.53","2,851,627"
12/20/2023,"73.07","73.57","72.55","73.25","3,242,961"
12/19/2023,"72.76","73.44","72.73","73.30","2,170,695"
12/18/2023,"73.98","73.98","72.76","72.86","2,727,499"
12/15/2023,"73.94","74.20","73.06","73.54","6,944,203"
12/14/2023,"75.22","75.70","74.01","74.20","8,326,324"
12/13/2023,"73.72","75.50","73.35","75.34","4,800,099"
12/12/2023,"73.98","74.15","73.36","73.61","2,063,103"
12/11/2023,"74.17","74.35","73.61","73.93","2,389,173"
12/08/2023,"74.08","74.23","73.61","73.83","3,689,904"
12/07/2023,"73.74","74.39","73.37","74.18","2,224,651"
12/06/2023,"73.37","73.65","72.93","73.05","1,935,476"
12/05/2023,"73.04","73.35","72.82","73.21","2,827,983"
12/04/2023,"72.50","73.44","72.31","73.00","2,963,085"
12/01/2023,"72.40","72.91","72.02","72.80","2,985,586"
11/30/2023,"71.55","72.21","71.28","72.17","4,219,358"
11/29/2023,"72.00","72.27","71.52","71.71","2,244,866"
11/28/2023,"71.90","72.37","71.56","71.83","2,267,811"
11/27/2023,"72.14","72.24","71.57","71.90","2,146,495"
11/24/2023,"72.17","72.41","71.92","72.15","1,023,862"
11/22/2023,"71.29","72.14","71.09","72.03","2,398,842"
