Date,Open,High,Low,Close,Volume
02/20/2024,"16.88","17.13","16.87","16.91","29,103,900"
02/16/2024,"16.95","17.07","16.76","16.97","28,848,850"
02/15/2024,"16.94","17.22","16.94","17.09","25,926,730"
02/14/2024,"16.97","17.09","16.84","16.91","26,468,109"
02/13/2024,"17.02","17.20","16.75","16.90","29,734,580"
02/12/2024,"16.84","17.06","16.76","17.02","31,151,250"
02/09/2024,"16.79","16.88","16.57","16.84","44,427,070"
02/08/2024,"17.30","17.30","16.74","16.82","66,974,953"
02/07/2024,"17.60","17.62","17.30","17.33","33,871,781"
02/06/2024,"17.66","17.77","17.55","17.61","25,743,430"
02/05/2024,"17.71","17.87","17.58","17.73","31,496,930"
02/02/2024,"17.94","17.98","17.76","17.83","33,248,500"
02/01/2024,"18.09","18.16","17.82","18.04","71,660,398"
01/31/2024,"17.51","17.82","17.50","17.69","52,968,152"
01/30/2024,"17.25","17.59","17.18","17.53","54,946,434"
01/29/2024,"17.22","17.28","17.05","17.25","38,264,848"
01/26/2024,"17.15","17.38","17.12","17.29","38,567,312"
01/25/2024,"16.77","17.19","16.69","17.18","54,457,871"
01/24/2024,"16.56","17.04","16.46","16.68","79,216,977"
01/23/2024,"17.04","17.25","16.98","17.19","59,713,020"
01/22/2024,"16.72","16.90","16.64","16.80","44,093,359"
01/19/2024,"16.66","16.78","16.40","16.67","52,563,031"
01/18/2024,"16.29","16.42","16.19","16.40","35,127,801"
01/17/2024,"16.38","16.63","16.35","16.41","39,261,031"
01/16/2024,"16.42","16.60","16.34","16.44","39,033,391"
01/12/2024,"16.34","16.62","16.33","16.48","32,658,910"
01/11/2024,"16.80","16.80","16.15","16.23","59,137,539"
01/10/2024,"16.90","16.90","16.76","16.87","26,893,779"
01/09/2024,"16.97","16.98","16.83","16.95","30,338,369"
01/08/2024,"17.45","17.49","17.24","17.32","41,215,141"
01/05/2024,"17.16","17.52","17.10","17.47","33,311,359"
01/04/2024,"17.26","17.30","17.15","17.15","35,703,719"
01/03/2024,"17.32","17.38","17.22","17.23","33,612,391"
01/02/2024,"16.84","17.38","16.83","17.25","47,624,340"
12/29/2023,"16.63","16.83","16.61","16.78","33,285,410"
12/28/2023,"16.54","16.87","16.53","16.74","32,112,900"
12/27/2023,"16.49","16.62","16.45","16.58","27,728,730"
12/26/2023,"16.50","16.61","16.44","16.57","22,750,430"
12/22/2023,"16.50","16.73","16.50","16.55","26,740,350"
12/21/2023,"16.47","16.51","16.35","16.49","36,327,848"
12/20/2023,"16.57","16.61","16.40","16.40","33,476,309"
12/19/2023,"16.43","16.62","16.41","16.61","28,077,369"
12/18/2023,"16.60","16.75","16.41","16.46","34,621,762"
12/15/2023,"16.52","16.66","16.45","16.52","65,906,461"
12/14/2023,"16.51","16.81","16.51","16.65","54,485,000"
12/13/2023,"16.33","16.50","16.10","16.45","53,889,672"
12/12/2023,"16.56","16.58","16.34","16.41","41,348,840"
12/11/2023,"16.91","16.94","16.53","16.62","43,835,031"
12/08/2023,"17.09","17.11","16.81","16.92","42,137,246"
12/07/2023,"17.02","17.13","16.90","17.09","31,309,051"
12/06/2023,"17.17","17.28","16.86","16.94","45,867,449"
12/05/2023,"16.98","17.34","16.96","17.22","72,090,992"
12/04/2023,"16.60","16.77","16.55","16.66","40,542,461"
12/01/2023,"16.60","16.77","16.53","16.76","35,407,191"
11/30/2023,"16.29","16.60","16.29","16.57","50,629,980"
11/29/2023,"16.19","16.33","16.15","16.30","26,623,539"
11/28/2023,"16.17","16.20","16.03","16.18","24,258,391"
11/27/2023,"16.19","16.27","16.09","16.21","29,976,189"
11/24/2023,"16.21","16.32","16.20","16.21","12,431,030"
11/22/2023,"16.25","16.28","16.10","16.17","21,305,891"
