Date,Open,High,Low,Close,Volume
02/16/2024,"61.86","62.28","61.45","62.15","1,458,824"
02/15/2024,"61.68","62.43","61.59","62.07","1,538,530"
02/14/2024,"61.97","62.15","60.69","61.44","2,109,378"
02/13/2024,"62.50","62.74","59.78","61.29","4,557,377"
02/12/2024,"60.25","62.13","60.21","62.11","4,091,264"
02/09/2024,"60.01","60.24","59.37","60.23","2,134,045"
02/08/2024,"59.73","60.31","59.20","60.26","2,414,616"
02/07/2024,"60.10","60.48","58.90","59.73","4,186,770"
02/06/2024,"61.26","62.04","61.17","61.29","2,315,419"
02/05/2024,"61.42","61.71","61.10","61.28","1,349,654"
02/02/2024,"63.01","63.12","61.80","62.07","1,359,533"
02/01/2024,"61.82","63.20","61.74","63.11","1,341,963"
01/31/2024,"63.14","63.37","61.47","61.79","1,185,302"
01/30/2024,"63.38","63.57","62.71","62.87","1,211,621"
01/29/2024,"62.84","63.48","62.32","63.39","1,190,398"
01/26/2024,"63.15","63.50","62.49","62.74","1,019,529"
01/25/2024,"61.51","62.90","61.37","62.88","1,565,525"
01/24/2024,"62.59","62.64","60.99","61.11","1,651,013"
01/23/2024,"62.59","62.89","62.28","62.55","1,119,335"
01/22/2024,"62.29","63.07","62.26","62.73","1,188,796"
01/19/2024,"63.07","63.07","62.05","62.49","1,220,733"
01/18/2024,"63.23","63.36","62.43","62.83","993,175"
01/17/2024,"63.05","63.40","62.81","63.26","1,130,606"
01/16/2024,"63.51","63.71","62.70","63.18","1,083,855"
01/12/2024,"63.80","64.01","63.13","63.20","1,041,912"
01/11/2024,"63.31","63.77","63.05","63.70","1,281,407"
01/10/2024,"62.72","63.67","62.63","63.56","1,738,369"
01/09/2024,"62.20","62.82","61.86","62.80","1,908,050"
01/08/2024,"61.51","62.30","61.31","62.30","1,319,618"
01/05/2024,"61.34","61.94","61.00","61.51","1,669,484"
01/04/2024,"61.97","62.15","61.27","61.31","1,197,953"
01/03/2024,"62.14","62.41","61.57","62.04","1,341,637"
01/02/2024,"61.08","62.41","61.04","62.07","1,275,277"
12/29/2023,"61.06","61.39","60.93","61.21","776,267"
12/28/2023,"60.95","61.35","60.90","61.25","741,213"
12/27/2023,"60.87","61.40","60.87","61.12","756,021"
12/26/2023,"61.21","61.50","61.12","61.16","1,047,827"
12/22/2023,"61.35","62.08","61.12","61.36","757,440"
12/21/2023,"61.57","61.87","60.62","61.04","1,046,683"
12/20/2023,"62.08","62.08","61.20","61.26","1,186,806"
12/19/2023,"62.04","62.60","61.90","62.33","1,334,471"
12/18/2023,"62.13","62.53","61.78","61.93","1,829,178"
12/15/2023,"62.63","62.63","61.35","61.80","5,062,755"
12/14/2023,"64.10","64.28","62.87","63.05","2,178,258"
12/13/2023,"63.51","64.30","62.99","64.24","1,378,352"
12/12/2023,"63.08","63.59","62.90","63.45","2,096,476"
12/11/2023,"62.37","62.89","61.99","62.87","1,103,246"
12/08/2023,"62.09","62.64","62.09","62.31","1,166,303"
12/07/2023,"62.02","62.16","61.50","62.13","1,126,399"
12/06/2023,"61.79","62.25","61.60","61.90","1,571,394"
12/05/2023,"62.35","62.41","61.83","62.04","1,601,513"
12/04/2023,"61.54","63.22","61.43","62.28","2,124,186"
12/01/2023,"61.61","62.25","61.42","61.93","1,378,391"
11/30/2023,"59.99","61.59","59.86","61.54","2,645,942"
11/29/2023,"60.20","60.35","59.84","60.10","1,276,258"
11/28/2023,"60.38","60.58","60.14","60.28","1,132,706"
11/27/2023,"59.90","60.31","59.67","60.24","1,675,813"
11/24/2023,"59.95","60.25","59.88","59.99","425,096"
11/22/2023,"59.82","60.10","59.57","60.00","1,158,626"
11/21/2023,"59.00","59.71","58.67","59.61","1,371,762"
